,expr,arity,inputs,outputs
10,"R(S(), C(C(R(S(), P(2, 2), Z()), P(3, 1)), Z(), P(2, 2), Z()), Z())",1.0,"((1,), (2,), (3,), (4,), (5,), (6,), (7,), (8,), (9,), (10,))","(2, 2, 2, 2, 2, 2, 2, 2, 2, 2)"
11,"C(S(), S())",1.0,"((1,), (2,), (3,), (4,), (5,), (6,), (7,), (8,), (9,), (10,))","(3, 4, 5, 6, 7, 8, 9, 10, 11, 12)"
12,"R(R(P(2, 2), P(3, 1), C(P(1, 1), P(3, 2)), Z(), Z()), C(R(P(2, 2), P(3, 1), C(P(1, 1), P(3, 2)), Z(), Z()), P(2, 1)), Z())",1.0,"((1,), (2,), (3,), (4,), (5,), (6,), (7,), (8,), (9,), (10,))","(0, 0, 0, 0, 0, 1, 2, 3, 4, 5)"
13,"R(P(2, 1), P(3, 3), P(3, 1), C(R(S(), P(2, 2), Z()), Z()), C(P(3, 3), C(P(2, 1), Z(), C(R(S(), P(2, 2), Z()), Z())), Z(), C(R(S(), P(2, 2), Z()), Z())))",1.0,"((1,), (2,), (3,), (4,), (5,), (6,), (7,), (8,), (9,), (10,))","(1, 0, 1, 2, 3, 4, 5, 6, 7, 8)"
14,"R(R(P(2, 2), P(3, 1), P(3, 2), C(P(1, 1), Z()), C(P(1, 1), C(S(), Z()))), P(2, 1), C(P(1, 1), Z()))",1.0,"((1,), (2,), (3,), (4,), (5,), (6,), (7,), (8,), (9,), (10,))","(1, 0, 0, 1, 2, 3, 4, 5, 6, 7)"
15,"R(S(), C(R(P(2, 2), P(3, 1), C(P(1, 1), P(3, 2)), Z(), Z()), P(2, 1)), Z())",1.0,"((1,), (2,), (3,), (4,), (5,), (6,), (7,), (8,), (9,), (10,))","(1, 1, 1, 2, 3, 4, 5, 6, 7, 8)"
16,"R(P(2, 2), P(3, 3), P(3, 2), C(S(), Z()), C(P(1, 1), Z()))",1.0,"((1,), (2,), (3,), (4,), (5,), (6,), (7,), (8,), (9,), (10,))","(1, 0, 1, 0, 1, 0, 1, 0, 1, 0)"
17,"R(P(2, 1), C(R(P(2, 1), P(3, 3), P(3, 1), Z(), Z()), P(3, 3)), P(3, 1), C(P(1, 1), Z()), C(P(1, 1), Z()))",1.0,"((1,), (2,), (3,), (4,), (5,), (6,), (7,), (8,), (9,), (10,))","(0, 0, 0, 0, 1, 2, 3, 4, 5, 6)"
18,"R(P(2, 1), C(P(3, 3), P(3, 2), P(3, 3), P(3, 3)), C(C(P(3, 3), P(3, 2), P(3, 3), P(3, 3)), C(P(3, 3), P(3, 2), P(3, 3), P(3, 3)), P(3, 3), C(P(1, 1), Z())), C(R(R(S(), P(2, 2), Z()), P(2, 1), Z()), C(P(1, 1), Z())), C(R(R(S(), P(2, 2), Z()), P(2, 1), Z()), Z()))",1.0,"((1,), (2,), (3,), (4,), (5,), (6,), (7,), (8,), (9,), (10,))","(1, 0, 0, 0, 0, 0, 0, 0, 0, 0)"
19,"R(C(S(), S()), P(2, 2), C(C(S(), S()), Z()))",1.0,"((1,), (2,), (3,), (4,), (5,), (6,), (7,), (8,), (9,), (10,))","(4, 4, 4, 4, 4, 4, 4, 4, 4, 4)"
20,"R(P(2, 1), P(3, 3), P(3, 2), C(S(), Z()), Z())",1.0,"((1,), (2,), (3,), (4,), (5,), (6,), (7,), (8,), (9,), (10,))","(0, 1, 0, 1, 0, 1, 0, 1, 0, 1)"
21,"R(S(), C(R(S(), P(2, 1), Z()), P(2, 1)), Z())",1.0,"((1,), (2,), (3,), (4,), (5,), (6,), (7,), (8,), (9,), (10,))","(2, 2, 3, 4, 5, 6, 7, 8, 9, 10)"
22,"R(P(2, 1), P(3, 3), C(R(S(), P(2, 1), Z()), P(3, 2)), Z(), Z())",1.0,"((1,), (2,), (3,), (4,), (5,), (6,), (7,), (8,), (9,), (10,))","(0, 1, 1, 1, 1, 1, 1, 1, 1, 1)"
23,"R(C(S(), P(2, 2)), P(3, 3), C(C(S(), P(2, 2)), P(3, 2), P(3, 2)), Z(), Z())",1.0,"((1,), (2,), (3,), (4,), (5,), (6,), (7,), (8,), (9,), (10,))","(2, 2, 3, 3, 4, 4, 5, 5, 6, 6)"
24,"C(C(C(R(P(2, 1), P(3, 3), P(3, 1), Z(), Z()), P(2, 2)), Z(), C(R(P(2, 1), P(3, 3), P(3, 1), Z(), Z()), P(2, 2))), P(2, 1), P(2, 1))",2.0,"((8, 3), (8, 5), (9, 7), (5, 6), (10, 5))","(4, 4, 5, 1, 6)"
25,"C(R(P(2, 1), P(3, 3), P(3, 1), Z(), Z()), P(2, 2))",2.0,"((8, 3), (8, 5), (9, 7), (5, 6), (10, 5))","(1, 3, 5, 4, 3)"
26,"C(R(P(1, 1), C(P(3, 3), P(2, 2), P(2, 2), P(2, 1)), Z()), C(P(3, 3), P(2, 2), P(2, 2), P(2, 1)))",2.0,"((8, 3), (8, 5), (9, 7), (5, 6), (10, 5))","(7, 7, 8, 4, 9)"
27,"C(S(), P(2, 1))",2.0,"((8, 3), (8, 5), (9, 7), (5, 6), (10, 5))","(9, 9, 10, 6, 11)"
28,"C(C(R(R(S(), P(2, 1), Z()), P(2, 2), Z()), C(C(P(3, 2), P(2, 2), Z(), P(2, 1)), P(3, 1), C(P(3, 1), P(3, 1), P(3, 3), P(3, 1)))), Z(), P(2, 2), Z())",2.0,"((8, 3), (8, 5), (9, 7), (5, 6), (10, 5))","(1, 1, 1, 1, 1)"
29,"C(S(), P(2, 2))",2.0,"((8, 3), (8, 5), (9, 7), (5, 6), (10, 5))","(4, 6, 8, 7, 6)"
30,"C(C(R(P(2, 1), P(3, 3), P(3, 1), Z(), Z()), P(2, 2)), Z(), C(R(P(2, 1), P(3, 3), P(3, 1), Z(), Z()), P(2, 2)))",2.0,"((8, 3), (8, 5), (9, 7), (5, 6), (10, 5))","(0, 1, 3, 2, 1)"
31,"P(2, 1)",2.0,"((8, 3), (8, 5), (9, 7), (5, 6), (10, 5))","(8, 8, 9, 5, 10)"
32,"C(R(P(2, 2), P(3, 3), C(S(), P(3, 2)), Z(), Z()), P(2, 1))",2.0,"((8, 3), (8, 5), (9, 7), (5, 6), (10, 5))","(4, 4, 5, 3, 5)"
33,"C(S(), C(R(C(S(), S()), P(2, 2), Z()), P(2, 1)))",2.0,"((8, 3), (8, 5), (9, 7), (5, 6), (10, 5))","(3, 3, 3, 3, 3)"
34,"C(P(3, 2), Z(), C(S(), C(S(), P(2, 2))), C(S(), P(2, 2)))",2.0,"((8, 3), (8, 5), (9, 7), (5, 6), (10, 5))","(5, 7, 9, 8, 7)"
35,"C(R(R(P(2, 2), P(3, 1), P(3, 2), Z(), Z()), P(2, 1), Z()), P(2, 2))",2.0,"((8, 3), (8, 5), (9, 7), (5, 6), (10, 5))","(0, 2, 4, 3, 2)"
36,"C(C(S(), C(P(2, 2), P(2, 1), P(2, 1))), C(S(), C(P(2, 2), P(2, 1), P(2, 1))), C(P(2, 2), P(2, 1), P(2, 1)))",2.0,"((8, 3), (8, 5), (9, 7), (5, 6), (10, 5))","(10, 10, 11, 7, 12)"
37,"C(R(R(P(2, 1), P(3, 3), P(3, 1), Z(), Z()), P(2, 1), Z()), P(2, 1))",2.0,"((8, 3), (8, 5), (9, 7), (5, 6), (10, 5))","(5, 5, 6, 2, 7)"
38,"C(R(P(2, 1), P(3, 3), P(3, 1), Z(), Z()), P(2, 1))",2.0,"((8, 3), (8, 5), (9, 7), (5, 6), (10, 5))","(6, 6, 7, 3, 8)"
39,"C(C(S(), P(3, 2)), P(2, 2), C(P(2, 1), C(R(S(), P(2, 1), Z()), Z()), C(P(2, 2), Z(), Z())), C(P(2, 2), Z(), Z()))",2.0,"((8, 3), (8, 5), (9, 7), (5, 6), (10, 5))","(2, 2, 2, 2, 2)"
40,"P(2, 2)",2.0,"((8, 3), (8, 5), (9, 7), (5, 6), (10, 5))","(3, 5, 7, 6, 5)"
41,"C(P(3, 2), P(2, 2), Z(), P(2, 1))",2.0,"((8, 3), (8, 5), (9, 7), (5, 6), (10, 5))","(0, 0, 0, 0, 0)"
42,"C(R(P(1, 1), P(2, 1), Z()), P(2, 2))",2.0,"((8, 3), (8, 5), (9, 7), (5, 6), (10, 5))","(2, 4, 6, 5, 4)"
43,"C(C(S(), C(S(), P(2, 1))), C(S(), C(S(), P(2, 1))), P(2, 1))",2.0,"((8, 3), (8, 5), (9, 7), (5, 6), (10, 5))","(12, 12, 13, 9, 14)"
44,"C(C(R(P(2, 2), P(3, 3), C(S(), P(3, 2)), Z(), Z()), P(2, 1)), C(P(2, 1), P(3, 2), Z()), C(S(), Z()))",3.0,"((10, 4, 8), (10, 8, 1), (2, 5, 10), (1, 6, 4), (7, 9, 8))","(2, 4, 3, 3, 5)"
45,"C(R(P(2, 1), P(3, 3), C(R(S(), P(2, 1), Z()), P(3, 2)), Z(), Z()), P(3, 1))",3.0,"((10, 4, 8), (10, 8, 1), (2, 5, 10), (1, 6, 4), (7, 9, 8))","(1, 1, 1, 0, 1)"
46,"C(R(P(2, 1), P(3, 3), P(3, 1), Z(), C(S(), Z())), P(3, 1))",3.0,"((10, 4, 8), (10, 8, 1), (2, 5, 10), (1, 6, 4), (7, 9, 8))","(8, 8, 0, 1, 5)"
47,"P(3, 3)",3.0,"((10, 4, 8), (10, 8, 1), (2, 5, 10), (1, 6, 4), (7, 9, 8))","(8, 1, 10, 4, 8)"
48,"C(C(R(P(2, 2), P(3, 2), P(3, 1), Z(), Z()), P(3, 1)), C(R(P(2, 2), P(3, 2), P(3, 1), Z(), Z()), P(3, 1)), P(3, 2), P(3, 3))",3.0,"((10, 4, 8), (10, 8, 1), (2, 5, 10), (1, 6, 4), (7, 9, 8))","(8, 8, 0, 0, 5)"
49,"C(S(), C(S(), P(3, 1)))",3.0,"((10, 4, 8), (10, 8, 1), (2, 5, 10), (1, 6, 4), (7, 9, 8))","(12, 12, 4, 3, 9)"
50,"C(R(P(2, 1), P(3, 3), P(3, 1), Z(), Z()), P(3, 3))",3.0,"((10, 4, 8), (10, 8, 1), (2, 5, 10), (1, 6, 4), (7, 9, 8))","(6, 0, 8, 2, 6)"
51,"C(P(2, 2), P(3, 1), C(S(), C(S(), Z())))",3.0,"((10, 4, 8), (10, 8, 1), (2, 5, 10), (1, 6, 4), (7, 9, 8))","(2, 2, 2, 2, 2)"
52,"C(R(P(1, 1), C(P(3, 3), P(2, 2), P(2, 2), P(2, 1)), Z()), C(C(P(3, 3), P(2, 2), P(2, 2), P(2, 1)), P(3, 2), P(3, 3)))",3.0,"((10, 4, 8), (10, 8, 1), (2, 5, 10), (1, 6, 4), (7, 9, 8))","(3, 7, 4, 5, 8)"
53,"C(S(), P(3, 2))",3.0,"((10, 4, 8), (10, 8, 1), (2, 5, 10), (1, 6, 4), (7, 9, 8))","(5, 9, 6, 7, 10)"
54,"C(R(P(1, 1), P(2, 1), Z()), P(3, 1))",3.0,"((10, 4, 8), (10, 8, 1), (2, 5, 10), (1, 6, 4), (7, 9, 8))","(9, 9, 1, 0, 6)"
55,"C(R(R(P(2, 1), P(3, 3), P(3, 1), Z(), Z()), P(2, 1), Z()), P(3, 3))",3.0,"((10, 4, 8), (10, 8, 1), (2, 5, 10), (1, 6, 4), (7, 9, 8))","(5, 0, 7, 1, 5)"
56,"C(C(P(3, 2), P(2, 2), Z(), P(2, 1)), P(3, 1), C(P(3, 1), P(3, 1), P(3, 3), P(3, 1)))",3.0,"((10, 4, 8), (10, 8, 1), (2, 5, 10), (1, 6, 4), (7, 9, 8))","(0, 0, 0, 0, 0)"
57,"C(R(P(2, 2), P(3, 2), P(3, 1), Z(), Z()), P(3, 3))",3.0,"((10, 4, 8), (10, 8, 1), (2, 5, 10), (1, 6, 4), (7, 9, 8))","(7, 0, 9, 3, 7)"
58,"C(R(R(S(), P(2, 1), Z()), P(2, 2), Z()), C(C(P(3, 2), P(2, 2), Z(), P(2, 1)), P(3, 1), C(P(3, 1), P(3, 1), P(3, 3), P(3, 1))))",3.0,"((10, 4, 8), (10, 8, 1), (2, 5, 10), (1, 6, 4), (7, 9, 8))","(1, 1, 1, 1, 1)"
59,"C(C(S(), P(2, 2)), Z(), P(3, 1))",3.0,"((10, 4, 8), (10, 8, 1), (2, 5, 10), (1, 6, 4), (7, 9, 8))","(11, 11, 3, 2, 8)"
60,"C(R(P(2, 1), P(3, 3), P(3, 1), Z(), Z()), P(3, 2))",3.0,"((10, 4, 8), (10, 8, 1), (2, 5, 10), (1, 6, 4), (7, 9, 8))","(2, 6, 3, 4, 7)"
61,"C(S(), P(3, 3))",3.0,"((10, 4, 8), (10, 8, 1), (2, 5, 10), (1, 6, 4), (7, 9, 8))","(9, 2, 11, 5, 9)"
62,"P(3, 2)",3.0,"((10, 4, 8), (10, 8, 1), (2, 5, 10), (1, 6, 4), (7, 9, 8))","(4, 8, 5, 6, 9)"
63,"P(3, 1)",3.0,"((10, 4, 8), (10, 8, 1), (2, 5, 10), (1, 6, 4), (7, 9, 8))","(10, 10, 2, 1, 7)"
64,"C(R(R(R(P(2, 2), P(3, 1), P(3, 2), Z(), Z()), P(2, 1), Z()), P(2, 1), Z()), P(3, 3))",3.0,"((10, 4, 8), (10, 8, 1), (2, 5, 10), (1, 6, 4), (7, 9, 8))","(4, 0, 6, 0, 4)"
65,"C(R(R(P(1, 1), P(2, 1), Z()), P(2, 1), Z()), C(R(P(1, 1), P(2, 1), Z()), P(3, 2)))",3.0,"((10, 4, 8), (10, 8, 1), (2, 5, 10), (1, 6, 4), (7, 9, 8))","(1, 5, 2, 3, 6)"
66,"C(C(S(), C(S(), P(3, 3))), C(S(), P(3, 3)), P(3, 3), C(S(), C(S(), P(3, 3))))",3.0,"((10, 4, 8), (10, 8, 1), (2, 5, 10), (1, 6, 4), (7, 9, 8))","(12, 5, 14, 8, 12)"
67,"C(R(R(S(), P(2, 1), Z()), C(P(3, 2), P(2, 2), P(2, 1), P(2, 2)), Z()), P(3, 1))",3.0,"((10, 4, 8), (10, 8, 1), (2, 5, 10), (1, 6, 4), (7, 9, 8))","(9, 9, 1, 1, 6)"
68,"C(C(R(R(S(), P(2, 1), Z()), P(2, 1), Z()), P(2, 2)), P(3, 3), C(C(R(R(S(), P(2, 1), Z()), P(2, 1), Z()), P(2, 2)), P(3, 3), P(3, 1)))",3.0,"((10, 4, 8), (10, 8, 1), (2, 5, 10), (1, 6, 4), (7, 9, 8))","(8, 8, 1, 1, 5)"
69,"C(R(P(2, 2), P(3, 1), P(3, 2), Z(), Z()), C(R(P(2, 2), P(3, 1), P(3, 2), Z(), Z()), P(3, 2)))",3.0,"((10, 4, 8), (10, 8, 1), (2, 5, 10), (1, 6, 4), (7, 9, 8))","(0, 4, 1, 2, 5)"
70,"C(C(C(S(), P(3, 1)), C(S(), P(3, 1)), P(3, 2), P(3, 3)), C(S(), P(3, 1)), P(3, 2), P(3, 2))",3.0,"((10, 4, 8), (10, 8, 1), (2, 5, 10), (1, 6, 4), (7, 9, 8))","(13, 13, 5, 4, 10)"
71,"C(C(P(1, 1), S()), C(C(P(1, 1), S()), C(C(P(1, 1), S()), P(3, 2))))",3.0,"((10, 4, 8), (10, 8, 1), (2, 5, 10), (1, 6, 4), (7, 9, 8))","(7, 11, 8, 9, 12)"
72,"C(S(), C(S(), P(3, 3)))",3.0,"((10, 4, 8), (10, 8, 1), (2, 5, 10), (1, 6, 4), (7, 9, 8))","(10, 3, 12, 6, 10)"
73,"C(S(), C(S(), P(3, 2)))",3.0,"((10, 4, 8), (10, 8, 1), (2, 5, 10), (1, 6, 4), (7, 9, 8))","(6, 10, 7, 8, 11)"
74,"C(R(R(R(P(2, 1), P(3, 1), P(3, 2), Z(), Z()), P(2, 1), Z()), C(P(2, 2), Z(), P(2, 1)), Z()), P(3, 1))",3.0,"((10, 4, 8), (10, 8, 1), (2, 5, 10), (1, 6, 4), (7, 9, 8))","(7, 7, 0, 0, 4)"
75,"C(R(R(S(), C(P(3, 2), P(2, 1), P(2, 1), Z()), Z()), C(P(3, 2), P(2, 1), P(2, 1), Z()), Z()), C(C(P(3, 2), P(2, 1), P(2, 1), Z()), P(3, 3), Z()))",3.0,"((10, 4, 8), (10, 8, 1), (2, 5, 10), (1, 6, 4), (7, 9, 8))","(7, 1, 9, 3, 7)"
76,"C(C(S(), S()), P(4, 3))",4.0,"((6, 2, 3, 10), (2, 6, 7, 8), (6, 2, 5, 6), (2, 1, 2, 3), (8, 3, 1, 6))","(5, 9, 7, 4, 3)"
77,"C(R(P(2, 1), C(S(), P(3, 3)), P(3, 2), Z(), Z()), P(4, 2))",4.0,"((6, 2, 3, 10), (2, 6, 7, 8), (6, 2, 5, 6), (2, 1, 2, 3), (8, 3, 1, 6))","(1, 3, 1, 1, 2)"
78,"C(R(P(1, 1), P(2, 1), Z()), C(R(R(P(1, 1), P(2, 1), Z()), P(2, 1), Z()), P(4, 4)))",4.0,"((6, 2, 3, 10), (2, 6, 7, 8), (6, 2, 5, 6), (2, 1, 2, 3), (8, 3, 1, 6))","(7, 5, 3, 0, 3)"
79,"C(R(P(2, 2), P(3, 2), P(3, 1), Z(), Z()), P(4, 4))",4.0,"((6, 2, 3, 10), (2, 6, 7, 8), (6, 2, 5, 6), (2, 1, 2, 3), (8, 3, 1, 6))","(9, 7, 5, 2, 5)"
80,"P(4, 2)",4.0,"((6, 2, 3, 10), (2, 6, 7, 8), (6, 2, 5, 6), (2, 1, 2, 3), (8, 3, 1, 6))","(2, 6, 2, 1, 3)"
81,"P(4, 3)",4.0,"((6, 2, 3, 10), (2, 6, 7, 8), (6, 2, 5, 6), (2, 1, 2, 3), (8, 3, 1, 6))","(3, 7, 5, 2, 1)"
82,"P(4, 1)",4.0,"((6, 2, 3, 10), (2, 6, 7, 8), (6, 2, 5, 6), (2, 1, 2, 3), (8, 3, 1, 6))","(6, 2, 6, 2, 8)"
83,"C(R(R(S(), P(2, 1), Z()), P(2, 2), Z()), P(4, 3))",4.0,"((6, 2, 3, 10), (2, 6, 7, 8), (6, 2, 5, 6), (2, 1, 2, 3), (8, 3, 1, 6))","(1, 1, 1, 1, 1)"
84,"C(R(P(1, 1), P(2, 1), Z()), C(P(3, 2), Z(), P(4, 2), P(4, 4)))",4.0,"((6, 2, 3, 10), (2, 6, 7, 8), (6, 2, 5, 6), (2, 1, 2, 3), (8, 3, 1, 6))","(1, 5, 1, 0, 2)"
85,"C(R(P(2, 2), P(3, 1), P(3, 1), Z(), Z()), P(4, 1))",4.0,"((6, 2, 3, 10), (2, 6, 7, 8), (6, 2, 5, 6), (2, 1, 2, 3), (8, 3, 1, 6))","(5, 1, 5, 1, 7)"
86,"C(C(S(), C(P(2, 1), P(3, 3), P(3, 1))), Z(), P(4, 3), P(4, 3))",4.0,"((6, 2, 3, 10), (2, 6, 7, 8), (6, 2, 5, 6), (2, 1, 2, 3), (8, 3, 1, 6))","(4, 8, 6, 3, 2)"
87,"C(C(R(P(2, 2), P(3, 1), C(P(3, 3), P(3, 2), P(3, 1), P(3, 2)), Z(), Z()), P(2, 1)), P(4, 1), P(4, 3))",4.0,"((6, 2, 3, 10), (2, 6, 7, 8), (6, 2, 5, 6), (2, 1, 2, 3), (8, 3, 1, 6))","(4, 0, 4, 0, 6)"
88,"C(R(R(P(2, 2), P(3, 3), P(3, 1), Z(), Z()), P(2, 1), Z()), C(C(P(3, 1), P(2, 2), P(2, 1), P(2, 1)), P(4, 3), P(4, 3)))",4.0,"((6, 2, 3, 10), (2, 6, 7, 8), (6, 2, 5, 6), (2, 1, 2, 3), (8, 3, 1, 6))","(1, 5, 3, 0, 0)"
89,"C(S(), P(4, 4))",4.0,"((6, 2, 3, 10), (2, 6, 7, 8), (6, 2, 5, 6), (2, 1, 2, 3), (8, 3, 1, 6))","(11, 9, 7, 4, 7)"
90,"P(4, 4)",4.0,"((6, 2, 3, 10), (2, 6, 7, 8), (6, 2, 5, 6), (2, 1, 2, 3), (8, 3, 1, 6))","(10, 8, 6, 3, 6)"
91,"C(P(2, 2), P(4, 1), Z())",4.0,"((6, 2, 3, 10), (2, 6, 7, 8), (6, 2, 5, 6), (2, 1, 2, 3), (8, 3, 1, 6))","(0, 0, 0, 0, 0)"
92,"C(C(S(), P(2, 2)), P(4, 2), P(4, 1))",4.0,"((6, 2, 3, 10), (2, 6, 7, 8), (6, 2, 5, 6), (2, 1, 2, 3), (8, 3, 1, 6))","(7, 3, 7, 3, 9)"
93,"C(P(1, 1), C(S(), P(4, 2)))",4.0,"((6, 2, 3, 10), (2, 6, 7, 8), (6, 2, 5, 6), (2, 1, 2, 3), (8, 3, 1, 6))","(3, 7, 3, 2, 4)"
94,"C(R(R(P(2, 1), P(3, 1), P(3, 3), Z(), Z()), C(P(2, 1), P(2, 1), P(2, 2)), Z()), P(4, 4))",4.0,"((6, 2, 3, 10), (2, 6, 7, 8), (6, 2, 5, 6), (2, 1, 2, 3), (8, 3, 1, 6))","(8, 6, 4, 1, 4)"
95,"C(R(P(1, 1), P(2, 1), Z()), P(4, 3))",4.0,"((6, 2, 3, 10), (2, 6, 7, 8), (6, 2, 5, 6), (2, 1, 2, 3), (8, 3, 1, 6))","(2, 6, 4, 1, 0)"
96,"C(R(R(P(2, 1), P(3, 3), P(3, 1), Z(), Z()), P(2, 1), Z()), C(R(P(2, 1), P(3, 3), P(3, 1), Z(), Z()), P(4, 2)))",4.0,"((6, 2, 3, 10), (2, 6, 7, 8), (6, 2, 5, 6), (2, 1, 2, 3), (8, 3, 1, 6))","(0, 1, 0, 0, 0)"
97,"C(C(S(), S()), C(S(), P(4, 2)))",4.0,"((6, 2, 3, 10), (2, 6, 7, 8), (6, 2, 5, 6), (2, 1, 2, 3), (8, 3, 1, 6))","(5, 9, 5, 4, 6)"
98,"C(R(P(2, 2), P(3, 1), P(3, 2), Z(), Z()), C(R(P(2, 2), P(3, 1), P(3, 2), Z(), Z()), P(4, 2)))",4.0,"((6, 2, 3, 10), (2, 6, 7, 8), (6, 2, 5, 6), (2, 1, 2, 3), (8, 3, 1, 6))","(0, 2, 0, 0, 0)"
99,"C(S(), C(C(S(), P(2, 2)), P(4, 1), P(4, 1)))",4.0,"((6, 2, 3, 10), (2, 6, 7, 8), (6, 2, 5, 6), (2, 1, 2, 3), (8, 3, 1, 6))","(8, 4, 8, 4, 10)"
100,"C(C(S(), S()), P(4, 2))",4.0,"((6, 2, 3, 10), (2, 6, 7, 8), (6, 2, 5, 6), (2, 1, 2, 3), (8, 3, 1, 6))","(4, 8, 4, 3, 5)"
101,"C(C(P(3, 3), P(3, 2), P(3, 1), P(3, 1)), C(S(), C(C(P(1, 1), S()), C(R(C(P(1, 1), S()), P(2, 1), Z()), Z()))), Z(), P(4, 2))",4.0,"((6, 2, 3, 10), (2, 6, 7, 8), (6, 2, 5, 6), (2, 1, 2, 3), (8, 3, 1, 6))","(3, 3, 3, 3, 3)"
102,"C(R(R(C(S(), P(2, 1)), P(3, 1), P(3, 1), Z(), Z()), P(2, 1), Z()), C(R(C(S(), P(2, 1)), P(3, 1), P(3, 1), Z(), Z()), P(4, 2)))",4.0,"((6, 2, 3, 10), (2, 6, 7, 8), (6, 2, 5, 6), (2, 1, 2, 3), (8, 3, 1, 6))","(1, 5, 1, 1, 2)"
103,"C(R(P(2, 2), P(3, 1), P(3, 2), Z(), Z()), C(R(P(2, 2), P(3, 1), P(3, 2), Z(), Z()), P(4, 4)))",4.0,"((6, 2, 3, 10), (2, 6, 7, 8), (6, 2, 5, 6), (2, 1, 2, 3), (8, 3, 1, 6))","(6, 4, 2, 0, 2)"
104,"C(C(S(), C(S(), P(3, 1))), Z(), C(R(P(2, 2), P(3, 3), P(3, 2), Z(), Z()), P(4, 1)), C(R(P(2, 2), P(3, 3), P(3, 2), Z(), Z()), P(4, 1)))",4.0,"((6, 2, 3, 10), (2, 6, 7, 8), (6, 2, 5, 6), (2, 1, 2, 3), (8, 3, 1, 6))","(2, 2, 2, 2, 2)"
105,"C(R(R(R(P(2, 1), P(3, 1), P(3, 2), Z(), Z()), P(2, 1), Z()), C(P(2, 2), Z(), P(2, 1)), Z()), P(4, 1))",4.0,"((6, 2, 3, 10), (2, 6, 7, 8), (6, 2, 5, 6), (2, 1, 2, 3), (8, 3, 1, 6))","(3, 0, 3, 0, 5)"
106,"C(R(R(P(1, 1), P(2, 1), Z()), P(2, 1), Z()), P(4, 2))",4.0,"((6, 2, 3, 10), (2, 6, 7, 8), (6, 2, 5, 6), (2, 1, 2, 3), (8, 3, 1, 6))","(0, 4, 0, 0, 1)"
107,"C(R(R(S(), C(P(3, 2), P(2, 1), P(2, 1), Z()), Z()), C(P(3, 2), P(2, 1), P(2, 1), Z()), Z()), P(4, 3))",4.0,"((6, 2, 3, 10), (2, 6, 7, 8), (6, 2, 5, 6), (2, 1, 2, 3), (8, 3, 1, 6))","(2, 6, 4, 1, 1)"
108,"C(C(C(R(P(2, 2), P(3, 1), P(3, 2), Z(), Z()), P(2, 2)), C(R(P(2, 2), P(3, 1), P(3, 2), Z(), Z()), P(2, 2)), C(R(P(2, 2), P(3, 1), P(3, 2), Z(), Z()), P(2, 2))), Z(), P(4, 3))",4.0,"((6, 2, 3, 10), (2, 6, 7, 8), (6, 2, 5, 6), (2, 1, 2, 3), (8, 3, 1, 6))","(0, 3, 1, 0, 0)"
