SPF,valid,depth,inputs,outputs
"R(C(C(S(), S()), C(S(), Z())), C(C(S(), S()), R(S(), P(3, 3))))",True,4,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[3, 6, 8, 10, 12, 14, 16, 18, 20, 22]"
"C(C(S(), S()), R(C(S(), Z()), R(S(), P(3, 1))))",True,4,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[3, 4, 2, 3, 4, 5, 6, 7, 8, 9]"
"R(C(C(S(), S()), Z()), C(R(Z(), P(2, 1)), R(Z(), P(3, 1))))",True,4,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[2, 0, 0, 0, 1, 2, 3, 4, 5, 6]"
"C(C(C(S(), S()), S()), R(C(S(), Z()), R(Z(), P(3, 3))))",True,4,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[4, 3, 3, 3, 3, 3, 3, 3, 3, 3]"
"R(C(C(S(), S()), Z()), R(Z(), P(3, 1)))",True,4,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[2, 0, 0, 1, 2, 3, 4, 5, 6, 7]"
"C(R(C(S(), Z()), R(S(), P(3, 3))), R(C(S(), Z()), R(S(), P(3, 1))))",True,4,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[2, 2, 1, 2, 2, 2, 2, 2, 2, 2]"
"C(C(C(S(), S()), S()), R(C(S(), Z()), R(S(), P(3, 1))))",True,4,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[4, 5, 3, 4, 5, 6, 7, 8, 9, 10]"
"C(S(), R(C(S(), Z()), P(2, 1)))",True,4,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[2, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
"R(C(C(S(), S()), Z()), C(R(Z(), P(2, 1)), R(S(), P(3, 1))))",True,4,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[2, 2, 0, 0, 1, 2, 3, 4, 5, 6]"
"C(C(C(S(), S()), R(Z(), P(2, 1))), R(C(S(), Z()), R(S(), P(3, 3))))",True,4,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[2, 3, 3, 3, 3, 3, 3, 3, 3, 3]"
"C(C(C(S(), S()), C(S(), S())), C(C(S(), S()), C(S(), Z())))",True,4,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[7, 7, 7, 7, 7, 7, 7, 7, 7, 7]"
"R(C(C(S(), S()), C(S(), Z())), R(R(Z(), P(2, 1)), C(S(), P(3, 2))))",True,4,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[3, 2, 2, 3, 5, 8, 12, 17, 23, 30]"
"R(C(C(S(), S()), Z()), C(R(Z(), P(2, 1)), R(P(1, 1), P(3, 1))))",True,4,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[2, 1, 0, 0, 1, 2, 3, 4, 5, 6]"
"C(C(C(S(), S()), C(S(), S())), C(S(), S()))",True,4,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[6, 7, 8, 9, 10, 11, 12, 13, 14, 15]"
"C(C(C(S(), S()), C(S(), S())), C(C(S(), S()), R(Z(), P(2, 1))))",True,4,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[6, 6, 7, 8, 9, 10, 11, 12, 13, 14]"
"C(C(S(), S()), R(C(S(), Z()), P(2, 1)))",True,4,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[3, 2, 3, 4, 5, 6, 7, 8, 9, 10]"
"C(C(C(S(), S()), R(Z(), P(2, 1))), C(R(Z(), P(2, 1)), R(Z(), P(2, 1))))",True,4,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[2, 2, 2, 2, 3, 4, 5, 6, 7, 8]"
"R(C(C(S(), S()), Z()), R(S(), C(S(), P(3, 2))))",True,4,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[2, 3, 5, 8, 12, 17, 23, 30, 38, 47]"
"C(R(C(S(), Z()), R(S(), P(3, 1))), R(Z(), P(2, 1)))",True,4,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[1, 1, 2, 0, 1, 2, 3, 4, 5, 6]"
"C(R(C(S(), Z()), R(S(), P(3, 3))), R(C(S(), Z()), P(2, 1)))",True,4,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[2, 1, 2, 2, 2, 2, 2, 2, 2, 2]"
"C(C(C(S(), S()), S()), R(C(S(), Z()), P(2, 1)))",True,4,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[4, 3, 4, 5, 6, 7, 8, 9, 10, 11]"
"R(C(C(S(), S()), Z()), C(R(Z(), P(2, 1)), P(2, 2)))",True,4,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[2, 1, 0, 0, 0, 0, 0, 0, 0, 0]"
"R(C(C(S(), S()), Z()), C(S(), R(S(), P(3, 1))))",True,4,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[2, 4, 1, 2, 3, 4, 5, 6, 7, 8]"
"C(C(C(S(), S()), C(S(), S())), Z())",True,4,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[4, 4, 4, 4, 4, 4, 4, 4, 4, 4]"
"C(R(C(S(), Z()), P(2, 1)), R(C(S(), Z()), R(S(), P(3, 3))))",True,4,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[0, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
"C(C(S(), S()), R(C(S(), Z()), R(S(), P(3, 3))))",True,4,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[3, 4, 4, 4, 4, 4, 4, 4, 4, 4]"
"C(C(C(S(), S()), C(S(), S())), C(C(S(), S()), Z()))",True,4,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[6, 6, 6, 6, 6, 6, 6, 6, 6, 6]"
"C(R(C(S(), Z()), R(S(), P(3, 1))), R(C(S(), Z()), R(P(1, 1), P(3, 1))))",True,4,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[2, 2, 1, 2, 0, 1, 2, 3, 4, 5]"
"C(R(C(S(), Z()), R(Z(), P(3, 1))), R(C(S(), Z()), R(Z(), P(3, 1))))",True,4,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[0, 1, 1, 0, 0, 1, 2, 3, 4, 5]"
"R(C(C(S(), S()), Z()), R(C(S(), S()), P(3, 1)))",True,4,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[2, 4, 0, 1, 2, 3, 4, 5, 6, 7]"
"R(C(C(S(), S()), C(S(), Z())), R(C(S(), Z()), P(3, 1)))",True,4,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[3, 1, 0, 1, 2, 3, 4, 5, 6, 7]"
"R(C(C(S(), S()), C(S(), Z())), C(S(), R(S(), P(3, 3))))",True,4,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[3, 5, 6, 7, 8, 9, 10, 11, 12, 13]"
"R(C(C(S(), S()), Z()), R(C(S(), S()), P(3, 3)))",True,4,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[2, 4, 4, 4, 4, 4, 4, 4, 4, 4]"
"R(C(C(S(), S()), Z()), C(C(S(), S()), R(Z(), P(3, 3))))",True,4,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[2, 2, 4, 6, 8, 10, 12, 14, 16, 18]"
"C(R(C(S(), Z()), R(Z(), P(3, 1))), R(Z(), P(2, 1)))",True,4,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[1, 1, 0, 0, 1, 2, 3, 4, 5, 6]"
"R(C(C(S(), S()), C(S(), Z())), R(S(), P(3, 1)))",True,4,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[3, 4, 0, 1, 2, 3, 4, 5, 6, 7]"
"R(C(C(S(), S()), Z()), C(R(Z(), P(2, 1)), R(S(), P(3, 3))))",True,4,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[2, 2, 1, 0, 0, 0, 0, 0, 0, 0]"
"R(C(C(S(), S()), C(S(), Z())), R(R(Z(), P(2, 1)), C(S(), P(3, 1))))",True,4,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[3, 2, 1, 2, 3, 4, 5, 6, 7, 8]"
"C(R(C(S(), Z()), P(2, 1)), R(C(S(), Z()), R(S(), P(3, 1))))",True,4,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[0, 1, 1, 0, 1, 2, 3, 4, 5, 6]"
"R(C(C(S(), S()), Z()), C(C(S(), S()), P(2, 2)))",True,4,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[2, 4, 6, 8, 10, 12, 14, 16, 18, 20]"
"C(C(C(S(), S()), S()), C(R(Z(), P(2, 1)), R(Z(), P(2, 1))))",True,4,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[3, 3, 3, 4, 5, 6, 7, 8, 9, 10]"
"R(C(C(S(), S()), Z()), C(C(S(), S()), C(S(), P(2, 2))))",True,4,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[2, 5, 8, 11, 14, 17, 20, 23, 26, 29]"
"C(R(C(S(), Z()), R(S(), P(3, 3))), C(R(Z(), P(2, 1)), R(Z(), P(2, 1))))",True,4,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[1, 1, 1, 2, 2, 2, 2, 2, 2, 2]"
"R(C(C(S(), S()), Z()), C(C(S(), S()), R(P(1, 1), P(3, 1))))",True,4,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[2, 4, 2, 3, 4, 5, 6, 7, 8, 9]"
"C(R(C(S(), Z()), R(P(1, 1), P(3, 1))), R(C(S(), Z()), R(S(), P(3, 1))))",True,4,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[1, 0, 1, 1, 0, 1, 2, 3, 4, 5]"
"C(R(C(S(), Z()), R(Z(), P(3, 3))), C(R(Z(), P(2, 1)), R(Z(), P(2, 1))))",True,4,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[1, 1, 1, 0, 0, 0, 0, 0, 0, 0]"
"C(C(C(S(), S()), C(S(), S())), R(C(S(), Z()), R(Z(), P(3, 1))))",True,4,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[5, 4, 4, 5, 6, 7, 8, 9, 10, 11]"
"R(C(C(S(), S()), C(S(), Z())), R(C(S(), S()), C(S(), P(3, 2))))",True,4,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[3, 5, 8, 12, 17, 23, 30, 38, 47, 57]"
"R(C(C(S(), S()), C(S(), Z())), C(R(Z(), P(2, 1)), R(Z(), P(3, 1))))",True,4,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[3, 0, 0, 0, 1, 2, 3, 4, 5, 6]"
"C(R(C(S(), Z()), R(S(), P(3, 1))), R(C(S(), Z()), R(Z(), P(3, 1))))",True,4,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[2, 1, 1, 2, 0, 1, 2, 3, 4, 5]"
"R(C(C(S(), S()), C(S(), Z())), R(Z(), P(3, 1)))",True,4,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[3, 0, 0, 1, 2, 3, 4, 5, 6, 7]"
"C(R(C(S(), Z()), P(2, 1)), R(C(S(), Z()), P(2, 1)))",True,4,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[0, 1, 0, 1, 2, 3, 4, 5, 6, 7]"
"C(C(C(S(), S()), C(S(), S())), R(Z(), P(2, 1)))",True,4,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[4, 4, 5, 6, 7, 8, 9, 10, 11, 12]"
"C(C(C(S(), S()), C(S(), S())), C(C(S(), S()), S()))",True,4,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[7, 8, 9, 10, 11, 12, 13, 14, 15, 16]"
"C(R(C(S(), Z()), R(Z(), P(3, 1))), R(C(S(), Z()), R(S(), P(3, 1))))",True,4,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[0, 0, 1, 0, 0, 1, 2, 3, 4, 5]"
"C(C(C(S(), S()), C(S(), S())), C(C(S(), S()), C(S(), S())))",True,4,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[8, 9, 10, 11, 12, 13, 14, 15, 16, 17]"
"C(R(C(S(), Z()), R(S(), P(3, 1))), S())",True,4,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[2, 0, 1, 2, 3, 4, 5, 6, 7, 8]"
"R(C(C(S(), S()), C(S(), Z())), C(S(), P(2, 1)))",True,4,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[3, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
"C(C(C(S(), S()), C(S(), S())), R(C(S(), Z()), R(P(1, 1), P(3, 1))))",True,4,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[5, 5, 4, 5, 6, 7, 8, 9, 10, 11]"
"R(C(C(S(), S()), C(S(), Z())), C(R(Z(), P(2, 1)), R(S(), P(3, 1))))",True,4,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[3, 3, 0, 0, 1, 2, 3, 4, 5, 6]"
"R(C(C(S(), S()), Z()), C(C(S(), S()), R(S(), P(3, 1))))",True,4,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[2, 5, 2, 3, 4, 5, 6, 7, 8, 9]"
"C(C(C(S(), S()), R(Z(), P(2, 1))), C(C(S(), S()), R(Z(), P(2, 1))))",True,4,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[3, 3, 4, 5, 6, 7, 8, 9, 10, 11]"
"R(C(C(S(), S()), C(S(), Z())), R(P(1, 1), P(3, 1)))",True,4,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[3, 3, 0, 1, 2, 3, 4, 5, 6, 7]"
"C(R(C(S(), Z()), R(S(), P(3, 1))), R(C(S(), Z()), R(S(), P(3, 3))))",True,4,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[2, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"C(R(C(S(), Z()), P(2, 1)), C(R(Z(), P(2, 1)), R(Z(), P(2, 1))))",True,4,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[1, 1, 1, 0, 1, 2, 3, 4, 5, 6]"
"R(C(C(S(), S()), C(S(), Z())), R(P(1, 1), C(S(), P(3, 2))))",True,4,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[3, 3, 4, 6, 9, 13, 18, 24, 31, 39]"
"C(C(C(S(), S()), C(S(), S())), R(C(S(), Z()), R(Z(), P(3, 3))))",True,4,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[5, 4, 4, 4, 4, 4, 4, 4, 4, 4]"
"C(R(C(S(), Z()), R(Z(), P(3, 1))), R(C(S(), Z()), P(2, 1)))",True,4,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[0, 1, 0, 0, 1, 2, 3, 4, 5, 6]"
"C(C(S(), R(Z(), P(2, 1))), R(Z(), P(2, 1)))",True,4,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[1, 1, 1, 2, 3, 4, 5, 6, 7, 8]"
"R(C(C(S(), S()), C(S(), Z())), C(S(), R(S(), P(3, 1))))",True,4,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[3, 5, 1, 2, 3, 4, 5, 6, 7, 8]"
"R(C(C(S(), S()), C(S(), Z())), C(R(Z(), P(2, 1)), P(2, 2)))",True,4,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[3, 2, 1, 0, 0, 0, 0, 0, 0, 0]"
"C(C(C(S(), S()), C(S(), S())), R(C(S(), Z()), R(S(), P(3, 1))))",True,4,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[5, 6, 4, 5, 6, 7, 8, 9, 10, 11]"
"C(R(C(S(), Z()), R(S(), P(3, 1))), R(C(S(), Z()), R(Z(), P(3, 3))))",True,4,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[2, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
"C(C(C(S(), S()), C(S(), S())), C(S(), R(Z(), P(2, 1))))",True,4,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[5, 5, 6, 7, 8, 9, 10, 11, 12, 13]"
"R(C(C(S(), S()), Z()), R(C(S(), Z()), P(3, 1)))",True,4,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[2, 1, 0, 1, 2, 3, 4, 5, 6, 7]"
"C(R(C(S(), Z()), R(S(), P(3, 1))), R(C(S(), Z()), R(S(), P(3, 1))))",True,4,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[2, 0, 1, 2, 0, 1, 2, 3, 4, 5]"
"C(R(C(S(), Z()), R(P(1, 1), P(3, 1))), C(R(Z(), P(2, 1)), R(Z(), P(2, 1))))",True,4,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[1, 1, 1, 1, 0, 1, 2, 3, 4, 5]"
"C(C(R(Z(), P(2, 1)), R(Z(), P(2, 1))), C(R(Z(), P(2, 1)), R(Z(), P(2, 1))))",True,4,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[0, 0, 0, 0, 0, 1, 2, 3, 4, 5]"
"C(R(C(S(), Z()), R(S(), P(3, 1))), C(S(), R(Z(), P(2, 1))))",True,4,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[2, 2, 0, 1, 2, 3, 4, 5, 6, 7]"
"R(C(C(S(), S()), Z()), R(S(), P(3, 1)))",True,4,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[2, 3, 0, 1, 2, 3, 4, 5, 6, 7]"
"R(C(C(S(), S()), C(S(), Z())), C(R(Z(), P(2, 1)), R(S(), P(3, 3))))",True,4,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[3, 3, 2, 1, 0, 0, 0, 0, 0, 0]"
"R(C(C(S(), S()), C(S(), Z())), R(C(S(), S()), P(3, 3)))",True,4,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[3, 5, 5, 5, 5, 5, 5, 5, 5, 5]"
"C(R(C(S(), Z()), R(Z(), P(3, 3))), R(C(S(), Z()), R(Z(), P(3, 1))))",True,4,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[0, 1, 1, 0, 0, 0, 0, 0, 0, 0]"
"R(C(C(S(), S()), C(S(), Z())), C(C(S(), S()), R(Z(), P(3, 3))))",True,4,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[3, 2, 4, 6, 8, 10, 12, 14, 16, 18]"
"C(R(C(S(), Z()), R(S(), P(3, 3))), R(Z(), P(2, 1)))",True,4,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[1, 1, 2, 2, 2, 2, 2, 2, 2, 2]"
"R(C(C(S(), S()), C(S(), Z())), R(R(Z(), P(2, 1)), P(3, 1)))",True,4,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[3, 2, 0, 1, 2, 3, 4, 5, 6, 7]"
"R(C(C(S(), S()), Z()), C(C(S(), S()), R(S(), P(3, 3))))",True,4,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[2, 5, 7, 9, 11, 13, 15, 17, 19, 21]"
"C(C(C(S(), S()), S()), R(C(S(), Z()), R(P(1, 1), P(3, 1))))",True,4,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[4, 4, 3, 4, 5, 6, 7, 8, 9, 10]"
"C(C(C(S(), S()), C(S(), S())), S())",True,4,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[5, 6, 7, 8, 9, 10, 11, 12, 13, 14]"
"C(R(C(S(), Z()), R(Z(), P(3, 1))), C(R(Z(), P(2, 1)), R(Z(), P(2, 1))))",True,4,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[1, 1, 1, 0, 0, 1, 2, 3, 4, 5]"
"C(C(C(S(), S()), C(S(), S())), R(C(S(), Z()), P(2, 1)))",True,4,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[5, 4, 5, 6, 7, 8, 9, 10, 11, 12]"
"C(R(C(S(), Z()), R(Z(), P(3, 3))), R(Z(), P(2, 1)))",True,4,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[1, 1, 0, 0, 0, 0, 0, 0, 0, 0]"
"R(C(C(S(), S()), C(S(), Z())), R(Z(), P(3, 3)))",True,4,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[3, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"R(C(C(S(), S()), C(S(), Z())), C(S(), R(P(1, 1), P(3, 1))))",True,4,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[3, 4, 1, 2, 3, 4, 5, 6, 7, 8]"
"R(C(C(S(), S()), C(S(), Z())), R(P(1, 1), C(S(), P(3, 1))))",True,4,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[3, 3, 1, 2, 3, 4, 5, 6, 7, 8]"
"C(C(S(), R(Z(), P(2, 1))), R(C(S(), Z()), R(S(), P(3, 1))))",True,4,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[1, 2, 1, 1, 2, 3, 4, 5, 6, 7]"
"C(R(C(S(), Z()), R(S(), P(3, 1))), R(C(S(), Z()), P(2, 1)))",True,4,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[2, 1, 2, 0, 1, 2, 3, 4, 5, 6]"
"R(C(C(S(), S()), Z()), R(R(Z(), P(2, 1)), C(S(), P(3, 2))))",True,4,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[2, 1, 1, 2, 4, 7, 11, 16, 22, 29]"
"C(S(), R(C(S(), Z()), R(Z(), P(3, 1))))",True,4,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[2, 1, 1, 2, 3, 4, 5, 6, 7, 8]"
"R(C(C(S(), S()), C(S(), Z())), C(R(Z(), P(2, 1)), R(P(1, 1), P(3, 1))))",True,4,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[3, 2, 0, 0, 1, 2, 3, 4, 5, 6]"
"C(C(C(S(), S()), R(Z(), P(2, 1))), R(Z(), P(2, 1)))",True,4,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[2, 2, 2, 3, 4, 5, 6, 7, 8, 9]"
"R(C(C(S(), S()), Z()), R(C(S(), S()), C(S(), P(3, 2))))",True,4,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[2, 4, 7, 11, 16, 22, 29, 37, 46, 56]"
"C(C(C(S(), S()), C(S(), S())), R(C(S(), Z()), R(S(), P(3, 3))))",True,4,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[5, 6, 6, 6, 6, 6, 6, 6, 6, 6]"
"R(C(C(S(), S()), C(S(), Z())), R(S(), C(S(), P(3, 2))))",True,4,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[3, 4, 6, 9, 13, 18, 24, 31, 39, 48]"
"C(C(C(S(), S()), C(S(), S())), C(R(Z(), P(2, 1)), R(Z(), P(2, 1))))",True,4,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[4, 4, 4, 5, 6, 7, 8, 9, 10, 11]"
"C(C(S(), S()), R(C(S(), Z()), R(Z(), P(3, 1))))",True,4,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[3, 2, 2, 3, 4, 5, 6, 7, 8, 9]"
"R(C(C(S(), S()), C(S(), Z())), C(C(S(), S()), R(S(), P(3, 1))))",True,4,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[3, 6, 2, 3, 4, 5, 6, 7, 8, 9]"
"C(S(), R(C(S(), Z()), R(P(1, 1), P(3, 1))))",True,4,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[2, 2, 1, 2, 3, 4, 5, 6, 7, 8]"
