SPF,valid,depth,inputs,outputs
"C(C(C(S(), S()), C(S(), S())), C(C(S(), S()), R(Z(), P(2, 1))))",True,4,"[0, 1, 2, 3, 4, 5, 6]","[6, 6, 7, 8, 9, 10, 11]"
"C(C(S(), R(Z(), P(2, 1))), R(Z(), P(2, 1)))",True,4,"[0, 1, 2, 3, 4, 5, 6]","[1, 1, 1, 2, 3, 4, 5]"
"C(C(C(S(), S()), C(S(), S())), C(R(Z(), P(2, 1)), R(Z(), P(2, 1))))",True,4,"[0, 1, 2, 3, 4, 5, 6]","[4, 4, 4, 5, 6, 7, 8]"
"R(C(C(S(), S()), Z()), C(C(S(), S()), P(2, 2)))",True,4,"[0, 1, 2, 3, 4, 5, 6]","[2, 4, 6, 8, 10, 12, 14]"
"C(C(C(S(), S()), S()), C(C(S(), S()), C(S(), S())))",True,4,"[0, 1, 2, 3, 4, 5, 6]","[7, 8, 9, 10, 11, 12, 13]"
"C(C(C(S(), S()), R(Z(), P(2, 1))), R(Z(), P(2, 1)))",True,4,"[0, 1, 2, 3, 4, 5, 6]","[2, 2, 2, 3, 4, 5, 6]"
"C(R(C(S(), Z()), P(2, 1)), C(R(Z(), P(2, 1)), R(Z(), P(2, 1))))",True,4,"[0, 1, 2, 3, 4, 5, 6]","[1, 1, 1, 0, 1, 2, 3]"
"R(C(C(S(), S()), C(S(), Z())), C(C(S(), S()), P(2, 2)))",True,4,"[0, 1, 2, 3, 4, 5, 6]","[3, 5, 7, 9, 11, 13, 15]"
"C(C(C(S(), S()), R(Z(), P(2, 1))), C(C(S(), S()), C(S(), Z())))",True,4,"[0, 1, 2, 3, 4, 5, 6]","[4, 4, 4, 4, 4, 4, 4]"
"C(C(C(S(), S()), C(S(), S())), C(C(S(), S()), C(S(), S())))",True,4,"[0, 1, 2, 3, 4, 5, 6]","[8, 9, 10, 11, 12, 13, 14]"
"C(C(C(S(), S()), S()), C(C(S(), S()), Z()))",True,4,"[0, 1, 2, 3, 4, 5, 6]","[5, 5, 5, 5, 5, 5, 5]"
"C(C(R(Z(), P(2, 1)), R(Z(), P(2, 1))), C(R(Z(), P(2, 1)), R(Z(), P(2, 1))))",True,4,"[0, 1, 2, 3, 4, 5, 6]","[0, 0, 0, 0, 0, 1, 2]"
"C(C(C(S(), S()), S()), C(S(), R(Z(), P(2, 1))))",True,4,"[0, 1, 2, 3, 4, 5, 6]","[4, 4, 5, 6, 7, 8, 9]"
"C(C(S(), R(Z(), P(2, 1))), C(R(Z(), P(2, 1)), R(Z(), P(2, 1))))",True,4,"[0, 1, 2, 3, 4, 5, 6]","[1, 1, 1, 1, 2, 3, 4]"
"R(C(C(S(), S()), C(S(), Z())), C(R(Z(), P(2, 1)), P(2, 1)))",True,4,"[0, 1, 2, 3, 4, 5, 6]","[3, 0, 0, 1, 2, 3, 4]"
"C(C(C(S(), S()), R(Z(), P(2, 1))), C(C(S(), S()), R(Z(), P(2, 1))))",True,4,"[0, 1, 2, 3, 4, 5, 6]","[3, 3, 4, 5, 6, 7, 8]"
"R(C(C(S(), S()), Z()), C(R(Z(), P(2, 1)), P(2, 1)))",True,4,"[0, 1, 2, 3, 4, 5, 6]","[2, 0, 0, 1, 2, 3, 4]"
"C(C(C(S(), S()), S()), C(C(S(), S()), C(S(), Z())))",True,4,"[0, 1, 2, 3, 4, 5, 6]","[6, 6, 6, 6, 6, 6, 6]"
"C(C(C(S(), S()), R(Z(), P(2, 1))), C(R(Z(), P(2, 1)), R(Z(), P(2, 1))))",True,4,"[0, 1, 2, 3, 4, 5, 6]","[2, 2, 2, 2, 3, 4, 5]"
"C(R(C(C(S(), S()), Z()), P(2, 1)), C(C(R(Z(), P(2, 1)), R(Z(), P(2, 1))), R(Z(), P(2, 1))))",True,5,"[0, 1, 2, 3, 4, 5, 6]","[2, 2, 2, 2, 0, 1, 2]"
"C(R(C(C(S(), S()), Z()), C(C(S(), S()), P(2, 2))), C(C(S(), S()), R(C(S(), Z()), P(2, 1))))",True,5,"[0, 1, 2, 3, 4, 5, 6]","[8, 6, 8, 10, 12, 14, 16]"
"C(C(C(C(S(), S()), R(Z(), P(2, 1))), C(C(S(), S()), C(S(), S()))), C(R(C(S(), Z()), P(2, 1)), R(Z(), P(2, 1))))",True,5,"[0, 1, 2, 3, 4, 5, 6]","[6, 6, 5, 6, 7, 8, 9]"
"C(R(C(C(S(), S()), C(S(), Z())), C(C(S(), S()), P(2, 2))), R(C(C(S(), S()), C(S(), Z())), C(S(), P(2, 1))))",True,5,"[0, 1, 2, 3, 4, 5, 6]","[9, 5, 7, 9, 11, 13, 15]"
"C(R(C(C(S(), S()), Z()), C(C(S(), S()), P(2, 2))), R(C(C(S(), S()), Z()), C(C(S(), S()), C(S(), P(2, 2)))))",True,5,"[0, 1, 2, 3, 4, 5, 6]","[6, 12, 18, 24, 30, 36, 42]"
"R(C(C(C(S(), S()), S()), C(C(S(), S()), Z())), C(R(C(S(), Z()), P(2, 1)), C(R(Z(), P(2, 1)), P(2, 2))))",True,5,"[0, 1, 2, 3, 4, 5, 6]","[5, 3, 1, 1, 1, 1, 1]"
"R(C(C(C(S(), S()), C(S(), S())), C(C(S(), S()), C(S(), Z()))), C(C(R(Z(), P(2, 1)), R(Z(), P(2, 1))), C(R(Z(), P(2, 1)), P(2, 1))))",True,5,"[0, 1, 2, 3, 4, 5, 6]","[7, 0, 0, 0, 0, 1, 2]"
"C(C(C(C(S(), S()), R(Z(), P(2, 1))), C(C(S(), S()), C(S(), S()))), C(C(S(), S()), C(S(), S())))",True,5,"[0, 1, 2, 3, 4, 5, 6]","[9, 10, 11, 12, 13, 14, 15]"
"R(C(C(C(S(), S()), S()), C(C(S(), S()), Z())), C(C(S(), R(Z(), P(2, 1))), P(2, 1)))",True,5,"[0, 1, 2, 3, 4, 5, 6]","[5, 1, 1, 2, 3, 4, 5]"
"C(R(C(C(S(), S()), Z()), C(C(S(), S()), C(S(), P(2, 2)))), R(C(C(S(), S()), C(S(), Z())), C(R(Z(), P(2, 1)), P(2, 1))))",True,5,"[0, 1, 2, 3, 4, 5, 6]","[11, 2, 2, 5, 8, 11, 14]"
"C(C(S(), R(C(S(), Z()), P(2, 1))), C(C(R(Z(), P(2, 1)), R(Z(), P(2, 1))), R(Z(), P(2, 1))))",True,5,"[0, 1, 2, 3, 4, 5, 6]","[2, 2, 2, 2, 1, 2, 3]"
"C(R(C(C(S(), S()), C(S(), Z())), C(S(), P(2, 1))), R(C(C(S(), S()), Z()), C(R(Z(), P(2, 1)), P(2, 2))))",True,5,"[0, 1, 2, 3, 4, 5, 6]","[2, 1, 3, 3, 3, 3, 3]"
"C(R(C(C(S(), S()), C(S(), Z())), C(C(S(), S()), C(S(), P(2, 2)))), C(C(C(S(), S()), S()), C(C(S(), S()), Z())))",True,5,"[0, 1, 2, 3, 4, 5, 6]","[18, 18, 18, 18, 18, 18, 18]"
"C(R(Z(), P(2, 1)), R(C(C(S(), S()), C(S(), Z())), C(R(Z(), P(2, 1)), P(2, 1))))",True,5,"[0, 1, 2, 3, 4, 5, 6]","[2, 0, 0, 0, 1, 2, 3]"
"C(C(C(C(S(), S()), R(Z(), P(2, 1))), C(C(S(), S()), C(S(), S()))), C(C(C(S(), S()), C(S(), S())), C(C(S(), S()), C(S(), S()))))",True,5,"[0, 1, 2, 3, 4, 5, 6]","[13, 14, 15, 16, 17, 18, 19]"
"C(C(C(C(S(), S()), R(Z(), P(2, 1))), C(R(Z(), P(2, 1)), R(Z(), P(2, 1)))), R(C(C(S(), S()), Z()), C(C(S(), S()), P(2, 2))))",True,5,"[0, 1, 2, 3, 4, 5, 6]","[2, 3, 5, 7, 9, 11, 13]"
"C(C(C(C(S(), S()), R(Z(), P(2, 1))), C(C(S(), S()), C(S(), S()))), R(C(C(S(), S()), C(S(), Z())), P(2, 1)))",True,5,"[0, 1, 2, 3, 4, 5, 6]","[8, 5, 6, 7, 8, 9, 10]"
"R(C(C(C(S(), S()), C(S(), S())), C(C(S(), S()), C(S(), Z()))), C(C(C(S(), S()), S()), C(C(S(), S()), P(2, 2))))",True,5,"[0, 1, 2, 3, 4, 5, 6]","[7, 12, 17, 22, 27, 32, 37]"
"C(R(C(C(S(), S()), Z()), C(C(S(), S()), P(2, 2))), C(C(C(S(), S()), S()), C(C(S(), S()), C(S(), S()))))",True,5,"[0, 1, 2, 3, 4, 5, 6]","[16, 18, 20, 22, 24, 26, 28]"
"C(R(C(C(S(), S()), Z()), C(C(S(), S()), P(2, 2))), C(C(C(S(), S()), R(Z(), P(2, 1))), C(R(Z(), P(2, 1)), R(Z(), P(2, 1)))))",True,5,"[0, 1, 2, 3, 4, 5, 6]","[6, 6, 6, 6, 8, 10, 12]"
"C(R(C(C(S(), S()), C(S(), Z())), C(C(S(), S()), C(S(), P(2, 2)))), C(C(C(S(), S()), C(S(), S())), C(C(S(), S()), R(Z(), P(2, 1)))))",True,5,"[0, 1, 2, 3, 4, 5, 6]","[21, 21, 24, 27, 30, 33, 36]"
"C(C(C(C(S(), S()), R(Z(), P(2, 1))), C(C(S(), S()), C(S(), S()))), C(R(C(S(), Z()), P(2, 1)), C(R(Z(), P(2, 1)), R(Z(), P(2, 1)))))",True,5,"[0, 1, 2, 3, 4, 5, 6]","[6, 6, 6, 5, 6, 7, 8]"
"C(R(C(C(S(), S()), C(S(), Z())), P(2, 1)), R(C(C(S(), S()), C(S(), Z())), C(R(Z(), P(2, 1)), P(2, 1))))",True,5,"[0, 1, 2, 3, 4, 5, 6]","[2, 3, 3, 0, 1, 2, 3]"
"C(C(C(C(S(), S()), R(Z(), P(2, 1))), C(C(S(), S()), C(S(), S()))), R(C(C(S(), S()), C(S(), Z())), C(C(S(), S()), P(2, 2))))",True,5,"[0, 1, 2, 3, 4, 5, 6]","[8, 10, 12, 14, 16, 18, 20]"
"C(R(C(C(S(), S()), C(S(), Z())), C(R(Z(), P(2, 1)), P(2, 2))), C(C(S(), S()), R(C(S(), Z()), P(2, 1))))",True,5,"[0, 1, 2, 3, 4, 5, 6]","[0, 1, 0, 0, 0, 0, 0]"
"C(C(R(C(S(), Z()), P(2, 1)), R(C(S(), Z()), P(2, 1))), R(Z(), P(2, 1)))",True,5,"[0, 1, 2, 3, 4, 5, 6]","[0, 0, 1, 0, 1, 2, 3]"
"C(C(C(S(), S()), R(C(S(), Z()), P(2, 1))), R(Z(), P(2, 1)))",True,5,"[0, 1, 2, 3, 4, 5, 6]","[3, 3, 2, 3, 4, 5, 6]"
"R(C(C(C(S(), S()), C(S(), S())), C(C(S(), S()), C(S(), Z()))), C(C(C(S(), S()), C(S(), S())), C(C(S(), S()), C(S(), P(2, 2)))))",True,5,"[0, 1, 2, 3, 4, 5, 6]","[7, 14, 21, 28, 35, 42, 49]"
"C(C(C(C(S(), S()), C(S(), S())), C(C(S(), S()), C(S(), S()))), C(R(C(S(), Z()), P(2, 1)), R(Z(), P(2, 1))))",True,5,"[0, 1, 2, 3, 4, 5, 6]","[9, 9, 8, 9, 10, 11, 12]"
"C(R(C(C(S(), S()), C(S(), Z())), C(C(S(), S()), C(S(), P(2, 2)))), C(C(C(S(), S()), R(Z(), P(2, 1))), C(C(S(), S()), R(Z(), P(2, 1)))))",True,5,"[0, 1, 2, 3, 4, 5, 6]","[12, 12, 15, 18, 21, 24, 27]"
"C(C(C(S(), S()), C(S(), S())), R(C(C(S(), S()), C(S(), Z())), C(R(Z(), P(2, 1)), P(2, 1))))",True,5,"[0, 1, 2, 3, 4, 5, 6]","[7, 4, 4, 5, 6, 7, 8]"
"C(C(C(C(S(), S()), R(Z(), P(2, 1))), R(Z(), P(2, 1))), C(R(Z(), P(2, 1)), R(Z(), P(2, 1))))",True,5,"[0, 1, 2, 3, 4, 5, 6]","[2, 2, 2, 2, 2, 3, 4]"
"C(C(C(C(S(), S()), R(Z(), P(2, 1))), C(C(S(), S()), C(S(), S()))), C(C(C(S(), S()), R(Z(), P(2, 1))), C(C(S(), S()), C(S(), S()))))",True,5,"[0, 1, 2, 3, 4, 5, 6]","[10, 11, 12, 13, 14, 15, 16]"
"C(C(C(C(S(), S()), S()), C(C(S(), S()), C(S(), S()))), C(C(C(S(), S()), S()), C(R(Z(), P(2, 1)), R(Z(), P(2, 1)))))",True,5,"[0, 1, 2, 3, 4, 5, 6]","[10, 10, 10, 11, 12, 13, 14]"
"C(C(C(C(S(), S()), C(S(), S())), R(C(S(), Z()), P(2, 1))), R(C(C(S(), S()), C(S(), Z())), C(R(Z(), P(2, 1)), P(2, 1))))",True,5,"[0, 1, 2, 3, 4, 5, 6]","[6, 5, 5, 4, 5, 6, 7]"
"R(C(C(C(S(), S()), S()), C(C(S(), S()), Z())), C(R(Z(), P(2, 1)), P(2, 1)))",True,5,"[0, 1, 2, 3, 4, 5, 6]","[5, 0, 0, 1, 2, 3, 4]"
"C(R(C(S(), Z()), P(2, 1)), R(C(C(S(), S()), C(S(), Z())), C(R(Z(), P(2, 1)), P(2, 2))))",True,5,"[0, 1, 2, 3, 4, 5, 6]","[2, 1, 0, 1, 1, 1, 1]"
"C(R(C(C(S(), S()), C(S(), Z())), C(S(), P(2, 1))), C(C(R(Z(), P(2, 1)), R(Z(), P(2, 1))), C(R(Z(), P(2, 1)), R(Z(), P(2, 1)))))",True,5,"[0, 1, 2, 3, 4, 5, 6]","[3, 3, 3, 3, 3, 1, 2]"
"C(C(R(C(S(), Z()), P(2, 1)), R(C(S(), Z()), P(2, 1))), R(C(S(), Z()), P(2, 1)))",True,5,"[0, 1, 2, 3, 4, 5, 6]","[1, 0, 1, 0, 1, 2, 3]"
"C(C(C(S(), S()), R(C(S(), Z()), P(2, 1))), R(C(S(), Z()), P(2, 1)))",True,5,"[0, 1, 2, 3, 4, 5, 6]","[2, 3, 2, 3, 4, 5, 6]"
"C(R(C(C(S(), S()), Z()), C(C(S(), S()), P(2, 2))), R(C(C(S(), S()), Z()), C(R(Z(), P(2, 1)), P(2, 2))))",True,5,"[0, 1, 2, 3, 4, 5, 6]","[6, 4, 2, 2, 2, 2, 2]"
"C(R(C(C(S(), S()), Z()), C(C(S(), S()), C(S(), P(2, 2)))), C(R(Z(), P(2, 1)), R(Z(), P(2, 1))))",True,5,"[0, 1, 2, 3, 4, 5, 6]","[2, 2, 2, 5, 8, 11, 14]"
"C(R(C(C(S(), S()), C(S(), Z())), C(R(Z(), P(2, 1)), P(2, 2))), C(C(C(S(), S()), R(Z(), P(2, 1))), C(R(Z(), P(2, 1)), R(Z(), P(2, 1)))))",True,5,"[0, 1, 2, 3, 4, 5, 6]","[1, 1, 1, 1, 0, 0, 0]"
"C(R(C(C(S(), S()), C(S(), Z())), C(S(), P(2, 1))), R(C(C(S(), S()), Z()), P(2, 1)))",True,5,"[0, 1, 2, 3, 4, 5, 6]","[2, 3, 1, 2, 3, 4, 5]"
"C(C(C(C(S(), S()), C(S(), S())), C(C(S(), S()), C(S(), S()))), R(C(C(S(), S()), C(S(), Z())), C(S(), P(2, 1))))",True,5,"[0, 1, 2, 3, 4, 5, 6]","[11, 9, 10, 11, 12, 13, 14]"
"C(C(C(C(S(), S()), C(S(), S())), C(C(S(), S()), C(S(), S()))), C(C(C(S(), S()), C(S(), S())), C(C(S(), S()), C(S(), S()))))",True,5,"[0, 1, 2, 3, 4, 5, 6]","[16, 17, 18, 19, 20, 21, 22]"
"C(C(C(C(S(), S()), C(S(), S())), C(C(S(), S()), C(S(), S()))), R(C(C(S(), S()), C(S(), Z())), P(2, 1)))",True,5,"[0, 1, 2, 3, 4, 5, 6]","[11, 8, 9, 10, 11, 12, 13]"
"C(R(C(C(S(), S()), Z()), C(C(S(), S()), C(S(), P(2, 2)))), C(C(C(S(), S()), S()), C(C(S(), S()), C(S(), Z()))))",True,5,"[0, 1, 2, 3, 4, 5, 6]","[20, 20, 20, 20, 20, 20, 20]"
"C(R(C(C(S(), S()), Z()), C(C(S(), S()), C(S(), P(2, 2)))), C(C(S(), R(Z(), P(2, 1))), C(R(Z(), P(2, 1)), R(Z(), P(2, 1)))))",True,5,"[0, 1, 2, 3, 4, 5, 6]","[5, 5, 5, 5, 8, 11, 14]"
"C(R(C(C(S(), S()), Z()), P(2, 1)), C(R(C(S(), Z()), P(2, 1)), R(C(S(), Z()), P(2, 1))))",True,5,"[0, 1, 2, 3, 4, 5, 6]","[2, 0, 2, 0, 1, 2, 3]"
"C(C(S(), R(Z(), P(2, 1))), R(C(C(S(), S()), C(S(), Z())), C(R(Z(), P(2, 1)), P(2, 1))))",True,5,"[0, 1, 2, 3, 4, 5, 6]","[3, 1, 1, 1, 2, 3, 4]"
"C(R(C(C(S(), S()), C(S(), Z())), C(C(S(), S()), P(2, 2))), C(C(C(S(), S()), S()), R(C(S(), Z()), P(2, 1))))",True,5,"[0, 1, 2, 3, 4, 5, 6]","[11, 9, 11, 13, 15, 17, 19]"
"C(C(C(C(S(), S()), R(Z(), P(2, 1))), C(C(S(), S()), R(Z(), P(2, 1)))), R(C(C(S(), S()), C(S(), Z())), C(R(Z(), P(2, 1)), P(2, 2))))",True,5,"[0, 1, 2, 3, 4, 5, 6]","[5, 4, 3, 3, 3, 3, 3]"
"C(R(C(C(S(), S()), Z()), C(C(S(), S()), P(2, 2))), C(C(C(S(), S()), R(Z(), P(2, 1))), R(Z(), P(2, 1))))",True,5,"[0, 1, 2, 3, 4, 5, 6]","[6, 6, 6, 8, 10, 12, 14]"
"C(R(C(C(S(), S()), C(S(), Z())), C(C(S(), S()), C(S(), P(2, 2)))), C(R(Z(), P(2, 1)), R(Z(), P(2, 1))))",True,5,"[0, 1, 2, 3, 4, 5, 6]","[3, 3, 3, 6, 9, 12, 15]"
"C(R(C(C(S(), S()), C(S(), Z())), P(2, 1)), C(R(Z(), P(2, 1)), R(Z(), P(2, 1))))",True,5,"[0, 1, 2, 3, 4, 5, 6]","[3, 3, 3, 0, 1, 2, 3]"
"C(R(C(C(S(), S()), C(S(), Z())), C(C(S(), S()), P(2, 2))), C(C(S(), R(Z(), P(2, 1))), R(Z(), P(2, 1))))",True,5,"[0, 1, 2, 3, 4, 5, 6]","[5, 5, 5, 7, 9, 11, 13]"
"C(C(C(C(S(), S()), S()), C(C(S(), S()), R(Z(), P(2, 1)))), R(C(C(S(), S()), Z()), P(2, 1)))",True,5,"[0, 1, 2, 3, 4, 5, 6]","[6, 5, 5, 6, 7, 8, 9]"
"C(R(C(C(S(), S()), Z()), C(R(Z(), P(2, 1)), P(2, 1))), R(C(C(S(), S()), C(S(), Z())), C(R(Z(), P(2, 1)), P(2, 1))))",True,5,"[0, 1, 2, 3, 4, 5, 6]","[1, 2, 2, 0, 0, 1, 2]"
"C(R(C(C(S(), S()), Z()), P(2, 1)), R(C(S(), Z()), P(2, 1)))",True,5,"[0, 1, 2, 3, 4, 5, 6]","[0, 2, 0, 1, 2, 3, 4]"
"C(C(S(), R(C(S(), Z()), P(2, 1))), R(Z(), P(2, 1)))",True,5,"[0, 1, 2, 3, 4, 5, 6]","[2, 2, 1, 2, 3, 4, 5]"
"C(C(C(C(S(), S()), S()), R(C(S(), Z()), P(2, 1))), R(C(C(S(), S()), Z()), C(C(S(), S()), P(2, 2))))",True,5,"[0, 1, 2, 3, 4, 5, 6]","[4, 6, 8, 10, 12, 14, 16]"
"C(C(C(C(S(), S()), S()), C(C(S(), S()), R(Z(), P(2, 1)))), R(C(C(S(), S()), Z()), C(C(S(), S()), P(2, 2))))",True,5,"[0, 1, 2, 3, 4, 5, 6]","[6, 8, 10, 12, 14, 16, 18]"
"C(C(C(C(S(), S()), R(Z(), P(2, 1))), C(C(S(), S()), C(S(), S()))), C(C(C(S(), S()), S()), C(R(Z(), P(2, 1)), R(Z(), P(2, 1)))))",True,5,"[0, 1, 2, 3, 4, 5, 6]","[8, 8, 8, 9, 10, 11, 12]"
"C(R(C(C(S(), S()), C(S(), Z())), C(R(Z(), P(2, 1)), P(2, 2))), R(C(C(S(), S()), Z()), C(R(Z(), P(2, 1)), P(2, 2))))",True,5,"[0, 1, 2, 3, 4, 5, 6]","[1, 2, 3, 3, 3, 3, 3]"
"C(R(C(C(S(), S()), C(S(), Z())), C(S(), P(2, 1))), C(C(R(Z(), P(2, 1)), R(Z(), P(2, 1))), R(Z(), P(2, 1))))",True,5,"[0, 1, 2, 3, 4, 5, 6]","[3, 3, 3, 3, 1, 2, 3]"
"C(R(C(C(S(), S()), Z()), C(C(S(), S()), P(2, 2))), C(C(R(Z(), P(2, 1)), R(Z(), P(2, 1))), C(R(Z(), P(2, 1)), R(Z(), P(2, 1)))))",True,5,"[0, 1, 2, 3, 4, 5, 6]","[2, 2, 2, 2, 2, 4, 6]"
"C(C(R(C(S(), Z()), P(2, 1)), R(Z(), P(2, 1))), R(C(C(S(), S()), C(S(), Z())), C(R(Z(), P(2, 1)), P(2, 2))))",True,5,"[0, 1, 2, 3, 4, 5, 6]","[1, 0, 1, 1, 1, 1, 1]"
"C(R(C(C(S(), S()), Z()), C(C(S(), S()), P(2, 2))), C(C(C(S(), S()), C(S(), S())), C(R(Z(), P(2, 1)), R(Z(), P(2, 1)))))",True,5,"[0, 1, 2, 3, 4, 5, 6]","[10, 10, 10, 12, 14, 16, 18]"
"C(R(C(C(S(), S()), Z()), C(C(S(), S()), C(S(), P(2, 2)))), C(C(C(S(), S()), S()), C(C(S(), S()), S())))",True,5,"[0, 1, 2, 3, 4, 5, 6]","[20, 23, 26, 29, 32, 35, 38]"
"C(R(C(S(), Z()), P(2, 1)), R(C(C(S(), S()), C(S(), Z())), C(R(Z(), P(2, 1)), P(2, 1))))",True,5,"[0, 1, 2, 3, 4, 5, 6]","[2, 1, 1, 0, 1, 2, 3]"
"C(R(C(C(S(), S()), C(S(), Z())), C(R(Z(), P(2, 1)), P(2, 2))), C(C(C(S(), S()), R(Z(), P(2, 1))), R(Z(), P(2, 1))))",True,5,"[0, 1, 2, 3, 4, 5, 6]","[1, 1, 1, 0, 0, 0, 0]"
"C(C(S(), R(C(S(), Z()), P(2, 1))), R(C(S(), Z()), P(2, 1)))",True,5,"[0, 1, 2, 3, 4, 5, 6]","[1, 2, 1, 2, 3, 4, 5]"
"C(C(S(), S()), R(C(C(S(), S()), C(S(), Z())), C(R(Z(), P(2, 1)), P(2, 2))))",True,5,"[0, 1, 2, 3, 4, 5, 6]","[5, 4, 3, 2, 2, 2, 2]"
