,expr,arity,inputs,outputs,len_expr
2139,"C(R(P(1, 1), P(3, 1), S()), R(P(1, 1), P(2, 1), Z()), S())",1,"[[0], [1], [2], [3], [4], [5], [6], [7], [8], [9]]","[2, 3, 0, 1, 2, 3, 4, 5, 6, 7]",58
2449,"R(P(2, 2), C(S(), Z()), C(S(), P(3, 2)), Z(), C(S(), Z()))",1,"[[0], [1], [2], [3], [4], [5], [6], [7], [8], [9]]","[1, 1, 2, 2, 2, 2, 2, 2, 2, 2]",58
2453,"R(P(2, 2), C(S(), Z()), C(S(), P(3, 2)), C(S(), Z()), Z())",1,"[[0], [1], [2], [3], [4], [5], [6], [7], [8], [9]]","[0, 2, 2, 2, 2, 2, 2, 2, 2, 2]",58
439,"R(R(P(1, 1), P(3, 1), S()), P(3, 3), C(S(), Z()), Z(), Z())",1,"[[0], [1], [2], [3], [4], [5], [6], [7], [8], [9]]","[1, 2, 0, 0, 0, 0, 0, 0, 0, 0]",59
919,"R(S(), R(P(2, 1), P(4, 3), P(4, 1), S(), S()), C(S(), Z()))",1,"[[0], [1], [2], [3], [4], [5], [6], [7], [8], [9]]","[2, 3, 4, 1, 2, 3, 4, 5, 6, 7]",59
1035,"R(P(1, 1), R(P(2, 1), P(4, 3), P(4, 2), S(), P(1, 1)), Z())",1,"[[0], [1], [2], [3], [4], [5], [6], [7], [8], [9]]","[0, 1, 1, 2, 2, 3, 3, 4, 4, 5]",59
1051,"R(P(1, 1), R(P(2, 1), P(4, 3), P(4, 2), P(1, 1), S()), Z())",1,"[[0], [1], [2], [3], [4], [5], [6], [7], [8], [9]]","[0, 0, 1, 1, 2, 2, 3, 3, 4, 4]",59
1129,"R(C(S(), S()), R(P(2, 1), P(4, 3), P(4, 1), S(), S()), Z())",1,"[[0], [1], [2], [3], [4], [5], [6], [7], [8], [9]]","[2, 3, 4, 2, 3, 4, 5, 6, 7, 8]",59
1507,"R(R(S(), P(3, 2), S()), P(3, 3), P(3, 2), Z(), C(S(), Z()))",1,"[[0], [1], [2], [3], [4], [5], [6], [7], [8], [9]]","[3, 2, 3, 2, 3, 2, 3, 2, 3, 2]",59
1516,"R(R(S(), P(3, 2), S()), P(3, 3), P(3, 2), C(S(), Z()), Z())",1,"[[0], [1], [2], [3], [4], [5], [6], [7], [8], [9]]","[2, 3, 2, 3, 2, 3, 2, 3, 2, 3]",59
1915,"C(R(P(2, 1), P(4, 3), P(4, 2), S(), P(1, 1)), P(1, 1), Z())",1,"[[0], [1], [2], [3], [4], [5], [6], [7], [8], [9]]","[1, 0, 1, 0, 1, 0, 1, 0, 1, 0]",59
2398,"C(R(P(2, 1), P(4, 3), P(4, 2), S(), P(1, 1)), S(), P(1, 1))",1,"[[0], [1], [2], [3], [4], [5], [6], [7], [8], [9]]","[0, 2, 2, 4, 4, 6, 6, 8, 8, 10]",59
2417,"C(R(P(2, 1), P(4, 3), P(4, 2), S(), P(1, 1)), P(1, 1), S())",1,"[[0], [1], [2], [3], [4], [5], [6], [7], [8], [9]]","[2, 2, 4, 4, 6, 6, 8, 8, 10, 10]",59
598,"R(C(S(), P(2, 1)), P(3, 3), C(S(), P(3, 2)), C(S(), Z()), Z())",1,"[[0], [1], [2], [3], [4], [5], [6], [7], [8], [9]]","[2, 1, 3, 2, 4, 3, 5, 4, 6, 5]",62
2015,"R(R(S(), P(2, 1), Z()), R(P(1, 1), P(3, 1), S()), C(S(), Z()))",1,"[[0], [1], [2], [3], [4], [5], [6], [7], [8], [9]]","[1, 2, 1, 1, 2, 3, 4, 5, 6, 7]",62
2064,"R(P(2, 1), C(S(), P(3, 3)), C(S(), P(3, 1)), Z(), C(S(), Z()))",1,"[[0], [1], [2], [3], [4], [5], [6], [7], [8], [9]]","[0, 2, 2, 3, 4, 5, 6, 7, 8, 9]",62
2149,"C(R(P(1, 1), P(3, 1), S()), R(P(1, 1), P(2, 1), Z()), P(1, 1))",1,"[[0], [1], [2], [3], [4], [5], [6], [7], [8], [9]]","[1, 2, 0, 1, 2, 3, 4, 5, 6, 7]",62
2751,"R(C(S(), P(2, 1)), C(S(), P(3, 3)), P(3, 2), Z(), C(S(), Z()))",1,"[[0], [1], [2], [3], [4], [5], [6], [7], [8], [9]]","[1, 3, 2, 4, 3, 5, 4, 6, 5, 7]",62
3105,"R(C(S(), P(2, 1)), C(S(), P(3, 3)), P(3, 1), Z(), C(S(), Z()))",1,"[[0], [1], [2], [3], [4], [5], [6], [7], [8], [9]]","[1, 3, 2, 3, 4, 5, 6, 7, 8, 9]",62
194,"R(P(2, 2), Z(), R(P(1, 1), P(4, 1), P(2, 1)), Z(), C(S(), Z()))",1,"[[0], [1], [2], [3], [4], [5], [6], [7], [8], [9]]","[1, 0, 0, 1, 2, 3, 4, 5, 6, 7]",63
932,"R(S(), R(P(2, 1), P(4, 3), P(4, 2), S(), P(1, 1)), C(S(), Z()))",1,"[[0], [1], [2], [3], [4], [5], [6], [7], [8], [9]]","[2, 3, 3, 4, 4, 5, 5, 6, 6, 7]",63
944,"R(S(), R(P(2, 1), P(4, 3), P(4, 2), P(1, 1), S()), C(S(), Z()))",1,"[[0], [1], [2], [3], [4], [5], [6], [7], [8], [9]]","[2, 2, 3, 3, 4, 4, 5, 5, 6, 6]",63
1298,"R(R(S(), P(3, 2), S()), Z(), P(3, 2), C(S(), Z()), C(S(), Z()))",1,"[[0], [1], [2], [3], [4], [5], [6], [7], [8], [9]]","[3, 3, 2, 2, 2, 2, 2, 2, 2, 2]",63
1345,"R(R(S(), P(3, 2), S()), Z(), C(S(), P(3, 2)), C(S(), Z()), Z())",1,"[[0], [1], [2], [3], [4], [5], [6], [7], [8], [9]]","[2, 4, 3, 3, 3, 3, 3, 3, 3, 3]",63
1444,"R(R(S(), P(3, 2), S()), C(S(), Z()), P(3, 2), Z(), C(S(), Z()))",1,"[[0], [1], [2], [3], [4], [5], [6], [7], [8], [9]]","[3, 2, 3, 3, 3, 3, 3, 3, 3, 3]",63
1494,"R(R(S(), P(3, 2), S()), C(S(), Z()), C(S(), P(3, 2)), Z(), Z())",1,"[[0], [1], [2], [3], [4], [5], [6], [7], [8], [9]]","[2, 3, 4, 4, 4, 4, 4, 4, 4, 4]",63
1564,"C(R(S(), P(2, 1), Z()), R(P(2, 1), P(3, 3), P(3, 1), Z(), Z()))",1,"[[0], [1], [2], [3], [4], [5], [6], [7], [8], [9]]","[1, 1, 1, 1, 2, 3, 4, 5, 6, 7]",63
1681,"R(R(P(1, 1), P(3, 1), S()), P(3, 3), P(3, 1), Z(), C(S(), Z()))",1,"[[0], [1], [2], [3], [4], [5], [6], [7], [8], [9]]","[2, 0, 2, 0, 1, 2, 3, 4, 5, 6]",63
1701,"R(R(P(1, 1), P(3, 1), S()), P(3, 3), P(3, 2), Z(), C(S(), Z()))",1,"[[0], [1], [2], [3], [4], [5], [6], [7], [8], [9]]","[2, 0, 2, 0, 2, 0, 2, 0, 2, 0]",63
1705,"R(R(P(1, 1), P(3, 1), S()), P(3, 3), P(3, 2), C(S(), Z()), Z())",1,"[[0], [1], [2], [3], [4], [5], [6], [7], [8], [9]]","[0, 2, 0, 2, 0, 2, 0, 2, 0, 2]",63
1762,"R(R(P(1, 1), P(3, 1), S()), P(3, 3), C(S(), P(3, 2)), Z(), Z())",1,"[[0], [1], [2], [3], [4], [5], [6], [7], [8], [9]]","[1, 2, 0, 0, 1, 1, 2, 2, 3, 3]",63
1909,"C(R(P(2, 1), P(4, 3), P(4, 2), S(), P(1, 1)), S(), C(S(), Z()))",1,"[[0], [1], [2], [3], [4], [5], [6], [7], [8], [9]]","[1, 2, 1, 2, 1, 2, 1, 2, 1, 2]",63
2403,"C(R(P(2, 1), P(4, 3), P(4, 2), S(), P(1, 1)), S(), C(S(), S()))",1,"[[0], [1], [2], [3], [4], [5], [6], [7], [8], [9]]","[2, 4, 4, 6, 6, 8, 8, 10, 10, 12]",63
2421,"C(R(P(2, 1), P(4, 3), P(4, 2), S(), P(1, 1)), P(1, 1), P(1, 1))",1,"[[0], [1], [2], [3], [4], [5], [6], [7], [8], [9]]","[1, 1, 3, 3, 5, 5, 7, 7, 9, 9]",63
1736,"R(C(S(), P(2, 2)), Z(), C(S(), P(3, 2)), C(S(), Z()), C(S(), Z()))",1,"[[0], [1], [2], [3], [4], [5], [6], [7], [8], [9]]","[2, 3, 2, 2, 2, 2, 2, 2, 2, 2]",66
1838,"C(R(P(1, 1), P(3, 1), S()), R(P(1, 1), P(2, 1), Z()), C(S(), Z()))",1,"[[0], [1], [2], [3], [4], [5], [6], [7], [8], [9]]","[2, 2, 0, 1, 2, 3, 4, 5, 6, 7]",66
1929,"R(C(S(), P(2, 2)), C(S(), Z()), C(S(), P(3, 2)), Z(), C(S(), Z()))",1,"[[0], [1], [2], [3], [4], [5], [6], [7], [8], [9]]","[2, 2, 3, 3, 3, 3, 3, 3, 3, 3]",66
1932,"R(C(S(), P(2, 2)), C(S(), Z()), C(S(), P(3, 2)), C(S(), Z()), Z())",1,"[[0], [1], [2], [3], [4], [5], [6], [7], [8], [9]]","[1, 3, 3, 3, 3, 3, 3, 3, 3, 3]",66
2107,"R(R(P(1, 1), P(2, 1), Z()), R(P(1, 1), P(3, 1), S()), C(S(), Z()))",1,"[[0], [1], [2], [3], [4], [5], [6], [7], [8], [9]]","[0, 1, 0, 0, 1, 2, 3, 4, 5, 6]",66
2156,"C(R(P(1, 1), P(3, 1), S()), R(P(1, 1), P(2, 1), Z()), C(S(), S()))",1,"[[0], [1], [2], [3], [4], [5], [6], [7], [8], [9]]","[3, 4, 0, 1, 2, 3, 4, 5, 6, 7]",66
2458,"R(P(2, 2), C(S(), Z()), C(S(), P(3, 2)), C(S(), Z()), C(S(), Z()))",1,"[[0], [1], [2], [3], [4], [5], [6], [7], [8], [9]]","[1, 2, 2, 2, 2, 2, 2, 2, 2, 2]",66
367,"R(R(S(), P(3, 2), S()), C(S(), P(3, 3)), P(3, 2), Z(), C(S(), Z()))",1,"[[0], [1], [2], [3], [4], [5], [6], [7], [8], [9]]","[3, 2, 4, 3, 5, 4, 6, 5, 7, 6]",67
386,"R(R(P(1, 1), P(3, 1), S()), P(3, 1), C(S(), Z()), C(S(), Z()), Z())",1,"[[0], [1], [2], [3], [4], [5], [6], [7], [8], [9]]","[0, 2, 0, 1, 2, 3, 4, 5, 6, 7]",67
446,"R(R(P(1, 1), P(3, 1), S()), P(3, 3), C(S(), Z()), C(S(), Z()), Z())",1,"[[0], [1], [2], [3], [4], [5], [6], [7], [8], [9]]","[0, 2, 0, 0, 0, 0, 0, 0, 0, 0]",67
770,"R(R(P(1, 1), P(3, 1), S()), Z(), C(S(), P(3, 1)), C(S(), Z()), Z())",1,"[[0], [1], [2], [3], [4], [5], [6], [7], [8], [9]]","[0, 2, 3, 4, 5, 6, 7, 8, 9, 10]",67
798,"R(R(P(1, 1), P(3, 1), S()), Z(), C(S(), P(3, 2)), C(S(), Z()), Z())",1,"[[0], [1], [2], [3], [4], [5], [6], [7], [8], [9]]","[0, 3, 2, 2, 2, 2, 2, 2, 2, 2]",67
939,"R(R(P(1, 1), P(3, 1), S()), C(S(), Z()), P(3, 1), Z(), C(S(), Z()))",1,"[[0], [1], [2], [3], [4], [5], [6], [7], [8], [9]]","[2, 0, 0, 0, 0, 0, 0, 0, 0, 0]",67
1134,"R(C(S(), S()), R(P(2, 1), P(4, 3), P(4, 1), S(), S()), C(S(), Z()))",1,"[[0], [1], [2], [3], [4], [5], [6], [7], [8], [9]]","[3, 4, 5, 2, 3, 4, 5, 6, 7, 8]",67
1194,"R(R(S(), P(3, 2), S()), P(3, 1), C(S(), P(3, 2)), Z(), C(S(), Z()))",1,"[[0], [1], [2], [3], [4], [5], [6], [7], [8], [9]]","[3, 3, 3, 4, 5, 6, 7, 8, 9, 10]",67
1200,"R(R(S(), P(3, 2), S()), P(3, 1), C(S(), P(3, 2)), C(S(), Z()), Z())",1,"[[0], [1], [2], [3], [4], [5], [6], [7], [8], [9]]","[2, 4, 3, 4, 5, 6, 7, 8, 9, 10]",67
1572,"R(R(S(), P(3, 2), S()), P(3, 3), C(S(), P(3, 2)), C(S(), Z()), Z())",1,"[[0], [1], [2], [3], [4], [5], [6], [7], [8], [9]]","[2, 4, 3, 5, 4, 6, 5, 7, 6, 8]",67
1584,"C(R(P(1, 1), P(2, 1), Z()), R(P(2, 1), P(3, 3), P(3, 1), Z(), Z()))",1,"[[0], [1], [2], [3], [4], [5], [6], [7], [8], [9]]","[0, 0, 0, 0, 1, 2, 3, 4, 5, 6]",67
1920,"C(R(P(2, 1), P(4, 3), P(4, 2), S(), P(1, 1)), P(1, 1), C(S(), Z()))",1,"[[0], [1], [2], [3], [4], [5], [6], [7], [8], [9]]","[2, 1, 2, 1, 2, 1, 2, 1, 2, 1]",67
2113,"R(P(2, 1), C(S(), P(3, 3)), R(P(1, 1), P(4, 1), P(2, 1)), Z(), Z())",1,"[[0], [1], [2], [3], [4], [5], [6], [7], [8], [9]]","[0, 1, 1, 1, 2, 3, 4, 5, 6, 7]",67
2426,"C(R(P(2, 1), P(4, 3), P(4, 2), S(), P(1, 1)), P(1, 1), C(S(), S()))",1,"[[0], [1], [2], [3], [4], [5], [6], [7], [8], [9]]","[3, 3, 5, 5, 7, 7, 9, 9, 11, 11]",67
2020,"R(R(S(), P(2, 1), Z()), R(P(2, 1), P(4, 3), P(4, 1), S(), S()), Z())",1,"[[0], [1], [2], [3], [4], [5], [6], [7], [8], [9]]","[1, 1, 2, 1, 1, 2, 3, 4, 5, 6]",68
2207,"R(R(P(2, 1), P(3, 3), P(3, 1), Z(), Z()), R(S(), P(3, 2), S()), Z())",1,"[[0], [1], [2], [3], [4], [5], [6], [7], [8], [9]]","[0, 0, 2, 4, 6, 8, 10, 12, 14, 16]",68
2072,"R(P(2, 1), C(S(), P(3, 3)), C(S(), P(3, 1)), C(S(), Z()), C(S(), Z()))",1,"[[0], [1], [2], [3], [4], [5], [6], [7], [8], [9]]","[1, 2, 2, 3, 4, 5, 6, 7, 8, 9]",70
2782,"R(C(S(), P(2, 1)), C(S(), P(3, 3)), C(S(), P(3, 1)), Z(), C(S(), Z()))",1,"[[0], [1], [2], [3], [4], [5], [6], [7], [8], [9]]","[1, 3, 3, 4, 5, 6, 7, 8, 9, 10]",70
1069,"R(R(P(1, 1), P(3, 1), S()), C(S(), P(3, 3)), P(3, 2), Z(), C(S(), Z()))",1,"[[0], [1], [2], [3], [4], [5], [6], [7], [8], [9]]","[2, 1, 0, 2, 1, 3, 2, 4, 3, 5]",71
1142,"R(C(S(), S()), R(P(2, 1), P(4, 3), P(4, 2), S(), P(1, 1)), C(S(), Z()))",1,"[[0], [1], [2], [3], [4], [5], [6], [7], [8], [9]]","[3, 4, 4, 5, 5, 6, 6, 7, 7, 8]",71
1154,"R(C(S(), S()), R(P(2, 1), P(4, 3), P(4, 2), P(1, 1), S()), C(S(), Z()))",1,"[[0], [1], [2], [3], [4], [5], [6], [7], [8], [9]]","[3, 3, 4, 4, 5, 5, 6, 6, 7, 7]",71
1349,"R(R(S(), P(3, 2), S()), Z(), C(S(), P(3, 2)), C(S(), Z()), C(S(), Z()))",1,"[[0], [1], [2], [3], [4], [5], [6], [7], [8], [9]]","[3, 4, 3, 3, 3, 3, 3, 3, 3, 3]",71
1501,"R(R(S(), P(3, 2), S()), C(S(), Z()), C(S(), P(3, 2)), Z(), C(S(), Z()))",1,"[[0], [1], [2], [3], [4], [5], [6], [7], [8], [9]]","[3, 3, 4, 4, 4, 4, 4, 4, 4, 4]",71
1506,"R(R(S(), P(3, 2), S()), C(S(), Z()), C(S(), P(3, 2)), C(S(), Z()), Z())",1,"[[0], [1], [2], [3], [4], [5], [6], [7], [8], [9]]","[2, 4, 4, 4, 4, 4, 4, 4, 4, 4]",71
1764,"R(C(S(), P(2, 2)), Z(), R(P(1, 1), P(4, 1), P(2, 1)), Z(), C(S(), Z()))",1,"[[0], [1], [2], [3], [4], [5], [6], [7], [8], [9]]","[2, 1, 1, 2, 3, 4, 5, 6, 7, 8]",71
1766,"R(R(P(1, 1), P(3, 1), S()), P(3, 3), C(S(), P(3, 2)), Z(), C(S(), Z()))",1,"[[0], [1], [2], [3], [4], [5], [6], [7], [8], [9]]","[2, 0, 0, 1, 1, 2, 2, 3, 3, 4]",71
1772,"R(R(P(1, 1), P(3, 1), S()), P(3, 3), C(S(), P(3, 2)), C(S(), Z()), Z())",1,"[[0], [1], [2], [3], [4], [5], [6], [7], [8], [9]]","[0, 3, 1, 0, 2, 1, 3, 2, 4, 3]",71
