,expr,inputs,outputs,len,arity
10,"R(S(), R(S(), P(3, 2), S()), Z())","((0,), (1,), (2,), (3,), (4,), (5,), (6,), (7,), (8,), (9,))","(1, 3, 5, 7, 9, 11, 13, 15, 17, 19)",33,1.0
11,"C(S(), C(C(S(), S()), C(S(), S())))","((0,), (1,), (2,), (3,), (4,), (5,), (6,), (7,), (8,), (9,))","(5, 6, 7, 8, 9, 10, 11, 12, 13, 14)",35,1.0
12,"R(S(), C(S(), C(S(), P(2, 1))), Z())","((0,), (1,), (2,), (3,), (4,), (5,), (6,), (7,), (8,), (9,))","(1, 3, 4, 5, 6, 7, 8, 9, 10, 11)",36,1.0
13,"R(C(S(), S()), P(2, 1), C(S(), Z()))","((0,), (1,), (2,), (3,), (4,), (5,), (6,), (7,), (8,), (9,))","(3, 2, 3, 4, 5, 6, 7, 8, 9, 10)",36,1.0
14,"C(C(S(), S()), R(S(), P(2, 1), Z()))","((0,), (1,), (2,), (3,), (4,), (5,), (6,), (7,), (8,), (9,))","(3, 3, 4, 5, 6, 7, 8, 9, 10, 11)",36,1.0
15,"R(S(), R(P(1, 1), P(3, 1), S()), Z())","((0,), (1,), (2,), (3,), (4,), (5,), (6,), (7,), (8,), (9,))","(1, 2, 1, 2, 3, 4, 5, 6, 7, 8)",37,1.0
16,"R(P(1, 1), R(S(), P(3, 2), S()), Z())","((0,), (1,), (2,), (3,), (4,), (5,), (6,), (7,), (8,), (9,))","(0, 2, 4, 6, 8, 10, 12, 14, 16, 18)",37,1.0
17,"R(P(1, 1), C(S(), C(S(), P(2, 1))), Z())","((0,), (1,), (2,), (3,), (4,), (5,), (6,), (7,), (8,), (9,))","(0, 2, 3, 4, 5, 6, 7, 8, 9, 10)",40,1.0
18,"R(S(), R(S(), C(S(), P(3, 2)), S()), Z())","((0,), (1,), (2,), (3,), (4,), (5,), (6,), (7,), (8,), (9,))","(1, 3, 6, 10, 15, 21, 28, 36, 45, 55)",41,1.0
19,"R(S(), C(S(), R(S(), P(3, 2), S())), Z())","((0,), (1,), (2,), (3,), (4,), (5,), (6,), (7,), (8,), (9,))","(1, 4, 7, 10, 13, 16, 19, 22, 25, 28)",41,1.0
20,"R(S(), R(S(), P(3, 2), S()), C(S(), Z()))","((0,), (1,), (2,), (3,), (4,), (5,), (6,), (7,), (8,), (9,))","(2, 4, 6, 8, 10, 12, 14, 16, 18, 20)",41,1.0
21,"R(P(1, 1), R(P(1, 1), P(3, 1), S()), Z())","((0,), (1,), (2,), (3,), (4,), (5,), (6,), (7,), (8,), (9,))","(0, 1, 0, 1, 2, 3, 4, 5, 6, 7)",41,1.0
22,"C(C(S(), S()), C(C(S(), S()), C(S(), S())))","((0,), (1,), (2,), (3,), (4,), (5,), (6,), (7,), (8,), (9,))","(6, 7, 8, 9, 10, 11, 12, 13, 14, 15)",43,1.0
23,"R(S(), P(2, 1), C(C(S(), S()), C(S(), Z())))","((0,), (1,), (2,), (3,), (4,), (5,), (6,), (7,), (8,), (9,))","(4, 1, 2, 3, 4, 5, 6, 7, 8, 9)",44,1.0
24,"R(S(), C(C(S(), S()), C(S(), P(2, 1))), Z())","((0,), (1,), (2,), (3,), (4,), (5,), (6,), (7,), (8,), (9,))","(1, 4, 5, 6, 7, 8, 9, 10, 11, 12)",44,1.0
25,"C(S(), C(C(S(), S()), R(S(), P(2, 1), Z())))","((0,), (1,), (2,), (3,), (4,), (5,), (6,), (7,), (8,), (9,))","(4, 4, 5, 6, 7, 8, 9, 10, 11, 12)",44,1.0
26,"C(S(), R(C(S(), S()), P(2, 1), C(S(), Z())))","((0,), (1,), (2,), (3,), (4,), (5,), (6,), (7,), (8,), (9,))","(4, 3, 4, 5, 6, 7, 8, 9, 10, 11)",44,1.0
27,"R(S(), R(S(), C(S(), P(3, 2)), P(1, 1)), Z())","((0,), (1,), (2,), (3,), (4,), (5,), (6,), (7,), (8,), (9,))","(1, 2, 4, 7, 11, 16, 22, 29, 37, 46)",45,1.0
28,"R(P(1, 1), C(S(), R(S(), P(3, 2), S())), Z())","((0,), (1,), (2,), (3,), (4,), (5,), (6,), (7,), (8,), (9,))","(0, 3, 6, 9, 12, 15, 18, 21, 24, 27)",45,1.0
29,"R(P(1, 1), R(S(), C(S(), P(3, 2)), S()), Z())","((0,), (1,), (2,), (3,), (4,), (5,), (6,), (7,), (8,), (9,))","(0, 2, 5, 9, 14, 20, 27, 35, 44, 54)",45,1.0
30,"R(S(), R(P(1, 1), P(3, 1), S()), C(S(), Z()))","((0,), (1,), (2,), (3,), (4,), (5,), (6,), (7,), (8,), (9,))","(2, 3, 1, 2, 3, 4, 5, 6, 7, 8)",45,1.0
31,"R(C(S(), S()), R(P(1, 1), P(3, 1), S()), Z())","((0,), (1,), (2,), (3,), (4,), (5,), (6,), (7,), (8,), (9,))","(2, 3, 2, 3, 4, 5, 6, 7, 8, 9)",45,1.0
32,"R(P(1, 1), P(2, 1), C(C(S(), S()), C(S(), Z())))","((0,), (1,), (2,), (3,), (4,), (5,), (6,), (7,), (8,), (9,))","(3, 0, 1, 2, 3, 4, 5, 6, 7, 8)",48,1.0
33,"R(P(1, 1), C(C(S(), S()), C(S(), P(2, 1))), Z())","((0,), (1,), (2,), (3,), (4,), (5,), (6,), (7,), (8,), (9,))","(0, 3, 4, 5, 6, 7, 8, 9, 10, 11)",48,1.0
34,"R(S(), R(S(), C(S(), P(3, 2)), S()), C(S(), Z()))","((0,), (1,), (2,), (3,), (4,), (5,), (6,), (7,), (8,), (9,))","(2, 4, 7, 11, 16, 22, 29, 37, 46, 56)",49,1.0
35,"R(S(), R(S(), C(S(), P(3, 2)), C(S(), S())), Z())","((0,), (1,), (2,), (3,), (4,), (5,), (6,), (7,), (8,), (9,))","(1, 4, 8, 13, 19, 26, 34, 43, 53, 64)",49,1.0
36,"R(S(), C(S(), R(S(), P(3, 2), S())), C(S(), Z()))","((0,), (1,), (2,), (3,), (4,), (5,), (6,), (7,), (8,), (9,))","(2, 5, 8, 11, 14, 17, 20, 23, 26, 29)",49,1.0
37,"R(P(1, 1), R(S(), C(S(), P(3, 2)), P(1, 1)), Z())","((0,), (1,), (2,), (3,), (4,), (5,), (6,), (7,), (8,), (9,))","(0, 1, 3, 6, 10, 15, 21, 28, 36, 45)",49,1.0
38,"R(P(1, 1), R(P(1, 1), P(3, 1), S()), C(S(), Z()))","((0,), (1,), (2,), (3,), (4,), (5,), (6,), (7,), (8,), (9,))","(1, 2, 0, 1, 2, 3, 4, 5, 6, 7)",49,1.0
39,"R(C(S(), S()), R(S(), P(3, 2), S()), C(S(), Z()))","((0,), (1,), (2,), (3,), (4,), (5,), (6,), (7,), (8,), (9,))","(3, 5, 7, 9, 11, 13, 15, 17, 19, 21)",49,1.0
40,"C(R(S(), P(2, 1), Z()), R(P(1, 1), P(2, 1), Z()))","((0,), (1,), (2,), (3,), (4,), (5,), (6,), (7,), (8,), (9,))","(1, 1, 1, 2, 3, 4, 5, 6, 7, 8)",49,1.0
41,"R(R(S(), P(2, 1), Z()), R(S(), P(3, 2), S()), Z())","((0,), (1,), (2,), (3,), (4,), (5,), (6,), (7,), (8,), (9,))","(1, 2, 4, 6, 8, 10, 12, 14, 16, 18)",50,1.0
42,"C(C(S(), C(S(), S())), C(C(S(), S()), C(S(), S())))","((0,), (1,), (2,), (3,), (4,), (5,), (6,), (7,), (8,), (9,))","(7, 8, 9, 10, 11, 12, 13, 14, 15, 16)",51,1.0
43,"R(S(), C(C(S(), S()), C(S(), P(2, 1))), C(S(), Z()))","((0,), (1,), (2,), (3,), (4,), (5,), (6,), (7,), (8,), (9,))","(2, 4, 5, 6, 7, 8, 9, 10, 11, 12)",52,1.0
44,"R(C(S(), S()), P(2, 1), C(C(S(), S()), C(S(), Z())))","((0,), (1,), (2,), (3,), (4,), (5,), (6,), (7,), (8,), (9,))","(5, 2, 3, 4, 5, 6, 7, 8, 9, 10)",52,1.0
45,"R(C(S(), S()), C(C(S(), S()), C(S(), P(2, 1))), Z())","((0,), (1,), (2,), (3,), (4,), (5,), (6,), (7,), (8,), (9,))","(2, 5, 6, 7, 8, 9, 10, 11, 12, 13)",52,1.0
46,"C(C(S(), S()), C(C(S(), S()), R(S(), P(2, 1), Z())))","((0,), (1,), (2,), (3,), (4,), (5,), (6,), (7,), (8,), (9,))","(5, 5, 6, 7, 8, 9, 10, 11, 12, 13)",52,1.0
47,"C(C(S(), S()), R(C(S(), S()), P(2, 1), C(S(), Z())))","((0,), (1,), (2,), (3,), (4,), (5,), (6,), (7,), (8,), (9,))","(5, 4, 5, 6, 7, 8, 9, 10, 11, 12)",52,1.0
48,"R(S(), R(S(), C(S(), P(3, 2)), P(1, 1)), C(S(), Z()))","((0,), (1,), (2,), (3,), (4,), (5,), (6,), (7,), (8,), (9,))","(2, 3, 5, 8, 12, 17, 23, 30, 38, 47)",53,1.0
49,"R(P(1, 1), R(S(), C(S(), P(3, 2)), C(S(), S())), Z())","((0,), (1,), (2,), (3,), (4,), (5,), (6,), (7,), (8,), (9,))","(0, 3, 7, 12, 18, 25, 33, 42, 52, 63)",53,1.0
50,"R(S(), R(P(1, 1), P(3, 1), S()), C(S(), C(S(), Z())))","((0,), (1,), (2,), (3,), (4,), (5,), (6,), (7,), (8,), (9,))","(3, 4, 1, 2, 3, 4, 5, 6, 7, 8)",53,1.0
51,"C(S(), R(C(S(), S()), R(P(1, 1), P(3, 1), S()), Z()))","((0,), (1,), (2,), (3,), (4,), (5,), (6,), (7,), (8,), (9,))","(3, 4, 3, 4, 5, 6, 7, 8, 9, 10)",53,1.0
52,"R(C(S(), S()), R(P(1, 1), P(3, 1), S()), C(S(), Z()))","((0,), (1,), (2,), (3,), (4,), (5,), (6,), (7,), (8,), (9,))","(3, 4, 2, 3, 4, 5, 6, 7, 8, 9)",53,1.0
53,"C(R(P(1, 1), P(2, 1), Z()), R(P(1, 1), P(2, 1), Z()))","((0,), (1,), (2,), (3,), (4,), (5,), (6,), (7,), (8,), (9,))","(0, 0, 0, 1, 2, 3, 4, 5, 6, 7)",53,1.0
54,"C(R(S(), R(P(1, 1), P(3, 1), S()), C(S(), Z())), S())","((0,), (1,), (2,), (3,), (4,), (5,), (6,), (7,), (8,), (9,))","(3, 1, 2, 3, 4, 5, 6, 7, 8, 9)",53,1.0
55,"R(R(S(), P(2, 1), Z()), R(P(1, 1), P(3, 1), S()), Z())","((0,), (1,), (2,), (3,), (4,), (5,), (6,), (7,), (8,), (9,))","(1, 1, 1, 1, 2, 3, 4, 5, 6, 7)",54,1.0
56,"R(R(P(1, 1), P(2, 1), Z()), R(S(), P(3, 2), S()), Z())","((0,), (1,), (2,), (3,), (4,), (5,), (6,), (7,), (8,), (9,))","(0, 1, 3, 5, 7, 9, 11, 13, 15, 17)",54,1.0
57,"R(S(), C(R(P(1, 1), P(2, 1), Z()), P(2, 2)), C(S(), Z()))","((0,), (1,), (2,), (3,), (4,), (5,), (6,), (7,), (8,), (9,))","(2, 1, 1, 1, 1, 1, 1, 1, 1, 1)",57,1.0
58,"R(S(), R(S(), C(S(), P(3, 2)), S()), C(S(), C(S(), Z())))","((0,), (1,), (2,), (3,), (4,), (5,), (6,), (7,), (8,), (9,))","(3, 5, 8, 12, 17, 23, 30, 38, 47, 57)",57,1.0
59,"R(S(), R(S(), C(S(), P(3, 2)), C(S(), S())), C(S(), Z()))","((0,), (1,), (2,), (3,), (4,), (5,), (6,), (7,), (8,), (9,))","(2, 5, 9, 14, 20, 27, 35, 44, 54, 65)",57,1.0
60,"R(S(), R(C(S(), S()), C(S(), P(3, 2)), C(S(), S())), Z())","((0,), (1,), (2,), (3,), (4,), (5,), (6,), (7,), (8,), (9,))","(1, 5, 10, 16, 23, 31, 40, 50, 61, 73)",57,1.0
61,"C(R(S(), P(2, 1), C(S(), Z())), R(P(1, 1), P(2, 1), Z()))","((0,), (1,), (2,), (3,), (4,), (5,), (6,), (7,), (8,), (9,))","(2, 2, 1, 2, 3, 4, 5, 6, 7, 8)",57,1.0
62,"R(S(), C(S(), R(S(), P(3, 2), S())), C(S(), C(S(), Z())))","((0,), (1,), (2,), (3,), (4,), (5,), (6,), (7,), (8,), (9,))","(3, 6, 9, 12, 15, 18, 21, 24, 27, 30)",57,1.0
63,"C(R(P(1, 1), R(P(1, 1), P(3, 1), S()), C(S(), Z())), S())","((0,), (1,), (2,), (3,), (4,), (5,), (6,), (7,), (8,), (9,))","(2, 0, 1, 2, 3, 4, 5, 6, 7, 8)",57,1.0
64,"R(P(1, 1), R(P(1, 1), P(3, 1), S()), C(S(), C(S(), Z())))","((0,), (1,), (2,), (3,), (4,), (5,), (6,), (7,), (8,), (9,))","(2, 3, 0, 1, 2, 3, 4, 5, 6, 7)",57,1.0
65,"C(S(), C(R(S(), P(2, 1), Z()), R(P(1, 1), P(2, 1), Z())))","((0,), (1,), (2,), (3,), (4,), (5,), (6,), (7,), (8,), (9,))","(2, 2, 2, 3, 4, 5, 6, 7, 8, 9)",57,1.0
66,"C(S(), R(C(S(), S()), R(S(), P(3, 2), S()), C(S(), Z())))","((0,), (1,), (2,), (3,), (4,), (5,), (6,), (7,), (8,), (9,))","(4, 6, 8, 10, 12, 14, 16, 18, 20, 22)",57,1.0
67,"R(R(S(), P(2, 1), Z()), C(S(), R(S(), P(3, 2), S())), Z())","((0,), (1,), (2,), (3,), (4,), (5,), (6,), (7,), (8,), (9,))","(1, 3, 6, 9, 12, 15, 18, 21, 24, 27)",58,1.0
68,"R(R(S(), P(2, 1), Z()), R(S(), C(S(), P(3, 2)), S()), Z())","((0,), (1,), (2,), (3,), (4,), (5,), (6,), (7,), (8,), (9,))","(1, 2, 5, 9, 14, 20, 27, 35, 44, 54)",58,1.0
69,"C(S(), R(R(S(), P(2, 1), Z()), R(S(), P(3, 2), S()), Z()))","((0,), (1,), (2,), (3,), (4,), (5,), (6,), (7,), (8,), (9,))","(2, 3, 5, 7, 9, 11, 13, 15, 17, 19)",58,1.0
70,"R(R(P(1, 1), P(2, 1), Z()), R(P(1, 1), P(3, 1), S()), Z())","((0,), (1,), (2,), (3,), (4,), (5,), (6,), (7,), (8,), (9,))","(0, 0, 0, 0, 1, 2, 3, 4, 5, 6)",58,1.0
71,"C(C(C(S(), S()), C(S(), S())), C(C(S(), S()), C(S(), S())))","((0,), (1,), (2,), (3,), (4,), (5,), (6,), (7,), (8,), (9,))","(8, 9, 10, 11, 12, 13, 14, 15, 16, 17)",59,1.0
72,"R(C(S(), C(S(), S())), C(C(S(), S()), C(S(), P(2, 1))), Z())","((0,), (1,), (2,), (3,), (4,), (5,), (6,), (7,), (8,), (9,))","(3, 6, 7, 8, 9, 10, 11, 12, 13, 14)",60,1.0
73,"R(C(S(), S()), C(S(), P(2, 1)), C(C(S(), S()), C(S(), Z())))","((0,), (1,), (2,), (3,), (4,), (5,), (6,), (7,), (8,), (9,))","(5, 3, 4, 5, 6, 7, 8, 9, 10, 11)",60,1.0
74,"R(C(S(), S()), C(C(S(), S()), C(S(), P(2, 1))), C(S(), Z()))","((0,), (1,), (2,), (3,), (4,), (5,), (6,), (7,), (8,), (9,))","(3, 5, 6, 7, 8, 9, 10, 11, 12, 13)",60,1.0
75,"C(C(S(), C(S(), S())), C(C(S(), S()), R(S(), P(2, 1), Z())))","((0,), (1,), (2,), (3,), (4,), (5,), (6,), (7,), (8,), (9,))","(6, 6, 7, 8, 9, 10, 11, 12, 13, 14)",60,1.0
76,"C(C(S(), C(S(), S())), R(C(S(), S()), P(2, 1), C(S(), Z())))","((0,), (1,), (2,), (3,), (4,), (5,), (6,), (7,), (8,), (9,))","(6, 5, 6, 7, 8, 9, 10, 11, 12, 13)",60,1.0
77,"R(C(S(), C(S(), S())), P(2, 1), C(C(S(), S()), C(S(), Z())))","((0,), (1,), (2,), (3,), (4,), (5,), (6,), (7,), (8,), (9,))","(6, 3, 4, 5, 6, 7, 8, 9, 10, 11)",60,1.0
78,"R(S(), R(S(), C(S(), P(3, 2)), P(1, 1)), C(S(), C(S(), Z())))","((0,), (1,), (2,), (3,), (4,), (5,), (6,), (7,), (8,), (9,))","(3, 4, 6, 9, 13, 18, 24, 31, 39, 48)",61,1.0
79,"C(R(C(S(), S()), R(P(1, 1), P(3, 1), S()), C(S(), Z())), S())","((0,), (1,), (2,), (3,), (4,), (5,), (6,), (7,), (8,), (9,))","(4, 2, 3, 4, 5, 6, 7, 8, 9, 10)",61,1.0
80,"R(P(1, 1), C(R(P(1, 1), P(2, 1), Z()), P(2, 2)), C(S(), Z()))","((0,), (1,), (2,), (3,), (4,), (5,), (6,), (7,), (8,), (9,))","(1, 0, 0, 0, 0, 0, 0, 0, 0, 0)",61,1.0
81,"R(R(S(), P(2, 1), Z()), P(2, 1), C(C(S(), S()), C(S(), Z())))","((0,), (1,), (2,), (3,), (4,), (5,), (6,), (7,), (8,), (9,))","(3, 1, 1, 2, 3, 4, 5, 6, 7, 8)",61,1.0
82,"R(S(), R(P(1, 1), P(3, 1), S()), C(C(S(), S()), C(S(), Z())))","((0,), (1,), (2,), (3,), (4,), (5,), (6,), (7,), (8,), (9,))","(4, 5, 1, 2, 3, 4, 5, 6, 7, 8)",61,1.0
83,"R(C(S(), R(S(), P(2, 1), Z())), P(2, 1), C(S(), C(S(), Z())))","((0,), (1,), (2,), (3,), (4,), (5,), (6,), (7,), (8,), (9,))","(3, 2, 2, 3, 4, 5, 6, 7, 8, 9)",61,1.0
84,"R(P(1, 1), R(C(S(), S()), C(S(), P(3, 2)), C(S(), S())), Z())","((0,), (1,), (2,), (3,), (4,), (5,), (6,), (7,), (8,), (9,))","(0, 4, 9, 15, 22, 30, 39, 49, 60, 72)",61,1.0
85,"C(R(P(1, 1), P(2, 1), C(S(), Z())), R(P(1, 1), P(2, 1), Z()))","((0,), (1,), (2,), (3,), (4,), (5,), (6,), (7,), (8,), (9,))","(1, 1, 0, 1, 2, 3, 4, 5, 6, 7)",61,1.0
86,"C(S(), R(C(S(), S()), R(P(1, 1), P(3, 1), S()), C(S(), Z())))","((0,), (1,), (2,), (3,), (4,), (5,), (6,), (7,), (8,), (9,))","(4, 5, 3, 4, 5, 6, 7, 8, 9, 10)",61,1.0
87,"C(C(S(), S()), R(C(S(), S()), R(P(1, 1), P(3, 1), S()), Z()))","((0,), (1,), (2,), (3,), (4,), (5,), (6,), (7,), (8,), (9,))","(4, 5, 4, 5, 6, 7, 8, 9, 10, 11)",61,1.0
88,"R(C(S(), S()), R(P(1, 1), P(3, 1), S()), C(S(), C(S(), Z())))","((0,), (1,), (2,), (3,), (4,), (5,), (6,), (7,), (8,), (9,))","(4, 5, 2, 3, 4, 5, 6, 7, 8, 9)",61,1.0
89,"R(S(), C(R(S(), P(2, 1), Z()), R(P(1, 1), P(3, 1), S())), Z())","((0,), (1,), (2,), (3,), (4,), (5,), (6,), (7,), (8,), (9,))","(1, 2, 2, 2, 3, 4, 5, 6, 7, 8)",62,1.0
90,"R(S(), R(S(), C(S(), P(3, 2)), R(P(1, 1), P(2, 1), Z())), Z())","((0,), (1,), (2,), (3,), (4,), (5,), (6,), (7,), (8,), (9,))","(1, 2, 3, 5, 8, 12, 17, 23, 30, 38)",62,1.0
91,"R(R(S(), P(2, 1), Z()), R(S(), C(S(), P(3, 2)), P(1, 1)), Z())","((0,), (1,), (2,), (3,), (4,), (5,), (6,), (7,), (8,), (9,))","(1, 1, 3, 6, 10, 15, 21, 28, 36, 45)",62,1.0
92,"R(R(P(1, 1), P(2, 1), Z()), C(S(), R(S(), P(3, 2), S())), Z())","((0,), (1,), (2,), (3,), (4,), (5,), (6,), (7,), (8,), (9,))","(0, 2, 5, 8, 11, 14, 17, 20, 23, 26)",62,1.0
93,"C(S(), R(R(S(), P(2, 1), Z()), R(P(1, 1), P(3, 1), S()), Z()))","((0,), (1,), (2,), (3,), (4,), (5,), (6,), (7,), (8,), (9,))","(2, 2, 2, 2, 3, 4, 5, 6, 7, 8)",62,1.0
94,"R(R(P(1, 1), P(2, 1), Z()), R(S(), C(S(), P(3, 2)), S()), Z())","((0,), (1,), (2,), (3,), (4,), (5,), (6,), (7,), (8,), (9,))","(0, 1, 4, 8, 13, 19, 26, 34, 43, 53)",62,1.0
95,"R(R(S(), P(2, 1), Z()), R(P(1, 1), P(3, 1), S()), C(S(), Z()))","((0,), (1,), (2,), (3,), (4,), (5,), (6,), (7,), (8,), (9,))","(1, 2, 1, 1, 2, 3, 4, 5, 6, 7)",62,1.0
96,"R(S(), C(R(P(1, 1), P(2, 1), Z()), P(2, 2)), C(S(), C(S(), Z())))","((0,), (1,), (2,), (3,), (4,), (5,), (6,), (7,), (8,), (9,))","(3, 2, 1, 1, 1, 1, 1, 1, 1, 1)",65,1.0
97,"R(S(), R(S(), C(S(), P(3, 2)), S()), C(C(S(), S()), C(S(), Z())))","((0,), (1,), (2,), (3,), (4,), (5,), (6,), (7,), (8,), (9,))","(4, 6, 9, 13, 18, 24, 31, 39, 48, 58)",65,1.0
98,"R(S(), R(S(), C(S(), P(3, 2)), C(S(), S())), C(S(), C(S(), Z())))","((0,), (1,), (2,), (3,), (4,), (5,), (6,), (7,), (8,), (9,))","(3, 6, 10, 15, 21, 28, 36, 45, 55, 66)",65,1.0
99,"R(S(), R(C(S(), S()), C(S(), P(3, 2)), C(S(), S())), C(S(), Z()))","((0,), (1,), (2,), (3,), (4,), (5,), (6,), (7,), (8,), (9,))","(2, 6, 11, 17, 24, 32, 41, 51, 62, 74)",65,1.0
100,"R(P(1, 1), R(P(1, 1), P(3, 1), S()), C(C(S(), S()), C(S(), Z())))","((0,), (1,), (2,), (3,), (4,), (5,), (6,), (7,), (8,), (9,))","(3, 4, 0, 1, 2, 3, 4, 5, 6, 7)",65,1.0
101,"R(S(), C(S(), R(S(), P(3, 2), S())), C(C(S(), S()), C(S(), Z())))","((0,), (1,), (2,), (3,), (4,), (5,), (6,), (7,), (8,), (9,))","(4, 7, 10, 13, 16, 19, 22, 25, 28, 31)",65,1.0
102,"C(R(S(), R(S(), P(3, 2), S()), Z()), C(C(S(), S()), C(S(), S())))","((0,), (1,), (2,), (3,), (4,), (5,), (6,), (7,), (8,), (9,))","(9, 11, 13, 15, 17, 19, 21, 23, 25, 27)",65,1.0
103,"C(R(C(S(), S()), P(2, 1), C(S(), Z())), R(P(1, 1), P(2, 1), Z()))","((0,), (1,), (2,), (3,), (4,), (5,), (6,), (7,), (8,), (9,))","(3, 3, 2, 3, 4, 5, 6, 7, 8, 9)",65,1.0
104,"R(C(S(), S()), C(R(P(1, 1), P(2, 1), Z()), P(2, 2)), C(S(), Z()))","((0,), (1,), (2,), (3,), (4,), (5,), (6,), (7,), (8,), (9,))","(3, 2, 2, 2, 2, 2, 2, 2, 2, 2)",65,1.0
105,"R(R(P(1, 1), P(2, 1), Z()), P(2, 1), C(C(S(), S()), C(S(), Z())))","((0,), (1,), (2,), (3,), (4,), (5,), (6,), (7,), (8,), (9,))","(2, 0, 0, 1, 2, 3, 4, 5, 6, 7)",65,1.0
106,"C(C(S(), S()), C(R(S(), P(2, 1), Z()), R(P(1, 1), P(2, 1), Z())))","((0,), (1,), (2,), (3,), (4,), (5,), (6,), (7,), (8,), (9,))","(3, 3, 3, 4, 5, 6, 7, 8, 9, 10)",65,1.0
107,"C(C(S(), S()), R(C(S(), S()), R(S(), P(3, 2), S()), C(S(), Z())))","((0,), (1,), (2,), (3,), (4,), (5,), (6,), (7,), (8,), (9,))","(5, 7, 9, 11, 13, 15, 17, 19, 21, 23)",65,1.0
108,"C(R(S(), R(S(), P(3, 2), S()), C(S(), Z())), C(S(), C(S(), S())))","((0,), (1,), (2,), (3,), (4,), (5,), (6,), (7,), (8,), (9,))","(8, 10, 12, 14, 16, 18, 20, 22, 24, 26)",65,1.0
109,"R(S(), R(P(1, 1), C(S(), P(3, 2)), R(P(1, 1), P(2, 1), Z())), Z())","((0,), (1,), (2,), (3,), (4,), (5,), (6,), (7,), (8,), (9,))","(1, 1, 2, 3, 5, 8, 12, 17, 23, 30)",66,1.0
110,"R(P(1, 1), C(R(S(), P(2, 1), Z()), R(P(1, 1), P(3, 1), S())), Z())","((0,), (1,), (2,), (3,), (4,), (5,), (6,), (7,), (8,), (9,))","(0, 1, 1, 1, 2, 3, 4, 5, 6, 7)",66,1.0
111,"R(R(S(), P(2, 1), C(S(), Z())), C(S(), R(S(), P(3, 2), S())), Z())","((0,), (1,), (2,), (3,), (4,), (5,), (6,), (7,), (8,), (9,))","(2, 3, 6, 9, 12, 15, 18, 21, 24, 27)",66,1.0
112,"R(C(S(), R(S(), P(2, 1), Z())), C(S(), R(S(), P(3, 2), S())), Z())","((0,), (1,), (2,), (3,), (4,), (5,), (6,), (7,), (8,), (9,))","(2, 4, 7, 10, 13, 16, 19, 22, 25, 28)",66,1.0
113,"R(C(S(), R(S(), P(2, 1), Z())), R(S(), C(S(), P(3, 2)), S()), Z())","((0,), (1,), (2,), (3,), (4,), (5,), (6,), (7,), (8,), (9,))","(2, 3, 6, 10, 15, 21, 28, 36, 45, 55)",66,1.0
114,"R(R(S(), P(2, 1), Z()), R(S(), C(S(), P(3, 2)), C(S(), S())), Z())","((0,), (1,), (2,), (3,), (4,), (5,), (6,), (7,), (8,), (9,))","(1, 3, 7, 12, 18, 25, 33, 42, 52, 63)",66,1.0
115,"C(R(S(), R(S(), P(3, 2), S()), Z()), C(S(), R(S(), P(2, 1), Z())))","((0,), (1,), (2,), (3,), (4,), (5,), (6,), (7,), (8,), (9,))","(5, 5, 7, 9, 11, 13, 15, 17, 19, 21)",66,1.0
116,"R(P(1, 1), R(S(), C(S(), P(3, 2)), R(P(1, 1), P(2, 1), Z())), Z())","((0,), (1,), (2,), (3,), (4,), (5,), (6,), (7,), (8,), (9,))","(0, 1, 2, 4, 7, 11, 16, 22, 29, 37)",66,1.0
