,expr,arity,inputs,outputs,len_expr
1175,"C(S(), C(C(S(), S()), R(S(), P(2, 1), Z())))",1,"[[0], [1], [2], [3], [4], [5], [6], [7], [8], [9]]","[4, 4, 5, 6, 7, 8, 9, 10, 11, 12]",44
1199,"C(S(), R(C(S(), S()), P(2, 1), C(S(), Z())))",1,"[[0], [1], [2], [3], [4], [5], [6], [7], [8], [9]]","[4, 3, 4, 5, 6, 7, 8, 9, 10, 11]",44
49,"R(S(), R(S(), C(S(), P(3, 2)), P(1, 1)), Z())",1,"[[0], [1], [2], [3], [4], [5], [6], [7], [8], [9]]","[1, 2, 4, 7, 11, 16, 22, 29, 37, 46]",45
179,"R(P(1, 1), C(S(), R(S(), P(3, 2), S())), Z())",1,"[[0], [1], [2], [3], [4], [5], [6], [7], [8], [9]]","[0, 3, 6, 9, 12, 15, 18, 21, 24, 27]",45
915,"R(P(1, 1), R(S(), C(S(), P(3, 2)), S()), Z())",1,"[[0], [1], [2], [3], [4], [5], [6], [7], [8], [9]]","[0, 2, 5, 9, 14, 20, 27, 35, 44, 54]",45
1117,"R(S(), R(P(1, 1), P(3, 1), S()), C(S(), Z()))",1,"[[0], [1], [2], [3], [4], [5], [6], [7], [8], [9]]","[2, 3, 1, 2, 3, 4, 5, 6, 7, 8]",45
1391,"R(C(S(), S()), R(P(1, 1), P(3, 1), S()), Z())",1,"[[0], [1], [2], [3], [4], [5], [6], [7], [8], [9]]","[2, 3, 2, 3, 4, 5, 6, 7, 8, 9]",45
140,"R(P(1, 1), P(2, 1), C(C(S(), S()), C(S(), Z())))",1,"[[0], [1], [2], [3], [4], [5], [6], [7], [8], [9]]","[3, 0, 1, 2, 3, 4, 5, 6, 7, 8]",48
192,"R(P(1, 1), C(C(S(), S()), C(S(), P(2, 1))), Z())",1,"[[0], [1], [2], [3], [4], [5], [6], [7], [8], [9]]","[0, 3, 4, 5, 6, 7, 8, 9, 10, 11]",48
38,"R(S(), R(S(), C(S(), P(3, 2)), S()), C(S(), Z()))",1,"[[0], [1], [2], [3], [4], [5], [6], [7], [8], [9]]","[2, 4, 7, 11, 16, 22, 29, 37, 46, 56]",49
65,"R(S(), R(S(), C(S(), P(3, 2)), C(S(), S())), Z())",1,"[[0], [1], [2], [3], [4], [5], [6], [7], [8], [9]]","[1, 4, 8, 13, 19, 26, 34, 43, 53, 64]",49
438,"R(S(), C(S(), R(S(), P(3, 2), S())), C(S(), Z()))",1,"[[0], [1], [2], [3], [4], [5], [6], [7], [8], [9]]","[2, 5, 8, 11, 14, 17, 20, 23, 26, 29]",49
923,"R(P(1, 1), R(S(), C(S(), P(3, 2)), P(1, 1)), Z())",1,"[[0], [1], [2], [3], [4], [5], [6], [7], [8], [9]]","[0, 1, 3, 6, 10, 15, 21, 28, 36, 45]",49
1140,"R(P(1, 1), R(P(1, 1), P(3, 1), S()), C(S(), Z()))",1,"[[0], [1], [2], [3], [4], [5], [6], [7], [8], [9]]","[1, 2, 0, 1, 2, 3, 4, 5, 6, 7]",49
1387,"R(C(S(), S()), R(S(), P(3, 2), S()), C(S(), Z()))",1,"[[0], [1], [2], [3], [4], [5], [6], [7], [8], [9]]","[3, 5, 7, 9, 11, 13, 15, 17, 19, 21]",49
1449,"C(R(S(), P(2, 1), Z()), R(P(1, 1), P(2, 1), Z()))",1,"[[0], [1], [2], [3], [4], [5], [6], [7], [8], [9]]","[1, 1, 1, 2, 3, 4, 5, 6, 7, 8]",49
1415,"R(R(S(), P(2, 1), Z()), R(S(), P(3, 2), S()), Z())",1,"[[0], [1], [2], [3], [4], [5], [6], [7], [8], [9]]","[1, 2, 4, 6, 8, 10, 12, 14, 16, 18]",50
1244,"C(C(S(), C(S(), S())), C(C(S(), S()), C(S(), S())))",1,"[[0], [1], [2], [3], [4], [5], [6], [7], [8], [9]]","[7, 8, 9, 10, 11, 12, 13, 14, 15, 16]",51
455,"R(S(), C(C(S(), S()), C(S(), P(2, 1))), C(S(), Z()))",1,"[[0], [1], [2], [3], [4], [5], [6], [7], [8], [9]]","[2, 4, 5, 6, 7, 8, 9, 10, 11, 12]",52
1015,"R(C(S(), S()), P(2, 1), C(C(S(), S()), C(S(), Z())))",1,"[[0], [1], [2], [3], [4], [5], [6], [7], [8], [9]]","[5, 2, 3, 4, 5, 6, 7, 8, 9, 10]",52
1056,"R(C(S(), S()), C(C(S(), S()), C(S(), P(2, 1))), Z())",1,"[[0], [1], [2], [3], [4], [5], [6], [7], [8], [9]]","[2, 5, 6, 7, 8, 9, 10, 11, 12, 13]",52
1295,"C(C(S(), S()), C(C(S(), S()), R(S(), P(2, 1), Z())))",1,"[[0], [1], [2], [3], [4], [5], [6], [7], [8], [9]]","[5, 5, 6, 7, 8, 9, 10, 11, 12, 13]",52
1336,"C(C(S(), S()), R(C(S(), S()), P(2, 1), C(S(), Z())))",1,"[[0], [1], [2], [3], [4], [5], [6], [7], [8], [9]]","[5, 4, 5, 6, 7, 8, 9, 10, 11, 12]",52
56,"R(S(), R(S(), C(S(), P(3, 2)), P(1, 1)), C(S(), Z()))",1,"[[0], [1], [2], [3], [4], [5], [6], [7], [8], [9]]","[2, 3, 5, 8, 12, 17, 23, 30, 38, 47]",53
934,"R(P(1, 1), R(S(), C(S(), P(3, 2)), C(S(), S())), Z())",1,"[[0], [1], [2], [3], [4], [5], [6], [7], [8], [9]]","[0, 3, 7, 12, 18, 25, 33, 42, 52, 63]",53
1118,"R(S(), R(P(1, 1), P(3, 1), S()), C(S(), C(S(), Z())))",1,"[[0], [1], [2], [3], [4], [5], [6], [7], [8], [9]]","[3, 4, 1, 2, 3, 4, 5, 6, 7, 8]",53
1205,"C(S(), R(C(S(), S()), R(P(1, 1), P(3, 1), S()), Z()))",1,"[[0], [1], [2], [3], [4], [5], [6], [7], [8], [9]]","[3, 4, 3, 4, 5, 6, 7, 8, 9, 10]",53
1396,"R(C(S(), S()), R(P(1, 1), P(3, 1), S()), C(S(), Z()))",1,"[[0], [1], [2], [3], [4], [5], [6], [7], [8], [9]]","[3, 4, 2, 3, 4, 5, 6, 7, 8, 9]",53
1460,"C(R(P(1, 1), P(2, 1), Z()), R(P(1, 1), P(2, 1), Z()))",1,"[[0], [1], [2], [3], [4], [5], [6], [7], [8], [9]]","[0, 0, 0, 1, 2, 3, 4, 5, 6, 7]",53
1523,"C(R(S(), R(P(1, 1), P(3, 1), S()), C(S(), Z())), S())",1,"[[0], [1], [2], [3], [4], [5], [6], [7], [8], [9]]","[3, 1, 2, 3, 4, 5, 6, 7, 8, 9]",53
1418,"R(R(S(), P(2, 1), Z()), R(P(1, 1), P(3, 1), S()), Z())",1,"[[0], [1], [2], [3], [4], [5], [6], [7], [8], [9]]","[1, 1, 1, 1, 2, 3, 4, 5, 6, 7]",54
1437,"R(R(P(1, 1), P(2, 1), Z()), R(S(), P(3, 2), S()), Z())",1,"[[0], [1], [2], [3], [4], [5], [6], [7], [8], [9]]","[0, 1, 3, 5, 7, 9, 11, 13, 15, 17]",54
18,"R(S(), C(R(P(1, 1), P(2, 1), Z()), P(2, 2)), C(S(), Z()))",1,"[[0], [1], [2], [3], [4], [5], [6], [7], [8], [9]]","[2, 1, 1, 1, 1, 1, 1, 1, 1, 1]",57
42,"R(S(), R(S(), C(S(), P(3, 2)), S()), C(S(), C(S(), Z())))",1,"[[0], [1], [2], [3], [4], [5], [6], [7], [8], [9]]","[3, 5, 8, 12, 17, 23, 30, 38, 47, 57]",57
69,"R(S(), R(S(), C(S(), P(3, 2)), C(S(), S())), C(S(), Z()))",1,"[[0], [1], [2], [3], [4], [5], [6], [7], [8], [9]]","[2, 5, 9, 14, 20, 27, 35, 44, 54, 65]",57
107,"R(S(), R(C(S(), S()), C(S(), P(3, 2)), C(S(), S())), Z())",1,"[[0], [1], [2], [3], [4], [5], [6], [7], [8], [9]]","[1, 5, 10, 16, 23, 31, 40, 50, 61, 73]",57
353,"C(R(S(), P(2, 1), C(S(), Z())), R(P(1, 1), P(2, 1), Z()))",1,"[[0], [1], [2], [3], [4], [5], [6], [7], [8], [9]]","[2, 2, 1, 2, 3, 4, 5, 6, 7, 8]",57
444,"R(S(), C(S(), R(S(), P(3, 2), S())), C(S(), C(S(), Z())))",1,"[[0], [1], [2], [3], [4], [5], [6], [7], [8], [9]]","[3, 6, 9, 12, 15, 18, 21, 24, 27, 30]",57
574,"C(R(P(1, 1), R(P(1, 1), P(3, 1), S()), C(S(), Z())), S())",1,"[[0], [1], [2], [3], [4], [5], [6], [7], [8], [9]]","[2, 0, 1, 2, 3, 4, 5, 6, 7, 8]",57
1142,"R(P(1, 1), R(P(1, 1), P(3, 1), S()), C(S(), C(S(), Z())))",1,"[[0], [1], [2], [3], [4], [5], [6], [7], [8], [9]]","[2, 3, 0, 1, 2, 3, 4, 5, 6, 7]",57
1177,"C(S(), C(R(S(), P(2, 1), Z()), R(P(1, 1), P(2, 1), Z())))",1,"[[0], [1], [2], [3], [4], [5], [6], [7], [8], [9]]","[2, 2, 2, 3, 4, 5, 6, 7, 8, 9]",57
1201,"C(S(), R(C(S(), S()), R(S(), P(3, 2), S()), C(S(), Z())))",1,"[[0], [1], [2], [3], [4], [5], [6], [7], [8], [9]]","[4, 6, 8, 10, 12, 14, 16, 18, 20, 22]",57
309,"R(R(S(), P(2, 1), Z()), C(S(), R(S(), P(3, 2), S())), Z())",1,"[[0], [1], [2], [3], [4], [5], [6], [7], [8], [9]]","[1, 3, 6, 9, 12, 15, 18, 21, 24, 27]",58
377,"R(R(S(), P(2, 1), Z()), R(S(), C(S(), P(3, 2)), S()), Z())",1,"[[0], [1], [2], [3], [4], [5], [6], [7], [8], [9]]","[1, 2, 5, 9, 14, 20, 27, 35, 44, 54]",58
1213,"C(S(), R(R(S(), P(2, 1), Z()), R(S(), P(3, 2), S()), Z()))",1,"[[0], [1], [2], [3], [4], [5], [6], [7], [8], [9]]","[2, 3, 5, 7, 9, 11, 13, 15, 17, 19]",58
1441,"R(R(P(1, 1), P(2, 1), Z()), R(P(1, 1), P(3, 1), S()), Z())",1,"[[0], [1], [2], [3], [4], [5], [6], [7], [8], [9]]","[0, 0, 0, 0, 1, 2, 3, 4, 5, 6]",58
972,"C(C(C(S(), S()), C(S(), S())), C(C(S(), S()), C(S(), S())))",1,"[[0], [1], [2], [3], [4], [5], [6], [7], [8], [9]]","[8, 9, 10, 11, 12, 13, 14, 15, 16, 17]",59
758,"R(C(S(), C(S(), S())), C(C(S(), S()), C(S(), P(2, 1))), Z())",1,"[[0], [1], [2], [3], [4], [5], [6], [7], [8], [9]]","[3, 6, 7, 8, 9, 10, 11, 12, 13, 14]",60
1025,"R(C(S(), S()), C(S(), P(2, 1)), C(C(S(), S()), C(S(), Z())))",1,"[[0], [1], [2], [3], [4], [5], [6], [7], [8], [9]]","[5, 3, 4, 5, 6, 7, 8, 9, 10, 11]",60
1058,"R(C(S(), S()), C(C(S(), S()), C(S(), P(2, 1))), C(S(), Z()))",1,"[[0], [1], [2], [3], [4], [5], [6], [7], [8], [9]]","[3, 5, 6, 7, 8, 9, 10, 11, 12, 13]",60
1246,"C(C(S(), C(S(), S())), C(C(S(), S()), R(S(), P(2, 1), Z())))",1,"[[0], [1], [2], [3], [4], [5], [6], [7], [8], [9]]","[6, 6, 7, 8, 9, 10, 11, 12, 13, 14]",60
1271,"C(C(S(), C(S(), S())), R(C(S(), S()), P(2, 1), C(S(), Z())))",1,"[[0], [1], [2], [3], [4], [5], [6], [7], [8], [9]]","[6, 5, 6, 7, 8, 9, 10, 11, 12, 13]",60
1324,"R(C(S(), C(S(), S())), P(2, 1), C(C(S(), S()), C(S(), Z())))",1,"[[0], [1], [2], [3], [4], [5], [6], [7], [8], [9]]","[6, 3, 4, 5, 6, 7, 8, 9, 10, 11]",60
59,"R(S(), R(S(), C(S(), P(3, 2)), P(1, 1)), C(S(), C(S(), Z())))",1,"[[0], [1], [2], [3], [4], [5], [6], [7], [8], [9]]","[3, 4, 6, 9, 13, 18, 24, 31, 39, 48]",61
159,"C(R(C(S(), S()), R(P(1, 1), P(3, 1), S()), C(S(), Z())), S())",1,"[[0], [1], [2], [3], [4], [5], [6], [7], [8], [9]]","[4, 2, 3, 4, 5, 6, 7, 8, 9, 10]",61
219,"R(P(1, 1), C(R(P(1, 1), P(2, 1), Z()), P(2, 2)), C(S(), Z()))",1,"[[0], [1], [2], [3], [4], [5], [6], [7], [8], [9]]","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]",61
281,"R(R(S(), P(2, 1), Z()), P(2, 1), C(C(S(), S()), C(S(), Z())))",1,"[[0], [1], [2], [3], [4], [5], [6], [7], [8], [9]]","[3, 1, 1, 2, 3, 4, 5, 6, 7, 8]",61
421,"R(S(), R(P(1, 1), P(3, 1), S()), C(C(S(), S()), C(S(), Z())))",1,"[[0], [1], [2], [3], [4], [5], [6], [7], [8], [9]]","[4, 5, 1, 2, 3, 4, 5, 6, 7, 8]",61
883,"R(C(S(), R(S(), P(2, 1), Z())), P(2, 1), C(S(), C(S(), Z())))",1,"[[0], [1], [2], [3], [4], [5], [6], [7], [8], [9]]","[3, 2, 2, 3, 4, 5, 6, 7, 8, 9]",61
978,"R(P(1, 1), R(C(S(), S()), C(S(), P(3, 2)), C(S(), S())), Z())",1,"[[0], [1], [2], [3], [4], [5], [6], [7], [8], [9]]","[0, 4, 9, 15, 22, 30, 39, 49, 60, 72]",61
988,"C(R(P(1, 1), P(2, 1), C(S(), Z())), R(P(1, 1), P(2, 1), Z()))",1,"[[0], [1], [2], [3], [4], [5], [6], [7], [8], [9]]","[1, 1, 0, 1, 2, 3, 4, 5, 6, 7]",61
1209,"C(S(), R(C(S(), S()), R(P(1, 1), P(3, 1), S()), C(S(), Z())))",1,"[[0], [1], [2], [3], [4], [5], [6], [7], [8], [9]]","[4, 5, 3, 4, 5, 6, 7, 8, 9, 10]",61
1343,"C(C(S(), S()), R(C(S(), S()), R(P(1, 1), P(3, 1), S()), Z()))",1,"[[0], [1], [2], [3], [4], [5], [6], [7], [8], [9]]","[4, 5, 4, 5, 6, 7, 8, 9, 10, 11]",61
1398,"R(C(S(), S()), R(P(1, 1), P(3, 1), S()), C(S(), C(S(), Z())))",1,"[[0], [1], [2], [3], [4], [5], [6], [7], [8], [9]]","[4, 5, 2, 3, 4, 5, 6, 7, 8, 9]",61
7,"R(S(), C(R(S(), P(2, 1), Z()), R(P(1, 1), P(3, 1), S())), Z())",1,"[[0], [1], [2], [3], [4], [5], [6], [7], [8], [9]]","[1, 2, 2, 2, 3, 4, 5, 6, 7, 8]",62
82,"R(S(), R(S(), C(S(), P(3, 2)), R(P(1, 1), P(2, 1), Z())), Z())",1,"[[0], [1], [2], [3], [4], [5], [6], [7], [8], [9]]","[1, 2, 3, 5, 8, 12, 17, 23, 30, 38]",62
385,"R(R(S(), P(2, 1), Z()), R(S(), C(S(), P(3, 2)), P(1, 1)), Z())",1,"[[0], [1], [2], [3], [4], [5], [6], [7], [8], [9]]","[1, 1, 3, 6, 10, 15, 21, 28, 36, 45]",62
1176,"R(R(P(1, 1), P(2, 1), Z()), C(S(), R(S(), P(3, 2), S())), Z())",1,"[[0], [1], [2], [3], [4], [5], [6], [7], [8], [9]]","[0, 2, 5, 8, 11, 14, 17, 20, 23, 26]",62
1215,"C(S(), R(R(S(), P(2, 1), Z()), R(P(1, 1), P(3, 1), S()), Z()))",1,"[[0], [1], [2], [3], [4], [5], [6], [7], [8], [9]]","[2, 2, 2, 2, 3, 4, 5, 6, 7, 8]",62
1232,"R(R(P(1, 1), P(2, 1), Z()), R(S(), C(S(), P(3, 2)), S()), Z())",1,"[[0], [1], [2], [3], [4], [5], [6], [7], [8], [9]]","[0, 1, 4, 8, 13, 19, 26, 34, 43, 53]",62
1419,"R(R(S(), P(2, 1), Z()), R(P(1, 1), P(3, 1), S()), C(S(), Z()))",1,"[[0], [1], [2], [3], [4], [5], [6], [7], [8], [9]]","[1, 2, 1, 1, 2, 3, 4, 5, 6, 7]",62
19,"R(S(), C(R(P(1, 1), P(2, 1), Z()), P(2, 2)), C(S(), C(S(), Z())))",1,"[[0], [1], [2], [3], [4], [5], [6], [7], [8], [9]]","[3, 2, 1, 1, 1, 1, 1, 1, 1, 1]",65
45,"R(S(), R(S(), C(S(), P(3, 2)), S()), C(C(S(), S()), C(S(), Z())))",1,"[[0], [1], [2], [3], [4], [5], [6], [7], [8], [9]]","[4, 6, 9, 13, 18, 24, 31, 39, 48, 58]",65
74,"R(S(), R(S(), C(S(), P(3, 2)), C(S(), S())), C(S(), C(S(), Z())))",1,"[[0], [1], [2], [3], [4], [5], [6], [7], [8], [9]]","[3, 6, 10, 15, 21, 28, 36, 45, 55, 66]",65
110,"R(S(), R(C(S(), S()), C(S(), P(3, 2)), C(S(), S())), C(S(), Z()))",1,"[[0], [1], [2], [3], [4], [5], [6], [7], [8], [9]]","[2, 6, 11, 17, 24, 32, 41, 51, 62, 74]",65
164,"R(P(1, 1), R(P(1, 1), P(3, 1), S()), C(C(S(), S()), C(S(), Z())))",1,"[[0], [1], [2], [3], [4], [5], [6], [7], [8], [9]]","[3, 4, 0, 1, 2, 3, 4, 5, 6, 7]",65
449,"R(S(), C(S(), R(S(), P(3, 2), S())), C(C(S(), S()), C(S(), Z())))",1,"[[0], [1], [2], [3], [4], [5], [6], [7], [8], [9]]","[4, 7, 10, 13, 16, 19, 22, 25, 28, 31]",65
454,"C(R(S(), R(S(), P(3, 2), S()), Z()), C(C(S(), S()), C(S(), S())))",1,"[[0], [1], [2], [3], [4], [5], [6], [7], [8], [9]]","[9, 11, 13, 15, 17, 19, 21, 23, 25, 27]",65
669,"C(R(C(S(), S()), P(2, 1), C(S(), Z())), R(P(1, 1), P(2, 1), Z()))",1,"[[0], [1], [2], [3], [4], [5], [6], [7], [8], [9]]","[3, 3, 2, 3, 4, 5, 6, 7, 8, 9]",65
1085,"R(C(S(), S()), C(R(P(1, 1), P(2, 1), Z()), P(2, 2)), C(S(), Z()))",1,"[[0], [1], [2], [3], [4], [5], [6], [7], [8], [9]]","[3, 2, 2, 2, 2, 2, 2, 2, 2, 2]",65
1148,"R(R(P(1, 1), P(2, 1), Z()), P(2, 1), C(C(S(), S()), C(S(), Z())))",1,"[[0], [1], [2], [3], [4], [5], [6], [7], [8], [9]]","[2, 0, 0, 1, 2, 3, 4, 5, 6, 7]",65
1298,"C(C(S(), S()), C(R(S(), P(2, 1), Z()), R(P(1, 1), P(2, 1), Z())))",1,"[[0], [1], [2], [3], [4], [5], [6], [7], [8], [9]]","[3, 3, 3, 4, 5, 6, 7, 8, 9, 10]",65
1340,"C(C(S(), S()), R(C(S(), S()), R(S(), P(3, 2), S()), C(S(), Z())))",1,"[[0], [1], [2], [3], [4], [5], [6], [7], [8], [9]]","[5, 7, 9, 11, 13, 15, 17, 19, 21, 23]",65
1426,"C(R(S(), R(S(), P(3, 2), S()), C(S(), Z())), C(S(), C(S(), S())))",1,"[[0], [1], [2], [3], [4], [5], [6], [7], [8], [9]]","[8, 10, 12, 14, 16, 18, 20, 22, 24, 26]",65
95,"R(S(), R(P(1, 1), C(S(), P(3, 2)), R(P(1, 1), P(2, 1), Z())), Z())",1,"[[0], [1], [2], [3], [4], [5], [6], [7], [8], [9]]","[1, 1, 2, 3, 5, 8, 12, 17, 23, 30]",66
206,"R(P(1, 1), C(R(S(), P(2, 1), Z()), R(P(1, 1), P(3, 1), S())), Z())",1,"[[0], [1], [2], [3], [4], [5], [6], [7], [8], [9]]","[0, 1, 1, 1, 2, 3, 4, 5, 6, 7]",66
214,"R(R(S(), P(2, 1), C(S(), Z())), C(S(), R(S(), P(3, 2), S())), Z())",1,"[[0], [1], [2], [3], [4], [5], [6], [7], [8], [9]]","[2, 3, 6, 9, 12, 15, 18, 21, 24, 27]",66
264,"R(C(S(), R(S(), P(2, 1), Z())), C(S(), R(S(), P(3, 2), S())), Z())",1,"[[0], [1], [2], [3], [4], [5], [6], [7], [8], [9]]","[2, 4, 7, 10, 13, 16, 19, 22, 25, 28]",66
316,"R(C(S(), R(S(), P(2, 1), Z())), R(S(), C(S(), P(3, 2)), S()), Z())",1,"[[0], [1], [2], [3], [4], [5], [6], [7], [8], [9]]","[2, 3, 6, 10, 15, 21, 28, 36, 45, 55]",66
397,"R(R(S(), P(2, 1), Z()), R(S(), C(S(), P(3, 2)), C(S(), S())), Z())",1,"[[0], [1], [2], [3], [4], [5], [6], [7], [8], [9]]","[1, 3, 7, 12, 18, 25, 33, 42, 52, 63]",66
450,"C(R(S(), R(S(), P(3, 2), S()), Z()), C(S(), R(S(), P(2, 1), Z())))",1,"[[0], [1], [2], [3], [4], [5], [6], [7], [8], [9]]","[5, 5, 7, 9, 11, 13, 15, 17, 19, 21]",66
950,"R(P(1, 1), R(S(), C(S(), P(3, 2)), R(P(1, 1), P(2, 1), Z())), Z())",1,"[[0], [1], [2], [3], [4], [5], [6], [7], [8], [9]]","[0, 1, 2, 4, 7, 11, 16, 22, 29, 37]",66
1170,"R(R(S(), P(2, 1), C(S(), Z())), R(S(), C(S(), P(3, 2)), S()), Z())",1,"[[0], [1], [2], [3], [4], [5], [6], [7], [8], [9]]","[2, 2, 5, 9, 14, 20, 27, 35, 44, 54]",66
1242,"R(R(P(1, 1), P(2, 1), Z()), R(S(), C(S(), P(3, 2)), P(1, 1)), Z())",1,"[[0], [1], [2], [3], [4], [5], [6], [7], [8], [9]]","[0, 0, 2, 5, 9, 14, 20, 27, 35, 44]",66
1250,"R(R(S(), R(S(), P(3, 2), S()), Z()), P(2, 1), C(S(), C(S(), Z())))",1,"[[0], [1], [2], [3], [4], [5], [6], [7], [8], [9]]","[5, 1, 3, 5, 7, 9, 11, 13, 15, 17]",66
1306,"R(R(S(), R(S(), P(3, 2), S()), Z()), C(S(), C(S(), P(2, 1))), Z())",1,"[[0], [1], [2], [3], [4], [5], [6], [7], [8], [9]]","[1, 5, 7, 9, 11, 13, 15, 17, 19, 21]",66
