,expr,inputs,outputs,len,arity
10,"R(S(), C(C(S(), P(2, 1)), Z(), P(2, 2)), Z())","((0,), (1,), (2,), (3,), (4,), (5,), (6,), (7,), (8,), (9,))","(1, 2, 2, 2, 2, 2, 2, 2, 2, 2)",45,1.0
11,"R(P(2, 1), P(3, 1), C(S(), P(3, 3)), Z(), Z())","((0,), (1,), (2,), (3,), (4,), (5,), (6,), (7,), (8,), (9,))","(0, 0, 1, 2, 3, 4, 5, 6, 7, 8)",46,1.0
12,"R(P(3, 1), P(4, 2), P(4, 1), P(4, 3), Z(), Z(), Z())","((0,), (1,), (2,), (3,), (4,), (5,), (6,), (7,), (8,), (9,))","(0, 0, 0, 0, 0, 0, 0, 0, 0, 0)",52,1.0
13,"R(P(3, 1), P(4, 4), P(4, 1), P(4, 3), Z(), Z(), Z())","((0,), (1,), (2,), (3,), (4,), (5,), (6,), (7,), (8,), (9,))","(0, 0, 0, 0, 1, 2, 3, 4, 5, 6)",52,1.0
14,"R(C(C(S(), S()), C(S(), C(S(), S()))), P(2, 1), Z())","((0,), (1,), (2,), (3,), (4,), (5,), (6,), (7,), (8,), (9,))","(5, 5, 6, 7, 8, 9, 10, 11, 12, 13)",52,1.0
15,"R(C(C(S(), S()), S()), C(C(S(), S()), P(2, 1)), Z())","((0,), (1,), (2,), (3,), (4,), (5,), (6,), (7,), (8,), (9,))","(3, 5, 6, 7, 8, 9, 10, 11, 12, 13)",52,1.0
16,"R(C(C(C(S(), S()), S()), S()), P(2, 1), C(S(), Z()))","((0,), (1,), (2,), (3,), (4,), (5,), (6,), (7,), (8,), (9,))","(5, 4, 5, 6, 7, 8, 9, 10, 11, 12)",52,1.0
17,"R(S(), P(2, 1), C(R(C(S(), S()), P(2, 2), Z()), Z()))","((0,), (1,), (2,), (3,), (4,), (5,), (6,), (7,), (8,), (9,))","(3, 1, 2, 3, 4, 5, 6, 7, 8, 9)",53,1.0
18,"R(C(S(), S()), P(2, 1), C(R(S(), P(2, 1), Z()), Z()))","((0,), (1,), (2,), (3,), (4,), (5,), (6,), (7,), (8,), (9,))","(3, 2, 3, 4, 5, 6, 7, 8, 9, 10)",53,1.0
19,"R(C(S(), P(2, 2)), P(3, 1), P(3, 3), C(S(), Z()), Z())","((0,), (1,), (2,), (3,), (4,), (5,), (6,), (7,), (8,), (9,))","(1, 1, 1, 1, 1, 1, 1, 1, 1, 1)",54,1.0
20,"R(P(2, 1), P(3, 3), P(3, 1), Z(), C(C(S(), S()), Z()))","((0,), (1,), (2,), (3,), (4,), (5,), (6,), (7,), (8,), (9,))","(0, 2, 0, 1, 2, 3, 4, 5, 6, 7)",54,1.0
21,"R(C(S(), P(2, 1)), C(S(), P(3, 3)), P(3, 1), Z(), Z())","((0,), (1,), (2,), (3,), (4,), (5,), (6,), (7,), (8,), (9,))","(1, 2, 2, 3, 4, 5, 6, 7, 8, 9)",54,1.0
22,"R(P(1, 1), C(P(2, 1), Z(), P(2, 2)), C(C(S(), S()), Z()))","((0,), (1,), (2,), (3,), (4,), (5,), (6,), (7,), (8,), (9,))","(2, 0, 0, 0, 0, 0, 0, 0, 0, 0)",57,1.0
23,"R(P(3, 3), C(S(), P(4, 4)), P(4, 1), P(4, 2), Z(), Z(), Z())","((0,), (1,), (2,), (3,), (4,), (5,), (6,), (7,), (8,), (9,))","(0, 0, 1, 1, 2, 2, 3, 3, 4, 4)",60,1.0
24,"R(P(3, 3), P(4, 4), P(4, 2), C(S(), P(4, 3)), Z(), Z(), Z())","((0,), (1,), (2,), (3,), (4,), (5,), (6,), (7,), (8,), (9,))","(0, 1, 1, 1, 2, 2, 2, 3, 3, 3)",60,1.0
25,"R(P(3, 2), C(S(), P(4, 4)), P(4, 2), P(4, 3), Z(), Z(), Z())","((0,), (1,), (2,), (3,), (4,), (5,), (6,), (7,), (8,), (9,))","(0, 0, 1, 1, 1, 2, 2, 2, 3, 3)",60,1.0
26,"R(C(S(), S()), C(R(C(S(), S()), P(2, 1), Z()), P(2, 1)), Z())","((0,), (1,), (2,), (3,), (4,), (5,), (6,), (7,), (8,), (9,))","(2, 4, 4, 5, 6, 7, 8, 9, 10, 11)",61,1.0
27,"R(R(S(), C(C(S(), P(2, 1)), Z(), P(2, 2)), Z()), P(2, 1), Z())","((0,), (1,), (2,), (3,), (4,), (5,), (6,), (7,), (8,), (9,))","(1, 1, 2, 2, 2, 2, 2, 2, 2, 2)",62,1.0
28,"R(P(2, 1), P(3, 3), P(3, 2), C(S(), Z()), C(S(), C(S(), Z())))","((0,), (1,), (2,), (3,), (4,), (5,), (6,), (7,), (8,), (9,))","(1, 2, 1, 2, 1, 2, 1, 2, 1, 2)",62,1.0
29,"R(C(S(), P(2, 2)), P(3, 3), C(S(), C(S(), P(3, 2))), Z(), Z())","((0,), (1,), (2,), (3,), (4,), (5,), (6,), (7,), (8,), (9,))","(1, 3, 3, 5, 5, 7, 7, 9, 9, 11)",62,1.0
30,"R(P(2, 2), P(3, 3), P(3, 2), Z(), C(R(S(), P(2, 1), Z()), Z()))","((0,), (1,), (2,), (3,), (4,), (5,), (6,), (7,), (8,), (9,))","(1, 0, 1, 0, 1, 0, 1, 0, 1, 0)",63,1.0
31,"R(P(1, 1), C(R(R(S(), P(2, 1), Z()), P(2, 1), Z()), P(2, 1)), Z())","((0,), (1,), (2,), (3,), (4,), (5,), (6,), (7,), (8,), (9,))","(0, 1, 1, 1, 2, 3, 4, 5, 6, 7)",66,1.0
32,"R(C(S(), P(3, 3)), P(4, 1), P(4, 4), C(S(), P(4, 3)), Z(), Z(), Z())","((0,), (1,), (2,), (3,), (4,), (5,), (6,), (7,), (8,), (9,))","(1, 2, 2, 3, 3, 4, 4, 5, 5, 6)",68,1.0
33,"R(P(3, 3), P(4, 3), P(4, 4), P(4, 2), C(S(), Z()), Z(), C(S(), Z()))","((0,), (1,), (2,), (3,), (4,), (5,), (6,), (7,), (8,), (9,))","(1, 1, 0, 1, 1, 0, 1, 1, 0, 1)",68,1.0
34,"C(S(), R(P(3, 2), C(S(), P(4, 4)), P(4, 2), P(4, 3), Z(), Z(), Z()))","((0,), (1,), (2,), (3,), (4,), (5,), (6,), (7,), (8,), (9,))","(1, 1, 2, 2, 2, 3, 3, 3, 4, 4)",68,1.0
35,"R(P(3, 2), P(4, 3), P(4, 4), P(4, 2), C(S(), Z()), C(S(), Z()), Z())","((0,), (1,), (2,), (3,), (4,), (5,), (6,), (7,), (8,), (9,))","(1, 0, 1, 1, 0, 1, 1, 0, 1, 1)",68,1.0
36,"R(P(3, 3), P(4, 3), P(4, 4), C(S(), C(S(), P(4, 3))), Z(), Z(), Z())","((0,), (1,), (2,), (3,), (4,), (5,), (6,), (7,), (8,), (9,))","(0, 2, 2, 4, 4, 6, 6, 8, 8, 10)",68,1.0
37,"R(C(S(), P(3, 1)), C(S(), P(4, 3)), P(4, 4), P(4, 2), Z(), Z(), Z())","((0,), (1,), (2,), (3,), (4,), (5,), (6,), (7,), (8,), (9,))","(1, 2, 2, 2, 3, 3, 3, 4, 4, 4)",68,1.0
38,"R(P(3, 2), P(4, 4), C(S(), P(4, 2)), C(S(), P(4, 3)), Z(), Z(), Z())","((0,), (1,), (2,), (3,), (4,), (5,), (6,), (7,), (8,), (9,))","(0, 1, 1, 2, 3, 3, 4, 5, 5, 6)",68,1.0
39,"R(C(C(S(), S()), S()), C(C(C(S(), S()), S()), C(S(), P(2, 1))), Z())","((0,), (1,), (2,), (3,), (4,), (5,), (6,), (7,), (8,), (9,))","(3, 7, 8, 9, 10, 11, 12, 13, 14, 15)",68,1.0
40,"C(S(), R(P(3, 3), C(S(), P(4, 4)), P(4, 2), P(4, 3), Z(), Z(), Z()))","((0,), (1,), (2,), (3,), (4,), (5,), (6,), (7,), (8,), (9,))","(1, 1, 1, 2, 2, 2, 3, 3, 3, 4)",68,1.0
41,"R(C(C(S(), S()), R(S(), P(2, 1), Z())), C(C(S(), S()), P(2, 2)), Z())","((0,), (1,), (2,), (3,), (4,), (5,), (6,), (7,), (8,), (9,))","(3, 4, 6, 8, 10, 12, 14, 16, 18, 20)",69,1.0
42,"R(C(S(), S()), P(2, 1), C(C(S(), S()), C(R(S(), P(2, 1), Z()), Z())))","((0,), (1,), (2,), (3,), (4,), (5,), (6,), (7,), (8,), (9,))","(5, 2, 3, 4, 5, 6, 7, 8, 9, 10)",69,1.0
43,"R(R(R(S(), P(2, 1), C(S(), Z())), P(2, 1), C(S(), Z())), P(2, 1), Z())","((0,), (1,), (2,), (3,), (4,), (5,), (6,), (7,), (8,), (9,))","(1, 1, 2, 1, 2, 3, 4, 5, 6, 7)",70,1.0
44,"C(C(C(S(), S()), C(S(), S())), R(P(2, 1), P(3, 3), P(3, 1), Z(), Z()))","((0,), (1,), (2,), (3,), (4,), (5,), (6,), (7,), (8,), (9,))","(4, 4, 4, 5, 6, 7, 8, 9, 10, 11)",70,1.0
45,"R(C(S(), P(2, 1)), C(S(), C(S(), C(S(), P(3, 2)))), P(3, 2), Z(), Z())","((0,), (1,), (2,), (3,), (4,), (5,), (6,), (7,), (8,), (9,))","(1, 4, 7, 10, 13, 16, 19, 22, 25, 28)",70,1.0
46,"R(P(2, 1), P(3, 3), C(S(), P(3, 2)), C(R(S(), P(2, 2), Z()), Z()), Z())","((0,), (1,), (2,), (3,), (4,), (5,), (6,), (7,), (8,), (9,))","(1, 0, 2, 1, 3, 2, 4, 3, 5, 4)",71,1.0
47,"R(R(P(2, 1), P(3, 3), C(C(S(), S()), P(3, 2)), Z(), Z()), P(2, 1), Z())","((0,), (1,), (2,), (3,), (4,), (5,), (6,), (7,), (8,), (9,))","(0, 0, 0, 2, 2, 4, 4, 6, 6, 8)",71,1.0
48,"R(P(2, 2), C(R(C(S(), S()), P(2, 1), Z()), P(3, 3)), P(3, 2), Z(), Z())","((0,), (1,), (2,), (3,), (4,), (5,), (6,), (7,), (8,), (9,))","(0, 0, 2, 2, 3, 3, 4, 4, 5, 5)",71,1.0
49,"R(S(), C(C(S(), P(3, 3)), C(S(), P(2, 1)), P(2, 2), C(S(), P(2, 1))), Z())","((0,), (1,), (2,), (3,), (4,), (5,), (6,), (7,), (8,), (9,))","(1, 3, 4, 5, 6, 7, 8, 9, 10, 11)",74,1.0
50,"C(C(C(C(S(), S()), C(S(), S())), C(S(), S())), C(C(S(), S()), C(S(), S())))","((0,), (1,), (2,), (3,), (4,), (5,), (6,), (7,), (8,), (9,))","(10, 11, 12, 13, 14, 15, 16, 17, 18, 19)",75,1.0
51,"R(P(3, 2), P(4, 4), P(4, 2), C(C(S(), S()), C(S(), P(4, 2))), Z(), Z(), Z())","((0,), (1,), (2,), (3,), (4,), (5,), (6,), (7,), (8,), (9,))","(0, 0, 0, 3, 3, 6, 6, 9, 9, 12)",76,1.0
52,"R(P(3, 3), P(4, 3), C(S(), P(4, 2)), P(4, 2), Z(), C(S(), Z()), C(S(), Z()))","((0,), (1,), (2,), (3,), (4,), (5,), (6,), (7,), (8,), (9,))","(1, 0, 1, 1, 2, 2, 3, 3, 4, 4)",76,1.0
53,"R(P(3, 3), P(4, 3), P(4, 1), C(S(), P(4, 3)), C(S(), Z()), C(S(), Z()), Z())","((0,), (1,), (2,), (3,), (4,), (5,), (6,), (7,), (8,), (9,))","(0, 2, 1, 2, 3, 4, 5, 6, 7, 8)",76,1.0
54,"R(P(3, 2), P(4, 4), P(4, 4), P(4, 1), Z(), C(S(), C(S(), Z())), C(S(), Z()))","((0,), (1,), (2,), (3,), (4,), (5,), (6,), (7,), (8,), (9,))","(2, 1, 0, 1, 2, 3, 4, 5, 6, 7)",76,1.0
55,"R(C(S(), P(3, 2)), P(4, 1), P(4, 2), P(4, 3), C(C(S(), S()), Z()), Z(), Z())","((0,), (1,), (2,), (3,), (4,), (5,), (6,), (7,), (8,), (9,))","(1, 3, 1, 2, 3, 4, 5, 6, 7, 8)",76,1.0
56,"R(P(3, 2), P(4, 4), P(4, 2), P(4, 3), Z(), Z(), C(R(S(), P(2, 1), Z()), Z()))","((0,), (1,), (2,), (3,), (4,), (5,), (6,), (7,), (8,), (9,))","(0, 0, 1, 0, 0, 1, 0, 0, 1, 0)",77,1.0
57,"R(R(P(3, 2), P(4, 3), P(4, 4), P(4, 1), Z(), Z(), C(S(), Z())), P(2, 1), Z())","((0,), (1,), (2,), (3,), (4,), (5,), (6,), (7,), (8,), (9,))","(0, 0, 1, 0, 1, 2, 3, 4, 5, 6)",77,1.0
58,"C(C(C(S(), S()), P(3, 1)), C(C(S(), S()), C(S(), C(S(), S()))), S(), P(1, 1))","((0,), (1,), (2,), (3,), (4,), (5,), (6,), (7,), (8,), (9,))","(7, 8, 9, 10, 11, 12, 13, 14, 15, 16)",77,1.0
59,"R(C(C(S(), S()), R(C(S(), S()), C(C(S(), S()), P(2, 2)), Z())), P(2, 1), Z())","((0,), (1,), (2,), (3,), (4,), (5,), (6,), (7,), (8,), (9,))","(4, 4, 6, 8, 10, 12, 14, 16, 18, 20)",77,1.0
60,"R(R(P(2, 2), P(3, 2), P(3, 2), C(S(), Z()), C(S(), C(S(), Z()))), P(2, 1), Z())","((0,), (1,), (2,), (3,), (4,), (5,), (6,), (7,), (8,), (9,))","(2, 2, 1, 1, 1, 1, 1, 1, 1, 1)",79,1.0
61,"R(R(S(), C(R(R(S(), P(2, 1), Z()), P(2, 1), Z()), P(2, 1)), Z()), P(2, 1), Z())","((0,), (1,), (2,), (3,), (4,), (5,), (6,), (7,), (8,), (9,))","(1, 1, 2, 2, 2, 3, 4, 5, 6, 7)",79,1.0
62,"R(P(2, 2), P(3, 1), C(C(C(S(), S()), R(S(), P(2, 1), Z())), P(3, 2)), Z(), Z())","((0,), (1,), (2,), (3,), (4,), (5,), (6,), (7,), (8,), (9,))","(0, 3, 3, 3, 4, 5, 6, 7, 8, 9)",79,1.0
63,"R(C(S(), C(S(), R(P(2, 1), P(3, 3), P(3, 1), Z(), C(S(), Z())))), P(2, 1), Z())","((0,), (1,), (2,), (3,), (4,), (5,), (6,), (7,), (8,), (9,))","(2, 2, 3, 2, 3, 4, 5, 6, 7, 8)",79,1.0
64,"R(C(S(), P(2, 2)), P(3, 3), P(3, 2), C(C(S(), C(S(), P(2, 2))), Z(), Z()), Z())","((0,), (1,), (2,), (3,), (4,), (5,), (6,), (7,), (8,), (9,))","(1, 3, 1, 3, 1, 3, 1, 3, 1, 3)",79,1.0
65,"R(P(2, 2), P(3, 3), C(C(S(), S()), P(3, 2)), C(R(S(), P(2, 1), Z()), Z()), Z())","((0,), (1,), (2,), (3,), (4,), (5,), (6,), (7,), (8,), (9,))","(0, 3, 2, 5, 4, 7, 6, 9, 8, 11)",79,1.0
66,"R(R(R(P(2, 1), P(3, 3), P(3, 2), C(S(), Z()), Z()), P(2, 1), Z()), P(2, 1), Z())","((0,), (1,), (2,), (3,), (4,), (5,), (6,), (7,), (8,), (9,))","(1, 1, 1, 0, 1, 0, 1, 0, 1, 0)",80,1.0
67,"R(P(3, 3), P(4, 1), P(4, 1), C(C(S(), P(2, 1)), P(4, 2), P(4, 2)), Z(), Z(), Z())","((0,), (1,), (2,), (3,), (4,), (5,), (6,), (7,), (8,), (9,))","(0, 1, 1, 2, 3, 4, 5, 6, 7, 8)",81,1.0
68,"R(P(2, 2), C(C(S(), P(3, 3)), P(3, 1), P(3, 3), C(S(), P(3, 3))), P(3, 2), Z(), Z())","((0,), (1,), (2,), (3,), (4,), (5,), (6,), (7,), (8,), (9,))","(0, 0, 2, 2, 4, 4, 6, 6, 8, 8)",84,1.0
69,"R(P(2, 1), C(S(), C(S(), P(3, 3))), C(C(S(), P(3, 3)), Z(), P(3, 2), Z()), Z(), Z())","((0,), (1,), (2,), (3,), (4,), (5,), (6,), (7,), (8,), (9,))","(0, 2, 3, 3, 3, 3, 3, 3, 3, 3)",84,1.0
70,"R(P(3, 1), C(S(), C(S(), P(4, 3))), C(S(), P(4, 2)), C(S(), P(4, 3)), Z(), Z(), Z())","((0,), (1,), (2,), (3,), (4,), (5,), (6,), (7,), (8,), (9,))","(0, 2, 3, 5, 6, 8, 9, 11, 12, 14)",84,1.0
71,"R(P(3, 3), P(4, 4), C(C(S(), S()), P(4, 1)), C(C(S(), S()), P(4, 3)), Z(), Z(), Z())","((0,), (1,), (2,), (3,), (4,), (5,), (6,), (7,), (8,), (9,))","(0, 2, 4, 5, 6, 7, 8, 9, 10, 11)",84,1.0
72,"R(P(3, 3), P(4, 1), P(4, 3), C(C(S(), S()), P(4, 2)), C(S(), Z()), C(S(), Z()), Z())","((0,), (1,), (2,), (3,), (4,), (5,), (6,), (7,), (8,), (9,))","(0, 3, 2, 3, 4, 5, 6, 7, 8, 9)",84,1.0
73,"R(C(C(S(), S()), P(3, 2)), P(4, 4), P(4, 4), P(4, 2), Z(), Z(), C(S(), C(S(), Z())))","((0,), (1,), (2,), (3,), (4,), (5,), (6,), (7,), (8,), (9,))","(2, 4, 2, 4, 2, 4, 2, 4, 2, 4)",84,1.0
74,"R(P(3, 2), C(S(), P(4, 4)), P(4, 4), C(C(S(), C(S(), S())), P(4, 2)), Z(), Z(), Z())","((0,), (1,), (2,), (3,), (4,), (5,), (6,), (7,), (8,), (9,))","(0, 0, 3, 4, 7, 8, 11, 12, 15, 16)",84,1.0
75,"R(R(C(S(), P(3, 3)), P(4, 1), P(4, 4), C(S(), P(4, 3)), Z(), Z(), Z()), P(2, 1), Z())","((0,), (1,), (2,), (3,), (4,), (5,), (6,), (7,), (8,), (9,))","(1, 1, 2, 2, 3, 3, 4, 4, 5, 5)",85,1.0
76,"R(R(P(3, 2), P(4, 3), P(4, 4), P(4, 1), Z(), Z(), C(S(), Z())), P(2, 1), C(S(), Z()))","((0,), (1,), (2,), (3,), (4,), (5,), (6,), (7,), (8,), (9,))","(1, 0, 1, 0, 1, 2, 3, 4, 5, 6)",85,1.0
77,"R(R(P(3, 3), P(4, 4), P(4, 1), P(4, 3), Z(), Z(), C(S(), Z())), P(2, 1), C(S(), Z()))","((0,), (1,), (2,), (3,), (4,), (5,), (6,), (7,), (8,), (9,))","(0, 1, 0, 0, 1, 2, 3, 4, 5, 6)",85,1.0
78,"R(R(P(3, 1), P(4, 1), P(4, 2), P(4, 2), Z(), Z(), Z()), C(C(S(), S()), P(2, 2)), Z())","((0,), (1,), (2,), (3,), (4,), (5,), (6,), (7,), (8,), (9,))","(0, 1, 3, 5, 7, 9, 11, 13, 15, 17)",85,1.0
79,"R(C(S(), P(3, 2)), P(4, 4), P(4, 2), P(4, 3), C(R(S(), P(2, 1), Z()), Z()), Z(), Z())","((0,), (1,), (2,), (3,), (4,), (5,), (6,), (7,), (8,), (9,))","(1, 2, 1, 1, 2, 1, 1, 2, 1, 1)",85,1.0
80,"R(R(P(3, 2), P(4, 4), C(S(), P(4, 2)), C(S(), P(4, 3)), Z(), Z(), Z()), P(2, 1), Z())","((0,), (1,), (2,), (3,), (4,), (5,), (6,), (7,), (8,), (9,))","(0, 0, 1, 1, 2, 3, 3, 4, 5, 5)",85,1.0
81,"R(R(C(S(), P(3, 2)), P(4, 4), P(4, 2), C(S(), P(4, 3)), Z(), Z(), Z()), P(2, 1), Z())","((0,), (1,), (2,), (3,), (4,), (5,), (6,), (7,), (8,), (9,))","(1, 1, 1, 1, 2, 2, 2, 3, 3, 3)",85,1.0
82,"R(R(P(3, 2), P(4, 4), P(4, 2), P(4, 3), C(S(), Z()), Z(), Z()), P(2, 1), C(S(), Z()))","((0,), (1,), (2,), (3,), (4,), (5,), (6,), (7,), (8,), (9,))","(1, 0, 1, 0, 0, 1, 0, 0, 1, 0)",85,1.0
83,"R(P(3, 3), P(4, 4), C(C(S(), P(2, 1)), P(4, 2), Z()), C(S(), P(4, 3)), Z(), Z(), Z())","((0,), (1,), (2,), (3,), (4,), (5,), (6,), (7,), (8,), (9,))","(0, 1, 2, 2, 3, 4, 4, 5, 6, 6)",85,1.0
84,"R(R(P(3, 1), P(4, 4), P(4, 1), P(4, 3), Z(), Z(), Z()), P(2, 1), C(P(2, 1), Z(), Z()))","((0,), (1,), (2,), (3,), (4,), (5,), (6,), (7,), (8,), (9,))","(0, 0, 0, 0, 0, 1, 2, 3, 4, 5)",86,1.0
85,"R(R(C(S(), S()), P(2, 1), C(C(S(), S()), C(R(S(), P(2, 1), Z()), Z()))), P(2, 1), Z())","((0,), (1,), (2,), (3,), (4,), (5,), (6,), (7,), (8,), (9,))","(5, 5, 2, 3, 4, 5, 6, 7, 8, 9)",86,1.0
86,"R(C(S(), R(S(), C(R(R(S(), P(2, 1), Z()), P(2, 2), Z()), P(2, 2)), Z())), P(2, 1), Z())","((0,), (1,), (2,), (3,), (4,), (5,), (6,), (7,), (8,), (9,))","(2, 2, 3, 3, 3, 3, 3, 3, 3, 3)",87,1.0
87,"R(R(R(P(2, 1), P(3, 3), P(3, 1), Z(), C(S(), Z())), P(2, 1), Z()), P(2, 1), C(S(), Z()))","((0,), (1,), (2,), (3,), (4,), (5,), (6,), (7,), (8,), (9,))","(0, 0, 0, 1, 0, 1, 2, 3, 4, 5)",88,1.0
88,"R(P(2, 1), C(R(S(), C(R(S(), P(2, 2), Z()), P(2, 2)), Z()), P(3, 3)), P(3, 1), Z(), Z())","((0,), (1,), (2,), (3,), (4,), (5,), (6,), (7,), (8,), (9,))","(0, 1, 1, 2, 2, 2, 2, 2, 2, 2)",88,1.0
89,"R(R(R(P(2, 2), P(3, 1), P(3, 2), Z(), C(S(), Z())), P(2, 1), Z()), P(2, 1), C(S(), Z()))","((0,), (1,), (2,), (3,), (4,), (5,), (6,), (7,), (8,), (9,))","(1, 1, 1, 0, 0, 1, 2, 3, 4, 5)",88,1.0
90,"R(R(R(P(2, 1), P(3, 3), C(S(), C(S(), P(3, 2))), Z(), Z()), P(2, 1), Z()), P(2, 1), Z())","((0,), (1,), (2,), (3,), (4,), (5,), (6,), (7,), (8,), (9,))","(0, 0, 0, 0, 2, 2, 4, 4, 6, 6)",88,1.0
91,"R(S(), C(C(S(), C(S(), P(2, 1))), C(S(), C(S(), P(2, 1))), C(S(), C(S(), P(2, 1)))), Z())","((0,), (1,), (2,), (3,), (4,), (5,), (6,), (7,), (8,), (9,))","(1, 5, 6, 7, 8, 9, 10, 11, 12, 13)",89,1.0
92,"R(C(C(S(), S()), S()), C(S(), C(R(S(), C(P(3, 3), Z(), P(2, 1), Z()), Z()), P(2, 2))), Z())","((0,), (1,), (2,), (3,), (4,), (5,), (6,), (7,), (8,), (9,))","(3, 5, 5, 5, 5, 5, 5, 5, 5, 5)",91,1.0
93,"R(P(2, 2), C(S(), P(3, 1)), C(C(S(), P(3, 1)), C(S(), P(3, 1)), P(3, 1), P(3, 3)), Z(), Z())","((0,), (1,), (2,), (3,), (4,), (5,), (6,), (7,), (8,), (9,))","(0, 2, 3, 4, 5, 6, 7, 8, 9, 10)",92,1.0
94,"R(P(3, 2), C(C(S(), S()), C(S(), P(4, 2))), P(4, 1), P(4, 2), Z(), C(C(S(), S()), Z()), Z())","((0,), (1,), (2,), (3,), (4,), (5,), (6,), (7,), (8,), (9,))","(2, 0, 1, 2, 3, 4, 5, 6, 7, 8)",92,1.0
95,"R(P(3, 2), P(4, 3), P(4, 2), P(4, 4), C(C(S(), S()), C(P(1, 1), Z())), Z(), C(P(1, 1), Z()))","((0,), (1,), (2,), (3,), (4,), (5,), (6,), (7,), (8,), (9,))","(0, 2, 0, 2, 0, 2, 0, 2, 0, 2)",92,1.0
96,"R(P(3, 2), C(S(), P(4, 4)), P(4, 2), P(4, 1), C(C(S(), S()), Z()), C(C(S(), S()), Z()), Z())","((0,), (1,), (2,), (3,), (4,), (5,), (6,), (7,), (8,), (9,))","(2, 2, 1, 1, 2, 3, 4, 5, 6, 7)",92,1.0
97,"C(S(), R(R(P(3, 1), P(4, 1), P(4, 2), P(4, 2), Z(), Z(), Z()), C(C(S(), S()), P(2, 2)), Z()))","((0,), (1,), (2,), (3,), (4,), (5,), (6,), (7,), (8,), (9,))","(1, 2, 4, 6, 8, 10, 12, 14, 16, 18)",93,1.0
98,"R(P(3, 3), C(C(C(S(), P(2, 1)), S(), Z()), P(4, 3)), P(4, 2), C(S(), P(4, 3)), Z(), Z(), Z())","((0,), (1,), (2,), (3,), (4,), (5,), (6,), (7,), (8,), (9,))","(0, 1, 1, 3, 3, 5, 5, 7, 7, 9)",93,1.0
99,"C(R(C(C(S(), S()), C(S(), S())), P(2, 1), Z()), R(C(C(S(), S()), C(S(), S())), P(2, 1), Z()))","((0,), (1,), (2,), (3,), (4,), (5,), (6,), (7,), (8,), (9,))","(7, 7, 8, 9, 10, 11, 12, 13, 14, 15)",93,1.0
100,"R(C(S(), P(3, 2)), P(4, 4), P(4, 2), P(4, 3), Z(), C(C(S(), R(S(), P(2, 1), Z())), Z()), Z())","((0,), (1,), (2,), (3,), (4,), (5,), (6,), (7,), (8,), (9,))","(3, 1, 1, 3, 1, 1, 3, 1, 1, 3)",93,1.0
101,"R(P(3, 1), P(4, 4), P(4, 4), P(4, 3), C(P(2, 1), Z(), Z()), C(S(), Z()), C(S(), C(S(), Z())))","((0,), (1,), (2,), (3,), (4,), (5,), (6,), (7,), (8,), (9,))","(0, 2, 1, 2, 1, 2, 1, 2, 1, 2)",93,1.0
102,"R(P(3, 1), P(4, 4), P(4, 2), P(4, 4), Z(), Z(), C(R(R(S(), P(2, 1), Z()), P(2, 1), Z()), Z()))","((0,), (1,), (2,), (3,), (4,), (5,), (6,), (7,), (8,), (9,))","(0, 1, 1, 1, 1, 1, 1, 1, 1, 1)",94,1.0
