SPF,valid,size,inputs,outputs
"C(S(), R(Z(), C(S(), C(S(), P(2, 2)))))",True,9,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[1, 3, 5, 7, 9, 11, 13, 15, 17, 19]"
"C(S(), R(Z(), C(S(), C(S(), P(2, 1)))))",True,9,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[1, 3, 4, 5, 6, 7, 8, 9, 10, 11]"
"R(C(S(), C(S(), C(S(), Z()))), P(2, 1))",True,9,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[3, 0, 1, 2, 3, 4, 5, 6, 7, 8]"
"R(Z(), C(S(), C(S(), C(S(), P(2, 1)))))",True,9,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[0, 3, 4, 5, 6, 7, 8, 9, 10, 11]"
"R(C(S(), Z()), C(R(Z(), P(2, 1)), P(2, 2)))",True,9,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[1, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"C(S(), C(S(), C(S(), R(Z(), P(2, 1)))))",True,9,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[3, 3, 4, 5, 6, 7, 8, 9, 10, 11]"
"R(C(S(), Z()), C(R(Z(), P(2, 1)), P(2, 1)))",True,9,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[1, 0, 0, 1, 2, 3, 4, 5, 6, 7]"
"C(S(), C(S(), C(S(), C(S(), Z()))))",True,9,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[4, 4, 4, 4, 4, 4, 4, 4, 4, 4]"
"C(R(C(S(), Z()), P(2, 1)), R(Z(), P(2, 1)))",True,9,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[1, 1, 0, 1, 2, 3, 4, 5, 6, 7]"
"C(S(), R(C(S(), C(S(), Z())), P(2, 1)))",True,9,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[3, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
"R(Z(), C(S(), C(S(), C(S(), P(2, 2)))))",True,9,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[0, 3, 6, 9, 12, 15, 18, 21, 24, 27]"
"R(Z(), C(R(C(S(), Z()), P(2, 1)), P(2, 2)))",True,9,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[0, 1, 0, 1, 0, 1, 0, 1, 0, 1]"
"R(Z(), C(R(C(S(), Z()), P(2, 1)), P(2, 1)))",True,9,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[0, 1, 0, 1, 2, 3, 4, 5, 6, 7]"
"C(S(), C(S(), R(C(S(), Z()), P(2, 1))))",True,9,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[3, 2, 3, 4, 5, 6, 7, 8, 9, 10]"
"R(Z(), C(S(), C(R(Z(), P(2, 1)), P(2, 2))))",True,9,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[0, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
"C(S(), C(R(Z(), P(2, 1)), R(Z(), P(2, 1))))",True,9,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[1, 1, 1, 2, 3, 4, 5, 6, 7, 8]"
"C(R(Z(), C(S(), C(S(), P(2, 2)))), S())",True,9,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[2, 4, 6, 8, 10, 12, 14, 16, 18, 20]"
"C(S(), C(S(), C(S(), C(S(), S()))))",True,9,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[5, 6, 7, 8, 9, 10, 11, 12, 13, 14]"
"C(S(), C(S(), C(S(), C(S(), R(Z(), P(2, 1))))))",True,11,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[4, 4, 5, 6, 7, 8, 9, 10, 11, 12]"
"C(S(), C(S(), C(S(), C(S(), C(S(), Z())))))",True,11,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[5, 5, 5, 5, 5, 5, 5, 5, 5, 5]"
"C(S(), C(S(), C(S(), R(C(S(), Z()), P(2, 1)))))",True,11,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[4, 3, 4, 5, 6, 7, 8, 9, 10, 11]"
"C(R(Z(), C(S(), C(S(), C(S(), P(2, 2))))), S())",True,11,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[3, 6, 9, 12, 15, 18, 21, 24, 27, 30]"
"C(S(), R(Z(), C(S(), C(S(), C(S(), P(2, 1))))))",True,11,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[1, 4, 5, 6, 7, 8, 9, 10, 11, 12]"
"R(Z(), C(S(), C(R(C(S(), Z()), P(2, 1)), P(2, 1))))",True,11,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[0, 2, 1, 2, 3, 4, 5, 6, 7, 8]"
"C(S(), R(Z(), C(S(), C(S(), C(S(), P(2, 2))))))",True,11,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[1, 4, 7, 10, 13, 16, 19, 22, 25, 28]"
"C(S(), R(C(S(), Z()), C(R(Z(), P(2, 1)), P(2, 2))))",True,11,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[2, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
"C(S(), R(C(S(), C(S(), C(S(), Z()))), P(2, 1)))",True,11,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[4, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
"C(S(), C(S(), C(S(), C(S(), C(S(), S())))))",True,11,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[6, 7, 8, 9, 10, 11, 12, 13, 14, 15]"
"C(R(Z(), C(S(), C(S(), P(2, 1)))), R(Z(), P(2, 1)))",True,11,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[0, 0, 2, 3, 4, 5, 6, 7, 8, 9]"
"C(S(), C(S(), R(Z(), C(S(), C(S(), P(2, 1))))))",True,11,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[2, 4, 5, 6, 7, 8, 9, 10, 11, 12]"
"C(R(Z(), P(2, 1)), C(R(Z(), P(2, 1)), R(Z(), P(2, 1))))",True,11,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[0, 0, 0, 0, 1, 2, 3, 4, 5, 6]"
"C(S(), C(R(Z(), C(S(), C(S(), P(2, 2)))), S()))",True,11,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[3, 5, 7, 9, 11, 13, 15, 17, 19, 21]"
"C(S(), R(Z(), C(S(), C(R(Z(), P(2, 1)), P(2, 1)))))",True,11,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[1, 2, 2, 3, 4, 5, 6, 7, 8, 9]"
"R(C(S(), C(S(), Z())), C(R(Z(), P(2, 1)), P(2, 2)))",True,11,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[2, 1, 0, 0, 0, 0, 0, 0, 0, 0]"
"R(Z(), C(R(C(S(), C(S(), Z())), P(2, 1)), P(2, 2)))",True,11,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[0, 2, 1, 0, 2, 1, 0, 2, 1, 0]"
"R(Z(), C(S(), C(S(), C(S(), C(S(), P(2, 2))))))",True,11,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[0, 4, 8, 12, 16, 20, 24, 28, 32, 36]"
"C(S(), R(C(S(), Z()), C(R(Z(), P(2, 1)), P(2, 1))))",True,11,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[2, 1, 1, 2, 3, 4, 5, 6, 7, 8]"
"R(C(S(), C(S(), C(S(), C(S(), Z())))), P(2, 1))",True,11,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[4, 0, 1, 2, 3, 4, 5, 6, 7, 8]"
"R(Z(), C(R(C(S(), C(S(), Z())), P(2, 1)), P(2, 1)))",True,11,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[0, 2, 0, 1, 2, 3, 4, 5, 6, 7]"
"R(Z(), C(S(), C(S(), C(S(), C(S(), P(2, 1))))))",True,11,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[0, 4, 5, 6, 7, 8, 9, 10, 11, 12]"
"R(C(S(), C(S(), Z())), C(R(Z(), P(2, 1)), P(2, 1)))",True,11,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[2, 0, 0, 1, 2, 3, 4, 5, 6, 7]"
"C(R(Z(), P(2, 1)), R(Z(), C(S(), C(S(), P(2, 2)))))",True,11,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[0, 1, 3, 5, 7, 9, 11, 13, 15, 17]"
"C(S(), C(S(), R(C(S(), C(S(), Z())), P(2, 1))))",True,11,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[4, 2, 3, 4, 5, 6, 7, 8, 9, 10]"
"R(Z(), C(S(), C(S(), C(R(Z(), P(2, 1)), P(2, 1)))))",True,11,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[0, 2, 2, 3, 4, 5, 6, 7, 8, 9]"
"C(R(Z(), C(S(), C(S(), P(2, 2)))), C(S(), S()))",True,11,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[4, 6, 8, 10, 12, 14, 16, 18, 20, 22]"
"C(R(Z(), C(S(), C(S(), P(2, 2)))), R(Z(), P(2, 1)))",True,11,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[0, 0, 2, 4, 6, 8, 10, 12, 14, 16]"
"C(R(C(S(), C(S(), Z())), P(2, 1)), R(Z(), P(2, 1)))",True,11,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[2, 2, 0, 1, 2, 3, 4, 5, 6, 7]"
"R(Z(), C(S(), C(R(C(S(), Z()), P(2, 1)), P(2, 2))))",True,11,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[0, 2, 2, 2, 2, 2, 2, 2, 2, 2]"
"C(S(), R(Z(), C(S(), C(R(Z(), P(2, 1)), P(2, 2)))))",True,11,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[1, 2, 2, 2, 2, 2, 2, 2, 2, 2]"
"C(S(), R(Z(), C(R(C(S(), Z()), P(2, 1)), P(2, 2))))",True,11,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[1, 2, 1, 2, 1, 2, 1, 2, 1, 2]"
"C(S(), C(R(C(S(), Z()), P(2, 1)), R(Z(), P(2, 1))))",True,11,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[2, 2, 1, 2, 3, 4, 5, 6, 7, 8]"
"C(R(Z(), C(R(C(S(), Z()), P(2, 1)), P(2, 2))), S())",True,11,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[1, 0, 1, 0, 1, 0, 1, 0, 1, 0]"
"C(S(), C(S(), C(R(Z(), P(2, 1)), R(Z(), P(2, 1)))))",True,11,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[2, 2, 2, 3, 4, 5, 6, 7, 8, 9]"
"C(S(), R(Z(), C(R(C(S(), Z()), P(2, 1)), P(2, 1))))",True,11,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[1, 2, 1, 2, 3, 4, 5, 6, 7, 8]"
"R(C(S(), Z()), C(R(C(S(), C(S(), Z())), P(2, 1)), P(2, 1)))",True,13,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[1, 2, 0, 1, 2, 3, 4, 5, 6, 7]"
"C(R(Z(), C(S(), C(S(), P(2, 2)))), C(S(), R(Z(), P(2, 1))))",True,13,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[2, 2, 4, 6, 8, 10, 12, 14, 16, 18]"
"R(C(S(), C(S(), C(S(), Z()))), C(R(Z(), P(2, 1)), P(2, 1)))",True,13,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[3, 0, 0, 1, 2, 3, 4, 5, 6, 7]"
"R(C(S(), C(S(), Z())), C(R(C(S(), Z()), P(2, 1)), P(2, 2)))",True,13,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[2, 1, 0, 1, 0, 1, 0, 1, 0, 1]"
"C(R(Z(), C(S(), C(R(Z(), P(2, 1)), P(2, 2)))), R(Z(), P(2, 1)))",True,13,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[0, 0, 1, 1, 1, 1, 1, 1, 1, 1]"
"C(S(), C(S(), R(Z(), C(S(), C(R(Z(), P(2, 1)), P(2, 1))))))",True,13,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[2, 3, 3, 4, 5, 6, 7, 8, 9, 10]"
"C(R(Z(), C(S(), C(S(), P(2, 1)))), R(C(S(), Z()), P(2, 1)))",True,13,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[2, 0, 2, 3, 4, 5, 6, 7, 8, 9]"
"R(Z(), C(S(), C(R(C(S(), C(S(), Z())), P(2, 1)), P(2, 2))))",True,13,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[0, 3, 3, 3, 3, 3, 3, 3, 3, 3]"
"C(S(), R(C(S(), C(S(), Z())), C(R(Z(), P(2, 1)), P(2, 2))))",True,13,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[3, 2, 1, 1, 1, 1, 1, 1, 1, 1]"
"R(C(S(), C(S(), C(S(), C(S(), C(S(), Z()))))), P(2, 1))",True,13,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[5, 0, 1, 2, 3, 4, 5, 6, 7, 8]"
"C(S(), C(S(), R(Z(), C(S(), C(S(), C(S(), P(2, 1)))))))",True,13,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[2, 5, 6, 7, 8, 9, 10, 11, 12, 13]"
"C(S(), C(S(), C(S(), R(C(S(), C(S(), Z())), P(2, 1)))))",True,13,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[5, 3, 4, 5, 6, 7, 8, 9, 10, 11]"
"C(S(), R(Z(), C(R(C(S(), C(S(), Z())), P(2, 1)), P(2, 2))))",True,13,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[1, 3, 2, 1, 3, 2, 1, 3, 2, 1]"
"C(S(), R(Z(), C(S(), C(R(C(S(), Z()), P(2, 1)), P(2, 1)))))",True,13,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[1, 3, 2, 3, 4, 5, 6, 7, 8, 9]"
"C(S(), R(Z(), C(S(), C(S(), C(S(), C(S(), P(2, 2)))))))",True,13,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[1, 5, 9, 13, 17, 21, 25, 29, 33, 37]"
"C(S(), C(S(), R(Z(), C(S(), C(R(Z(), P(2, 1)), P(2, 2))))))",True,13,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[2, 3, 3, 3, 3, 3, 3, 3, 3, 3]"
"R(Z(), C(R(C(S(), C(S(), C(S(), Z()))), P(2, 1)), P(2, 2)))",True,13,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[0, 3, 2, 1, 0, 3, 2, 1, 0, 3]"
"C(R(C(S(), Z()), P(2, 1)), C(R(Z(), P(2, 1)), R(Z(), P(2, 1))))",True,13,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[1, 1, 1, 0, 1, 2, 3, 4, 5, 6]"
"C(S(), C(R(C(S(), C(S(), Z())), P(2, 1)), R(Z(), P(2, 1))))",True,13,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[3, 3, 1, 2, 3, 4, 5, 6, 7, 8]"
"R(Z(), C(S(), C(S(), C(R(C(S(), Z()), P(2, 1)), P(2, 1)))))",True,13,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[0, 3, 2, 3, 4, 5, 6, 7, 8, 9]"
"C(S(), C(R(Z(), C(R(C(S(), Z()), P(2, 1)), P(2, 2))), S()))",True,13,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[2, 1, 2, 1, 2, 1, 2, 1, 2, 1]"
"C(S(), C(R(Z(), C(S(), C(S(), P(2, 2)))), C(S(), S())))",True,13,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[5, 7, 9, 11, 13, 15, 17, 19, 21, 23]"
"C(R(C(S(), Z()), C(R(Z(), P(2, 1)), P(2, 1))), R(Z(), P(2, 1)))",True,13,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[1, 1, 0, 0, 1, 2, 3, 4, 5, 6]"
"C(S(), C(S(), C(S(), C(S(), R(C(S(), Z()), P(2, 1))))))",True,13,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[5, 4, 5, 6, 7, 8, 9, 10, 11, 12]"
"C(R(Z(), C(S(), C(R(Z(), P(2, 1)), P(2, 1)))), R(Z(), P(2, 1)))",True,13,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[0, 0, 1, 1, 2, 3, 4, 5, 6, 7]"
"C(S(), R(Z(), C(S(), C(S(), C(R(Z(), P(2, 1)), P(2, 1))))))",True,13,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[1, 3, 3, 4, 5, 6, 7, 8, 9, 10]"
"C(R(Z(), C(S(), C(S(), P(2, 2)))), C(S(), C(S(), S())))",True,13,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[6, 8, 10, 12, 14, 16, 18, 20, 22, 24]"
"C(S(), C(S(), R(Z(), C(R(C(S(), Z()), P(2, 1)), P(2, 2)))))",True,13,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[2, 3, 2, 3, 2, 3, 2, 3, 2, 3]"
"C(R(Z(), C(S(), C(S(), P(2, 2)))), R(C(S(), Z()), P(2, 1)))",True,13,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[2, 0, 2, 4, 6, 8, 10, 12, 14, 16]"
"R(Z(), C(S(), C(R(Z(), C(S(), C(S(), P(2, 1)))), P(2, 1))))",True,13,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[0, 1, 3, 4, 5, 6, 7, 8, 9, 10]"
"C(R(Z(), P(2, 1)), R(Z(), C(S(), C(S(), C(S(), P(2, 2))))))",True,13,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[0, 2, 5, 8, 11, 14, 17, 20, 23, 26]"
"R(C(S(), Z()), C(R(Z(), P(2, 1)), C(R(Z(), P(2, 1)), P(2, 1))))",True,13,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[1, 0, 0, 0, 1, 2, 3, 4, 5, 6]"
"C(R(Z(), C(R(C(S(), Z()), P(2, 1)), P(2, 2))), R(Z(), P(2, 1)))",True,13,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[0, 0, 1, 0, 1, 0, 1, 0, 1, 0]"
"R(C(S(), Z()), C(R(Z(), C(S(), C(S(), P(2, 2)))), P(2, 1)))",True,13,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[1, 0, 2, 4, 6, 8, 10, 12, 14, 16]"
"C(R(C(S(), Z()), C(R(Z(), P(2, 1)), P(2, 2))), R(Z(), P(2, 1)))",True,13,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[1, 1, 0, 0, 0, 0, 0, 0, 0, 0]"
"R(C(S(), C(S(), C(S(), Z()))), C(R(Z(), P(2, 1)), P(2, 2)))",True,13,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[3, 2, 1, 0, 0, 0, 0, 0, 0, 0]"
"R(C(S(), Z()), C(R(C(S(), C(S(), Z())), P(2, 1)), P(2, 2)))",True,13,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[1, 0, 2, 1, 0, 2, 1, 0, 2, 1]"
"C(S(), C(R(Z(), C(S(), C(S(), P(2, 2)))), R(Z(), P(2, 1))))",True,13,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[1, 1, 3, 5, 7, 9, 11, 13, 15, 17]"
"R(Z(), C(R(C(S(), Z()), C(R(Z(), P(2, 1)), P(2, 2))), P(2, 1)))",True,13,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[0, 1, 0, 0, 0, 0, 0, 0, 0, 0]"
"R(Z(), C(R(C(S(), C(S(), C(S(), Z()))), P(2, 1)), P(2, 1)))",True,13,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[0, 3, 0, 1, 2, 3, 4, 5, 6, 7]"
"C(S(), C(S(), R(C(S(), Z()), C(R(Z(), P(2, 1)), P(2, 1)))))",True,13,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[3, 2, 2, 3, 4, 5, 6, 7, 8, 9]"
"R(C(S(), C(S(), Z())), C(R(C(S(), Z()), P(2, 1)), P(2, 1)))",True,13,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[2, 1, 0, 1, 2, 3, 4, 5, 6, 7]"
"C(S(), C(R(Z(), C(S(), C(S(), P(2, 1)))), R(Z(), P(2, 1))))",True,13,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[1, 1, 3, 4, 5, 6, 7, 8, 9, 10]"
"C(S(), R(C(S(), C(S(), C(S(), C(S(), Z())))), P(2, 1)))",True,13,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[5, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
"C(S(), C(S(), R(C(S(), C(S(), C(S(), Z()))), P(2, 1))))",True,13,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[5, 2, 3, 4, 5, 6, 7, 8, 9, 10]"
"C(S(), C(S(), R(Z(), C(R(C(S(), Z()), P(2, 1)), P(2, 1)))))",True,13,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[2, 3, 2, 3, 4, 5, 6, 7, 8, 9]"
"R(C(S(), Z()), C(R(Z(), C(S(), C(S(), P(2, 2)))), P(2, 2)))",True,13,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[1, 2, 4, 8, 16, 32, 64, 128, 256, 512]"
"C(S(), C(S(), C(S(), R(Z(), C(S(), C(S(), P(2, 1)))))))",True,13,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[3, 5, 6, 7, 8, 9, 10, 11, 12, 13]"
"C(S(), C(S(), C(S(), C(R(Z(), P(2, 1)), R(Z(), P(2, 1))))))",True,13,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[3, 3, 3, 4, 5, 6, 7, 8, 9, 10]"
"R(C(S(), Z()), C(R(Z(), C(S(), C(S(), P(2, 1)))), P(2, 1)))",True,13,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[1, 0, 2, 3, 4, 5, 6, 7, 8, 9]"
"C(S(), C(S(), C(S(), C(S(), C(S(), R(Z(), P(2, 1)))))))",True,13,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[5, 5, 6, 7, 8, 9, 10, 11, 12, 13]"
"R(Z(), C(S(), C(S(), C(S(), C(S(), C(S(), P(2, 1)))))))",True,13,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[0, 5, 6, 7, 8, 9, 10, 11, 12, 13]"
"R(Z(), C(R(C(S(), Z()), P(2, 1)), C(R(Z(), P(2, 1)), P(2, 1))))",True,13,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[0, 1, 1, 0, 1, 2, 3, 4, 5, 6]"
"C(S(), C(R(Z(), P(2, 1)), R(Z(), C(S(), C(S(), P(2, 2))))))",True,13,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[1, 2, 4, 6, 8, 10, 12, 14, 16, 18]"
"C(S(), R(Z(), C(R(C(S(), C(S(), Z())), P(2, 1)), P(2, 1))))",True,13,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[1, 3, 1, 2, 3, 4, 5, 6, 7, 8]"
"C(S(), C(S(), C(S(), C(S(), C(S(), C(S(), S()))))))",True,13,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[7, 8, 9, 10, 11, 12, 13, 14, 15, 16]"
"C(S(), C(R(Z(), C(S(), C(S(), C(S(), P(2, 2))))), S()))",True,13,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[4, 7, 10, 13, 16, 19, 22, 25, 28, 31]"
