SPF,valid,size,inputs,outputs
"R(Z(), C(S(), C(S(), P(2, 2))))",True,7,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[0, 2, 4, 6, 8, 10, 12, 14, 16, 18]"
"R(C(S(), Z()), R(P(1, 1), P(3, 1)))",True,7,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[1, 1, 0, 1, 2, 3, 4, 5, 6, 7]"
"R(Z(), C(S(), R(Z(), P(3, 1))))",True,7,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[0, 1, 1, 2, 3, 4, 5, 6, 7, 8]"
"C(S(), R(C(S(), Z()), P(2, 1)))",True,7,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[2, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
"R(C(S(), Z()), R(S(), P(3, 1)))",True,7,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[1, 2, 0, 1, 2, 3, 4, 5, 6, 7]"
"R(C(S(), C(S(), Z())), P(2, 1))",True,7,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[2, 0, 1, 2, 3, 4, 5, 6, 7, 8]"
"C(S(), R(Z(), R(Z(), P(3, 1))))",True,7,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[1, 1, 1, 2, 3, 4, 5, 6, 7, 8]"
"R(Z(), C(S(), C(S(), P(2, 1))))",True,7,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[0, 2, 3, 4, 5, 6, 7, 8, 9, 10]"
"R(Z(), R(C(S(), S()), P(3, 3)))",True,7,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[0, 2, 2, 2, 2, 2, 2, 2, 2, 2]"
"R(Z(), C(S(), R(S(), P(3, 1))))",True,7,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[0, 2, 1, 2, 3, 4, 5, 6, 7, 8]"
"C(S(), C(S(), C(S(), Z())))",True,7,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[3, 3, 3, 3, 3, 3, 3, 3, 3, 3]"
"C(S(), R(Z(), R(S(), P(3, 3))))",True,7,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[1, 2, 2, 2, 2, 2, 2, 2, 2, 2]"
"C(S(), C(S(), C(S(), R(Z(), P(2, 1)))))",True,9,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[3, 3, 4, 5, 6, 7, 8, 9, 10, 11]"
"C(S(), R(C(S(), Z()), R(P(1, 1), P(3, 1))))",True,9,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[2, 2, 1, 2, 3, 4, 5, 6, 7, 8]"
"C(S(), C(S(), R(C(S(), Z()), P(2, 1))))",True,9,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[3, 2, 3, 4, 5, 6, 7, 8, 9, 10]"
"C(S(), C(S(), R(Z(), R(S(), P(3, 1)))))",True,9,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[2, 3, 2, 3, 4, 5, 6, 7, 8, 9]"
"C(R(Z(), R(S(), C(S(), P(3, 2)))), S())",True,9,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[1, 3, 6, 10, 15, 21, 28, 36, 45, 55]"
"R(Z(), C(S(), R(P(1, 1), C(S(), P(3, 3)))))",True,9,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[0, 1, 3, 5, 7, 9, 11, 13, 15, 17]"
"R(Z(), C(S(), C(S(), R(Z(), P(3, 1)))))",True,9,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[0, 2, 2, 3, 4, 5, 6, 7, 8, 9]"
"R(Z(), R(Z(), C(S(), C(S(), P(3, 2)))))",True,9,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[0, 0, 2, 4, 6, 8, 10, 12, 14, 16]"
"C(S(), R(Z(), C(S(), C(S(), P(2, 1)))))",True,9,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[1, 3, 4, 5, 6, 7, 8, 9, 10, 11]"
"R(C(S(), C(S(), Z())), R(P(1, 1), P(3, 1)))",True,9,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[2, 2, 0, 1, 2, 3, 4, 5, 6, 7]"
"R(Z(), C(S(), C(S(), R(S(), P(3, 3)))))",True,9,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[0, 3, 5, 7, 9, 11, 13, 15, 17, 19]"
"R(Z(), R(S(), C(R(Z(), P(2, 1)), P(3, 2))))",True,9,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[0, 1, 1, 0, 0, 0, 0, 0, 0, 0]"
"C(S(), R(Z(), C(S(), C(S(), P(2, 2)))))",True,9,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[1, 3, 5, 7, 9, 11, 13, 15, 17, 19]"
"R(C(S(), C(S(), Z())), R(S(), P(3, 1)))",True,9,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[2, 3, 0, 1, 2, 3, 4, 5, 6, 7]"
"C(S(), R(Z(), C(S(), R(Z(), P(3, 1)))))",True,9,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[1, 2, 2, 3, 4, 5, 6, 7, 8, 9]"
"R(Z(), C(S(), C(S(), C(S(), P(2, 2)))))",True,9,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[0, 3, 6, 9, 12, 15, 18, 21, 24, 27]"
"C(R(Z(), C(S(), C(S(), P(2, 2)))), S())",True,9,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[2, 4, 6, 8, 10, 12, 14, 16, 18, 20]"
"C(S(), R(Z(), R(C(S(), S()), P(3, 1))))",True,9,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[1, 3, 1, 2, 3, 4, 5, 6, 7, 8]"
"C(R(Z(), R(S(), P(3, 1))), R(Z(), P(2, 1)))",True,9,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[0, 0, 1, 0, 1, 2, 3, 4, 5, 6]"
"R(Z(), R(R(Z(), P(2, 1)), C(S(), P(3, 2))))",True,9,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[0, 0, 1, 2, 4, 7, 11, 16, 22, 29]"
"R(Z(), R(C(S(), C(S(), S())), P(3, 1)))",True,9,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[0, 3, 0, 1, 2, 3, 4, 5, 6, 7]"
"C(S(), R(C(S(), Z()), R(Z(), P(3, 1))))",True,9,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[2, 1, 1, 2, 3, 4, 5, 6, 7, 8]"
"C(S(), R(Z(), R(S(), C(S(), P(3, 2)))))",True,9,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[1, 2, 4, 7, 11, 16, 22, 29, 37, 46]"
"R(Z(), R(P(1, 1), C(S(), C(S(), P(3, 2)))))",True,9,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[0, 0, 2, 6, 12, 20, 30, 42, 56, 72]"
"R(Z(), C(R(C(S(), Z()), P(2, 1)), P(2, 2)))",True,9,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[0, 1, 0, 1, 0, 1, 0, 1, 0, 1]"
"R(Z(), R(C(S(), C(S(), S())), P(3, 3)))",True,9,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[0, 3, 3, 3, 3, 3, 3, 3, 3, 3]"
"R(Z(), C(S(), C(S(), R(S(), P(3, 1)))))",True,9,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[0, 3, 2, 3, 4, 5, 6, 7, 8, 9]"
"R(Z(), C(S(), R(S(), C(S(), P(3, 2)))))",True,9,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[0, 2, 5, 9, 14, 20, 27, 35, 44, 54]"
"R(Z(), R(S(), C(S(), C(S(), P(3, 2)))))",True,9,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[0, 1, 4, 9, 16, 25, 36, 49, 64, 81]"
"C(S(), R(C(S(), C(S(), Z())), P(2, 1)))",True,9,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[3, 1, 2, 3, 4, 5, 6, 7, 8, 9]"
"C(S(), C(S(), C(S(), C(S(), S()))))",True,9,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[5, 6, 7, 8, 9, 10, 11, 12, 13, 14]"
"C(S(), C(S(), R(Z(), R(S(), P(3, 3)))))",True,9,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[2, 3, 3, 3, 3, 3, 3, 3, 3, 3]"
"C(S(), C(S(), R(Z(), R(Z(), P(3, 1)))))",True,9,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[2, 2, 2, 3, 4, 5, 6, 7, 8, 9]"
"R(Z(), R(S(), C(R(Z(), P(2, 1)), P(3, 3))))",True,9,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[0, 1, 0, 0, 0, 0, 0, 0, 0, 0]"
"C(R(Z(), P(2, 1)), R(Z(), R(S(), P(3, 1))))",True,9,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[0, 0, 0, 0, 1, 2, 3, 4, 5, 6]"
"C(S(), R(Z(), R(C(S(), S()), P(3, 3))))",True,9,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[1, 3, 3, 3, 3, 3, 3, 3, 3, 3]"
"R(C(S(), C(S(), Z())), R(Z(), P(3, 1)))",True,9,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[2, 0, 0, 1, 2, 3, 4, 5, 6, 7]"
"C(S(), R(Z(), C(S(), R(S(), P(3, 1)))))",True,9,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[1, 3, 2, 3, 4, 5, 6, 7, 8, 9]"
"C(S(), R(C(S(), Z()), R(S(), P(3, 1))))",True,9,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[2, 3, 1, 2, 3, 4, 5, 6, 7, 8]"
"C(R(Z(), R(S(), P(3, 3))), R(Z(), P(2, 1)))",True,9,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[0, 0, 1, 1, 1, 1, 1, 1, 1, 1]"
"R(Z(), C(S(), R(C(S(), S()), P(3, 1))))",True,9,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[0, 3, 1, 2, 3, 4, 5, 6, 7, 8]"
"R(Z(), R(Z(), C(S(), C(S(), P(3, 1)))))",True,9,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[0, 0, 2, 3, 4, 5, 6, 7, 8, 9]"
"R(C(S(), Z()), R(C(S(), S()), P(3, 1)))",True,9,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[1, 3, 0, 1, 2, 3, 4, 5, 6, 7]"
"R(C(S(), C(S(), Z())), R(Z(), P(3, 3)))",True,9,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[2, 0, 0, 0, 0, 0, 0, 0, 0, 0]"
"R(Z(), R(S(), C(R(Z(), P(2, 1)), P(3, 1))))",True,9,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[0, 1, 0, 0, 1, 2, 3, 4, 5, 6]"
"C(S(), C(S(), C(S(), C(S(), Z()))))",True,9,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[4, 4, 4, 4, 4, 4, 4, 4, 4, 4]"
"R(Z(), C(S(), C(S(), C(S(), P(2, 1)))))",True,9,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[0, 3, 4, 5, 6, 7, 8, 9, 10, 11]"
"C(S(), R(Z(), R(P(1, 1), C(S(), P(3, 2)))))",True,9,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[1, 1, 2, 4, 7, 11, 16, 22, 29, 37]"
"R(C(S(), C(S(), C(S(), Z()))), P(2, 1))",True,9,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[3, 0, 1, 2, 3, 4, 5, 6, 7, 8]"
"C(S(), R(C(S(), Z()), R(Z(), P(3, 3))))",True,9,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]","[2, 1, 1, 1, 1, 1, 1, 1, 1, 1]"
